Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell Parliament: Ban the Dolls That Train Predators to See Our Children as Objects (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor. Subject: Child-like Sexual Abuse Dolls (Offences) Bill,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Acquisition
Background / Context,Child-like Sexual Abuse Dolls (Offences) Bill (sponsor: Munira Wilson) is at Committee stage in the Commons. Next key date: TBA.
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,[CAMPAIGNER]
Ideas for eventual Offline Actions,"Encourage supporters to write personally to their MP asking them to press for a firm date for the Bill's next Committee sitting. Church and community groups could hold short prayer vigils for child protection tied to the campaign. Local groups could organise letter-writing evenings, gathering handwritten letters to send to Committee members. Parents' associations and school governors could be briefed on the Bill so they can raise it with their own MPs directly."
Petitions related TIM project (Targeting Inactive Members),"13859 - Stop the UN's Push to Decriminalise Paedophilia - same core audience mobilised against the normalisation and legal tolerance of child sexual abuse
18657 - Deport Shabir Ahmed Now! Protect Our Children From Predators - shares the child protection from predators framing and a highly engaged child-safety audience
18013 - Say No to Labour's 'Summer of Sex' - large recent list concerned with sexualised content reaching children, relevant to this Bill's core objection"
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,Individual MPs who could be persuaded ahead of the Bill's next Commons stage
What are we asking for in the petition?,"The Members of the Committee now scrutinising the Child-like Sexual Abuse Dolls (Offences) Bill must complete their work without delay and report the Bill back to the Commons intact, so that manufacturing, importing, selling and possessing dolls designed to resemble children for sexual purposes becomes, at last, a specific criminal offence. Parliament owes this to every family in this country: the duty to close a loophole that currently allows objects built to simulate child abuse to sit legally in someone's home. Every week this Bill drifts without a firm date for its next stage is a week that duty goes unmet."
Why would they listen to us?,"This Bill already has a named sponsor willing to put her name to it and has drawn genuine parliamentary attention, with dozens of debates and questions raised around it in recent months. That shows MPs are watching this issue closely. A clear, sustained public voice now, while it sits in Committee, is exactly what tips a bill like this from stalled to law."
What is happening that we are responding to?,Child-like Sexual Abuse Dolls (Offences) Bill (sponsor: Munira Wilson) is at Committee stage in the Commons. Next key date: TBA.
What is the key point of injustice that is at stake here?,"No specific offence currently exists: right now, a person can manufacture, import or possess a doll built to look like a child, for the express purpose of simulating sexual abuse, and face no dedicated criminal charge for the object itself. That is not a technicality. It is a gap predators can and do exploit.

Delay is not neutral: the Bill has reached Committee stage in the Commons, but with no fixed date for its next step, it can sit indefinitely while the law that would protect children stays silent. Every day without a firm date is another day these dolls remain legally available.

Parental trust is undermined: parents have every right to expect that the state treats the sexualisation of childhood as intolerable. A legal grey area around these dolls tells families that protecting their children from being reduced to objects of abuse is optional, not owed.

Normalisation precedes harm: these dolls exist to rehearse the abuse of a child. Treating that as a private matter, rather than a criminal one, risks entrenching the idea that a child's likeness can be used this way without consequence.

Cross-party momentum could be squandered: the Bill was brought forward with sponsor support and has drawn real parliamentary engagement. To let it stall now, after that effort, would be a betrayal of the children it was written to protect."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"These dolls exist for one purpose: to simulate the sexual abuse of a child. There is no innocent use, no ambiguous middle ground. Any argument that treats them as harmless novelty items ignores what they are built to represent.

They normalise the unthinkable: possessing an object that rehearses child abuse desensitises the user to the idea of a real child as a victim. That is precisely the pathway child protection experts warn against.

Parents have a right to a state that acts: families entrust Parliament with the basic duty of keeping predatory behaviour illegal. A law that names and criminalises these dolls is the state fulfilling that trust, not exceeding it.

The current gap in the law is indefensible: without a specific offence, prosecutors and police are left improvising with laws never designed for this purpose. A dedicated offence gives them the clear tool they need.

This is a matter of child protection, not free expression: no one's liberty is diminished by removing from legal commerce an object whose entire design purpose is to simulate the abuse of a child.

Cross-party engagement shows this can pass: with a named sponsor and real activity around the Bill, including debate and question time in Parliament, there is a genuine chance to see this through if the pressure holds.

Other jurisdictions have already acted: the direction of travel internationally is toward criminalising these objects outright, and the United Kingdom should not lag behind in protecting its own children.

Silence in Committee is not a safe default: bills can and do quietly stall at this stage when public attention moves elsewhere. Sustained pressure now is what keeps this one moving toward Royal Assent."
