FIVE COLUMNS ANALYSIS (ONLY IF APPROPRIATE)
PLAN STAGE,,,,,,,,,EVALUATE STAGE,
Decision-Maker,# Seats,"""++""","""+""","""0""","""-""","""--""",Target (Y/N),Comments,Vote (Y/N),Comments
"Lord Jackson of Peterborough (Conservative, Life peer)",,1,0,0,0,0,,"2026-01-27 DEBATE: Spoke: Crime and Policing Bill ""We have heard about the Sullivan standard. The context in which we are working in putting forward this amendment is that sex is a protected characteristic and the Equality Act 2010 has been clarified by the Supreme Court. It is extremely disappointing that..."" [++: Supports amendment defending sex-based single-sex space rights under Equality Act] | 2025-02-11 PQ: Abortion: Demonstrations ""To ask His Majesty's Government what assessment they have made of the implications for freedom of religion and belief of banning silent prayer in abortion service protection zones designated under the Public Order Act 2023."" [+: Questions banning silent prayer, raising freedom of religion concerns] | 2024-08-12 PQ: Abortion: Demonstrations ""To ask His Majesty's Government what steps they are taking to ensure that the policing of safe access zones around abortion clinics will be consistent with the College of Policing’s wider guidance on managing protests."" [0: Neutral question on policing consistency, no clear direction] | 2023-12-14 PQ: Abortion: Statistics ""Abortion: Statistics"" [+: Seeks accurate, accessible abortion complication data reporting] | 2023-12-14 PQ: Abortion: Statistics ""Abortion: Statistics"" [+: Pushes for transparent reporting of abortion complication statistics]",,
"Lord Young of Acton (Conservative, Life peer)",,1,0,0,0,0,,"2026-03-18 DEBATE: Spoke: Crime and Policing Bill ""Will the Secretary of State use the powers granted to her by this amendment to insist that spyware is installed on personal computers and mobile phones? Perhaps your Lordships consider that too remote a risk, but what about requiring technology companies to..."" [++: Opposes sweeping Henry VIII powers under Online Safety Act, defending free speech against overreach] | 2026-03-09 DEBATE: Spoke: Crime and Policing Bill ""My Lords, I declare my interest as director of the Free Speech Union. I too share the reservations of the noble Baroness, Lady Deech, about the Government’s decision today to publish an official definition of anti-Muslim hostility and to appoint a tsar to..."" [+: Opposes new anti-Muslim hostility definition as unnecessary, defends existing free speech protections] | 2026-01-20 DEBATE: Spoke: Crime and Policing Bill ""My Lords, I declare my interest as the director of the Free Speech Union, which has been campaigning against non-crime hate incidents for at least five years."" [++: Free Speech Union director criticising non-crime hate incidents as chilling speech, strong free speech advocacy] | 2026-01-15 DEBATE: Spoke: Crime and Policing Bill ""One useful improvement to the hate crime statutory regime would be to extend Section 29J to the other stirring-up offences. For example, the Free Speech Union paid for the legal defence of a former Royal Marine called Jamie Michael. He robustly criticised..."" [++: Director of Free Speech Union argues strongly against expanding statutory hate crime law] | 2026-01-13 DEBATE: Spoke: Crime and Policing Bill ""My Lords, I rise to speak to Amendment 370A, which seeks to grant the Secretary of State the power to designate and restrict extreme criminal protest groups—and I declare an interest as the director of the Free Speech Union."" [+: Free Speech Union director seeks power against extreme protest groups attacking him]",,
"Baroness Meyer (Conservative, Life peer)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2022-06-21 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 ""Baroness O’Loan moved, as an amendment to the motion to approve the Regulations, at the end insert “but that this House regrets that the Regulations (1) disregard the statutory role of the Northern Ireland Assembly and ignore the devolution settlement, and (2) make substantial constitutional changes via secondary legislation”."" [-: Opposes regret motion, effectively backs implementation of NI abortion regulations; free vote] | 2020-06-15 VOTE: Voted No: Abortion (Northern Ireland) (No 2) Regulations ""Viscount Younger of Leckie moved that the motion to approve the Regulations be agreed to."" [++: Voted against approving abortion regulations, opposing their extension to Northern Ireland; free vote] | 2020-06-15 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 ""Baroness O’Loan moved, as an amendment to the motion to approve the Regulations, leave out from “that” to the end, and insert “this House declines to approve the Regulations because they (1) have been rejected by the Northern Ireland Assembly, (2) are legally flawed by being in breach of section 6 of the Northern Ireland Act 1998, (3) do not prohibit abortion on the grounds of non-fatal disability, (4) perpetuate stereotypes towards persons with disabilities, including Down’s syndrome, and (5) d"" [--: Voted against blocking abortion regulations, effectively supporting their approval; free vote]",,
"Lord Redwood (Conservative, Life peer)",,1,0,0,0,0,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Baroness Coffey (Conservative, Life peer)",,1,0,0,0,0,,"2025-11-14 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""My reason for raising this is that the Bill started as a judge-led process, with quite a focus on, in effect, decriminalising parts of the Suicide Act. I am in no doubt that that is a reserved competence: having the one judicial system. I completely accept..."" [0: Technical Welsh devolution amendments, no clear stance on assisted dying itself] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Baroness Osamor (Labour, Life peer)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2020-06-15 VOTE: Voted No: Abortion (Northern Ireland) (No 2) Regulations ""Viscount Younger of Leckie moved that the motion to approve the Regulations be agreed to."" [++: Voted against approving abortion regulations, opposing their extension to Northern Ireland; free vote] | 2020-06-15 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 ""Baroness O’Loan moved, as an amendment to the motion to approve the Regulations, leave out from “that” to the end, and insert “this House declines to approve the Regulations because they (1) have been rejected by the Northern Ireland Assembly, (2) are legally flawed by being in breach of section 6 of the Northern Ireland Act 1998, (3) do not prohibit abortion on the grounds of non-fatal disability, (4) perpetuate stereotypes towards persons with disabilities, including Down’s syndrome, and (5) d"" [--: Voted against blocking abortion regulations, effectively supporting their approval; free vote]",,
"Lord Grayling (Conservative, Life peer)",,1,0,0,0,0,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Lord Harper (Conservative, Life peer)",,1,0,0,0,0,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Lord Mackinlay of Richborough (Conservative, Life peer)",,1,0,0,0,0,,"2025-12-12 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Pushes for stronger safeguards on pregnancy in assisted dying bill, signalling caution about the legislation] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"The Lord Bishop of Manchester (Bishops, Bishops)",,1,0,0,0,0,,"2023-01-30 DEBATE: Spoke: Public Order Bill (re: abortion) ""My second and rather less metaphysical question is intended to clarify that influence works both ways. Would a coercive and controlling partner, or ex-partner, determined that a reluctant woman should go ahead with an abortion and accompanying her against her..."" [0: Balances protest rights and clinic access via buffer zone amendment, mixed on abortion and speech] | 2022-11-22 DEBATE: Spoke: Public Order Bill (re: abortion) ""However, there is a point of principle here going far beyond matters of abortion. Clause 9 is so broad and non-discriminate in its approach that it sets unfortunate precedents. I have real concerns that if we pass this clause into law in anything like its..."" [++: Warns against overly broad buffer-zone clause threatening protest and religious freedom near abortion issues]",,
