Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Hospice Funding Bill (DRAFT),cjoyce@citizengo.net,2026-08-13,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Life
Main Purposes,Political Impact
Background / Context,"Hospice Funding Bill (sponsor: Mr Paul Foster) is at 2nd reading in the Commons. Next key date: 2026-11-27. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 345 debate contributions, 1 written questions."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-11-27
Ideas for eventual Offline Actions,"- Organise a peaceful vigil outside Parliament on or before 27 November 2026 to mark the Bill's progress.
- Collect handwritten postcards from families and hospice volunteers describing what good end-of-life care meant to them, and deliver them to MPs' offices.
- Ask local churches to hold a prayer vigil or dedicate a Sunday service to the dignity of the dying.
- Write letters to local newspapers highlighting hospice funding shortfalls in your area [VERIFY local figures before publishing].
- Invite hospice chaplains or volunteers to speak at community meetings about the difference real palliative care makes."
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,Individual MPs who could be persuaded ahead of the Bill's next Commons stage
What are we asking for in the petition?,"Write to your MP now and ask them to back the Hospice Funding Bill at its 2nd reading in the Commons, and to vote for guaranteed, ring-fenced funding for hospices and palliative care across the UK."
What is happening that we are responding to?,"Hospice Funding Bill (sponsor: Mr Paul Foster) is at 2nd reading in the Commons. Next key date: 2026-11-27. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 345 debate contributions, 1 written questions."
What is the key point of injustice that is at stake here?,"Dying people deserve real care and dignity, not a postcode lottery. Right now, hospices across Britain are propped up by jumble sales, bake sales and the goodwill of volunteers, while the state refuses to guarantee their funding. When proper end-of-life care is scarce or unreliable, vulnerable people and their families are left with fewer real options. That is the injustice at the heart of this: a failure to properly fund compassionate care leaves the door open for assisted dying to be presented as the only 'solution' to suffering."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"- Hospices provide expert pain relief and emotional, spiritual support that helps people live their final days with dignity, not end them prematurely.
- Secure, guaranteed funding for palliative care is the true compassionate response to suffering, not legalised killing.
- Every pound invested in hospice care is a pound spent affirming that every life, however fragile, matters to the very end.
- If our lawmakers are serious about resisting the drift towards assisted suicide, they must first ensure hospices have the resources to offer real, life-affirming alternatives.
- This Bill, sponsored by Mr Paul Foster, gives MPs a concrete chance to put money behind the principle that dying well means being cared for, not helped to die."
Why is it urgent that we take action now?,"The Hospice Funding Bill is currently at 2nd reading in the House of Commons, with the next key date set for 27 November 2026. MPs are about to decide whether this Bill moves forward. Parliament has already seen intense engagement on this wider issue, with 345 debate contributions in the last six months alone. That means MPs' attention is on this now. If supporters of proper palliative care stay silent while this window is open, the momentum could easily shift towards assisted dying instead of real investment in care for the dying."
Why would they listen to us?,"MPs have shown they are engaged, with 345 debate contributions on this issue in just six months, evidence that this is live territory in Parliament right now. The Bill has already reached 2nd reading under its sponsor, Mr Paul Foster, meaning it has cross-party attention and a real chance of progressing. A strong, visible show of public support at this stage can tip wavering MPs towards backing hospice funding rather than looking past it towards assisted dying as a cheaper alternative."
Describe a bad outcome if we do not win this campaign:,"If this Bill fails to progress or hospice funding remains inadequate, more hospices will be forced to close wards, cut beds and turn away dying patients. Families will be left without the support they desperately need at the hardest moment of their lives, and the pressure to see assisted suicide as the only 'compassionate' option will grow stronger."
Describe a good outcome if we do win this campaign:,"If we win, hospices gain guaranteed, reliable funding, meaning every terminally ill person in the UK, whatever their means or postcode, can access genuine palliative care. Dying people are given real dignity and comfort in their final days, not pushed towards ending their lives early because proper care was never made available."
Which sources do you want to include? Please provide the titles plus URLs:,https://bills.parliament.uk/bills/4178 | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"A quiet, warmly lit hospice room: an elderly patient resting peacefully, a family member gently holding their hand, a nurse or chaplain nearby. The image should convey calm, dignity and love, not clinical coldness, reinforcing the message that proper care, not assisted death, is the true answer to suffering."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Recent supporter response on this topic is in the EOS dashboard, not here.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 299 with us (++/+), 327 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
2026-11-27,Key parliamentary date,2nd reading
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
