Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell Parliament: No Baby Should Go Unrecorded (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor. Subject: Registration of Stillbirths (England and Wales) Bill,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Life
Main Purposes,Acquisition
Background / Context,Registration of Stillbirths (England and Wales) Bill (sponsor: Jim McMahon) is at 1st reading in the Commons. Next key date: TBA.
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,[CAMPAIGNER]
Ideas for eventual Offline Actions,"Organise a candlelight vigil or remembrance service outside Parliament or a local church for babies lost to stillbirth and miscarriage, inviting bereaved parents to share their stories. Encourage supporters to write personal letters to their MP describing why legal recognition matters, and to request MPs sign the Bill's supporting motions. Partner with churches to hold prayer services around Baby Loss Awareness Week, linking remembrance with the campaign's call to action. Distribute simple printed cards with the Bill's details for supporters to hand to their MP at constituency surgeries."
Petitions related TIM project (Targeting Inactive Members),"15551 - No Right-To-Kill: Stop Abortion Decriminalisation - same core pro-life audience already mobilised on the dignity of the unborn.
16360 - Join the pro-life fightback!: Sign the Statement for Life - directly aligned pro-life supporter base likely to care about legal recognition of lost babies.
974 - No Right-To-Kill: Stop Reckless Abortion Amendments - UK-focused pro-life petitioners engaged on Westminster legislative fights over unborn life."
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,Individual MPs who could be persuaded ahead of the Bill's next Commons stage
What are we asking for in the petition?,"We call on the Government to give the Registration of Stillbirths (England and Wales) Bill the parliamentary time and backing it needs to become law, so that grieving parents are no longer denied the legal recognition of their child's life and death. A Private Member's Bill like this one can die quietly at first reading unless Ministers choose to support it: we ask the Secretary of State for Health and Social Care, and the Government more broadly, to honour the basic duty owed to every bereaved family, that a baby who was loved and lost is never treated by the state as though they never existed [VERIFY exact registration threshold the Bill proposes to change]."
Why would they listen to us?,"MPs sponsoring and considering Private Members' Bills need to demonstrate public appetite before Government will grant time for debate, and a clear surge of constituent contact is one of the few levers that moves a stalled Bill forward. CitizenGO's supporters have shown time and again, across pro-life campaigns reaching tens of thousands of signatures, that they will not stay silent when the dignity of unborn and lost children is at stake. A compassionate, cross-party cause like stillbirth registration is exactly the kind of campaign where a concentrated, respectful wave of public pressure can tip a Bill from obscurity into Government backing."
What is happening that we are responding to?,Registration of Stillbirths (England and Wales) Bill (sponsor: Jim McMahon) is at 1st reading in the Commons. Next key date: TBA.
What is the key point of injustice that is at stake here?,"Babies lost too early are legally invisible: current law recognises a stillbirth only when a baby is born after a set point in gestation, meaning countless babies lost earlier are given no formal registration, no certificate, no legal trace that they ever lived [VERIFY exact threshold]. Parents are denied the dignity of an official record: for many families, a birth and death certificate is the only lasting proof their child existed, and its absence deepens an already unbearable grief. The state's silence compounds private sorrow: a bureaucratic gap becomes a wound, telling parents in effect that their loss did not count in the eyes of the law. This Bill risks dying unheard at first reading: Private Members' Bills routinely stall without government support, and a compassionate, common-sense change to the law could simply be allowed to lapse. Every week of delay is another grieving family turned away: as debate continues elsewhere over where life begins and ends, families burying babies lost early in pregnancy are left waiting for basic recognition that should never have been in question. The wider culture of treating unborn life as disposable feeds this neglect: when the law hesitates to name a lost baby as a person who mattered, it reflects a broader failure to hold the unborn in proper regard."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"Every life deserves to be named: recognising a stillbirth in law, whatever the stage of pregnancy, affirms that the child who died was a person, not a statistic to be filed away. Grief needs recognition, not paperwork gaps: bereaved parents have said for years that the absence of a certificate makes healing harder, turning private mourning into a fight for basic acknowledgement. This Bill is consistent, not radical: extending registration to babies currently excluded closes an anomaly in the law rather than creating a new right, and it should command support across the political spectrum. It reinforces the sanctity of life at every stage: a state that is willing to formally register a baby lost before the current threshold is a state taking a small but meaningful step toward consistency in valuing life from conception. It stands in stark contrast to moves to expand abortion up to birth: at a moment when some in Parliament seek to strip away protections for the unborn, this Bill offers a rare, humane acknowledgement that every baby's life and death matter. Other countries already do this: [VERIFY jurisdictions] have extended stillbirth registration further than England and Wales currently does, showing it is practical and workable. Compassion for the bereaved crosses political lines: this is not a partisan abortion fight, it is a chance for MPs of every party to show that grieving families are heard. Delay costs real families real pain: every month Parliament fails to move this Bill forward is another month of parents denied a certificate for the child they lost. A government that claims to care for families in crisis must prove it here: warm words about supporting bereaved parents mean little if a straightforward Bill to formalise their loss in law is left to wither."
Why is it urgent that we take action now?,"This Bill is only at first reading in the Commons, with no date yet fixed for its next stage. That is precisely the danger: Private Members' Bills at this early point are fragile, and without visible public pressure and government backing they routinely disappear from the Order Paper altogether, never reaching a vote.

Once a Bill like this stalls, it does not simply pause, it dies. There is no guarantee of a future slot, no promise that another MP will pick up the cause, and grieving families will be left waiting indefinitely for a change in the law that should be straightforward and uncontroversial.

Successive governments have spoken of supporting bereaved parents and improving baby loss services, yet the law on registration has not kept pace. This Bill is a direct test of whether that concern is genuine or merely rhetorical.

If supporters stay silent now, at this earliest and most vulnerable stage, Parliament will read that silence as public indifference. We must act before the Bill quietly falls away, not after."
Describe a bad outcome if we do not win this campaign:,"If the Government fails to back this Bill, it will fall away quietly after first reading, as so many Private Members' Bills do, and grieving parents across England and Wales will continue to be denied any legal record of the baby they lost. Their loss will remain, in the eyes of the state, as though it never happened, deepening the isolation of families already carrying unbearable grief."
