Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Terminally Ill Adults (End of Life) Bill (DRAFT),cjoyce@citizengo.net,2026-08-13,Urgent Campaign (29 days to 2026-09-11),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Life
Main Purposes,Political Impact
Background / Context,"Terminally Ill Adults (End of Life) Bill (sponsor: Lauren Edwards) is at 2nd reading in the Commons. Next key date: 2026-09-11. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 345 debate contributions, 1 written questions."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-09-11
Ideas for eventual Offline Actions,"- Organise a constituent letter-writing drive outside local churches and community centres ahead of the 11 September 2026 date
- Coordinate small delegations of constituents to request meetings with their MP before the next Commons stage
- Hold a prayer vigil for the terminally ill and for MPs facing this vote
- Distribute printed briefing cards outside MPs' constituency surgeries explaining the Bill and the ask
- Encourage local hospice and palliative care volunteers to share their frontline experience directly with MPs"
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,Individual MPs who could be persuaded ahead of the Bill's next Commons stage
What are we asking for in the petition?,"We are asking MPs to vote against the Terminally Ill Adults (End of Life) Bill at Second Reading in the House of Commons, and to reject any move to legalise assisted suicide for terminally ill people in England and Wales. Supporters are being asked to write directly to their MP before the bill's next Commons stage, due 11 September 2026, urging them to vote No."
What is happening that we are responding to?,"Terminally Ill Adults (End of Life) Bill (sponsor: Lauren Edwards) is at 2nd reading in the Commons. Next key date: 2026-09-11. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 345 debate contributions, 1 written questions."
What is the key point of injustice that is at stake here?,"This Bill would open the door to state-sanctioned killing of the sick and dying, dressed up as compassion. Once assisted dying is written into law, it does not stay contained. The most vulnerable, the elderly, the disabled, the depressed, those who feel they are a burden, become exposed to a quiet pressure to end their lives rather than be cared for. That is not mercy. That is abandonment."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"- Every doctor's duty is to heal and to comfort, never to kill. This Bill asks the medical profession to cross a line that should never be crossed.
- Countries and states that have legalised assisted dying have seen eligibility criteria widen over time, drawing in people who were never the original target group. [VERIFY: specific comparative evidence]
- Genuine compassion means investing in palliative care and human presence at the end of life, not offering death as a service.
- Vulnerable people, the disabled, the elderly, those without family support, are placed at real risk once assisted suicide becomes a legal option rather than an unthinkable act.
- Life has inherent dignity and worth from beginning to natural end. No Parliament has the right to legislate that some lives are no longer worth living."
Why is it urgent that we take action now?,"This Bill is already at Second Reading in the Commons, with 345 debate contributions logged in the last six months alone. Momentum is building in Parliament, and the next key date is 11 September 2026. MPs need to hear from constituents now, before this Bill advances any further. Silence will be read as consent."
Why would they listen to us?,"MPs at Second Reading are still forming their final view and are highly sensitive to constituency pressure on a conscience issue like this. A strong, personal wave of letters from real constituents, especially those who know the fear and reality of terminal illness, carries real weight on a free vote of this kind."
Describe a bad outcome if we do not win this campaign:,"If this Bill passes, England and Wales will have crossed an irreversible line. Assisted suicide becomes normalised, vulnerable and elderly people feel pressure to request death rather than seek care, and the medical profession is reshaped around the taking of life rather than the protection of it. Once the law is changed, it will not be changed back."
Describe a good outcome if we do win this campaign:,"MPs vote down the Terminally Ill Adults (End of Life) Bill. The principle that every human life is worth protecting to its natural end is upheld in British law. Resources and political attention turn instead to strengthening palliative and hospice care, so that no one facing terminal illness ever feels that death is their only option."
Which sources do you want to include? Please provide the titles plus URLs:,https://bills.parliament.uk/bills/4157 | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"An elderly or terminally ill person's hand being gently held by a loved one or carer, warm natural light, conveying dignity, presence and care rather than fear or clinical sterility. Avoid anything graphic or medicalised. The tone should be tender and human, reinforcing that real compassion means accompanying people to a natural death, not helping to end their life."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Recent supporter response on this topic is in the EOS dashboard, not here.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 299 with us (++/+), 327 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
2026-09-11,Key parliamentary date,2nd reading
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
