Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Consultation: Tying the Knot: Reforming weddings law in England and Wales (DRAFT),cjoyce@citizengo.net,2026-08-13,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Political Impact
Background / Context,"Consultation: Tying the Knot: Reforming weddings law in England and Wales. Law Commission weddings reform closes 24 September. Celebrant-led and outdoor ceremonies risk detaching marriage from its legal safeguards. Campaign live under Zuzana; response push through recess. Deadline: 2026-09-24. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 9 debate contributions, 4 written questions."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,Before 2026-09-24
Ideas for eventual Offline Actions,"- Organise a letter-writing session at local churches encouraging members to submit their own consultation responses before 24 September.
- Host a short briefing evening explaining what the Law Commission's proposals mean for marriage law and legal protections for families.
- Distribute printed consultation guides through parish networks and family organisations to help supporters respond in their own words.
- Ask supportive faith leaders to raise the consultation from the pulpit or in newsletters during the response window."
Petitions related TIM project (Targeting Inactive Members),
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,"The responsible department, via the consultation response"
What are we asking for in the petition?,"We are asking supporters to respond directly to the Law Commission's consultation, urging ministers to reject any weddings law reform that strips away the legal safeguards built into marriage, and to preserve marriage in England and Wales as a solemn, legally protected institution rather than a loosely regulated ceremony of choice."
What is happening that we are responding to?,"Consultation: Tying the Knot: Reforming weddings law in England and Wales. Law Commission weddings reform closes 24 September. Celebrant-led and outdoor ceremonies risk detaching marriage from its legal safeguards. Campaign live under Zuzana; response push through recess. Deadline: 2026-09-24. Parliamentary activity on this issue in the last six months (from the monitor's ledger): 9 debate contributions, 4 written questions."
What is the key point of injustice that is at stake here?,"Marriage is not just a ceremony, it is a legal bond that protects spouses, children and families. This consultation proposes opening the door to celebrant-led and outdoor ceremonies that risk detaching marriage from the legal safeguards that have protected couples and families for generations. Weakening those safeguards in the name of flexibility puts the very meaning and protection of marriage at risk."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"- Marriage law exists to protect people, not merely to mark an occasion. Legal safeguards around who can marry, how, and under what oversight exist for good reason.
- Celebrant-led ceremonies without proper regulatory oversight risk creating confusion over what is and is not a legally binding marriage, leaving couples and families exposed.
- Outdoor and unregulated ceremony formats may sound appealing but they can weaken the state's ability to ensure marriages are entered into freely, lawfully and with proper record-keeping.
- Reform should strengthen protection for marriage as a public, legally accountable institution, not dissolve the distinctions that give it meaning and legal force.
- Family stability depends on clear legal foundations. Any reform that blurs the line between symbolic ceremony and legal marriage threatens that stability."
Why is it urgent that we take action now?,"The consultation closes on 24 September 2026. Once it closes, the window for the public to have a say on how marriage law is reshaped will be gone. With debate already active in Parliament, nine debate contributions and four written questions on this issue in the last six months, the direction of reform is being actively shaped right now. Supporters must respond before the deadline or lose the chance to be heard."
Why would they listen to us?,"This is a live, open Law Commission consultation. Government bodies conducting statutory consultations are required to consider public responses before recommending changes to the law. Sustained parliamentary interest, shown by ongoing debate contributions and written questions, means this issue is firmly on the radar of decision-makers, and a strong volume of public responses defending legal safeguards can genuinely influence the final recommendations."
Describe a bad outcome if we do not win this campaign:,"If reform proceeds unchecked, marriage in England and Wales could be reshaped into a loosely regulated ceremony detached from proper legal safeguards. Celebrant-led and outdoor weddings without sufficient oversight could blur the line between a legally binding marriage and a symbolic occasion, weakening protections for spouses and children and eroding the institution of marriage itself."
Describe a good outcome if we do win this campaign:,"If we succeed, the consultation response will reflect strong public demand to preserve marriage as a legally protected, properly safeguarded institution. Any reform to weddings law will maintain robust legal oversight, ensuring that marriage continues to carry the full weight of legal protection for couples and families, regardless of ceremony format."
Which sources do you want to include? Please provide the titles plus URLs:,https://www.gov.uk/government/consultations/tying-the-knot-reforming-weddings-law-in-england-and-wales | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"A simple, warm image of a couple exchanging vows in a traditional wedding setting, hands joined, with a subtle legal or civic symbol (such as a marriage register or courthouse pillar) faintly visible in the background, conveying that marriage is both a sacred commitment and a legally protected institution worth defending."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Protect Marriage: Keep Clear Consent in Law: 2,096 new / 21,371 sigs (9.8% acquired) | Marriage works. Don't let the Government rewrite the rules.: 629 new / 15,846 sigs (4.0% acquired) | One Law for Marriage: Protect women and children from sharia: 352 new / 21,072 sigs (1.7% acquired). Topic lifetime: 4 campaigns, 3,077 new members, median acquisition 4.0%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 13 with us (++/+), 19 against (-/--).",,,
