Decision-Maker,Country,Group,Column,Comments,Evidence: Nigeria: persecution of Christians resolution (2026-07-09); ePrivacy scanning derogation: fast-track request (2026-07-07); SDG resolution (2026 High-Level Political Forum) (2026-07-07); European Democracy Shield: special committee report (2026-09-15)
Alexander JUNGBLUTH,Germany,Europe of Sovereign Nations Group,++,,
Alexander SELL,Germany,Europe of Sovereign Nations Group,++,,
Anja ARNDT,Germany,Europe of Sovereign Nations Group,++,,
Arno BAUSEMER,Germany,Europe of Sovereign Nations Group,++,,
Hans NEUHOFF,Germany,Europe of Sovereign Nations Group,++,,
Irmhild BOSSDORF,Germany,Europe of Sovereign Nations Group,++,,
Ivan DAVID,Czechia,Europe of Sovereign Nations Group,++,,
Marc JONGEN,Germany,Europe of Sovereign Nations Group,++,,
Marcin SYPNIEWSKI,Poland,Europe of Sovereign Nations Group,++,,
Markus BUCHHEIT,Germany,Europe of Sovereign Nations Group,++,,
Mary KHAN,Germany,Europe of Sovereign Nations Group,++,,
Milan MAZUREK,Slovakia,Europe of Sovereign Nations Group,++,,
Milan UHRÍK,Slovakia,Europe of Sovereign Nations Group,++,,
Petar VOLGIN,Bulgaria,Europe of Sovereign Nations Group,++,,
Petr BYSTRON,Germany,Europe of Sovereign Nations Group,++,,
Petras GRAŽULIS,Lithuania,Europe of Sovereign Nations Group,++,,
Rada LAYKOVA,Bulgaria,Europe of Sovereign Nations Group,++,,
René AUST,Germany,Europe of Sovereign Nations Group,++,,
Roberto VANNACCI,Italy,Europe of Sovereign Nations Group,++,,
Sarah KNAFO,France,Europe of Sovereign Nations Group,++,,
Siegbert Frank DROESE,Germany,Europe of Sovereign Nations Group,++,,
Stanislav STOYANOV,Bulgaria,Europe of Sovereign Nations Group,++,,
Stanisław TYSZKA,Poland,Europe of Sovereign Nations Group,++,,
Tomasz FROELICH,Germany,Europe of Sovereign Nations Group,++,,
Volker SCHNURRBUSCH,Germany,Europe of Sovereign Nations Group,++,,
Zsuzsanna BORVENDÉG,Hungary,Europe of Sovereign Nations Group,++,,
Alberico GAMBINO,Italy,European Conservatives and Reformists Group,++,,
Alessandro CIRIANI,Italy,European Conservatives and Reformists Group,++,,
Antonella SBERNA,Italy,European Conservatives and Reformists Group,++,,
Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,++,,
Aurelijus VERYGA,Lithuania,European Conservatives and Reformists Group,++,,
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,++,,
Beatrice TIMGREN,Sweden,European Conservatives and Reformists Group,++,,
Carlo CICCIOLI,Italy,European Conservatives and Reformists Group,++,,
Carlo FIDANZA,Italy,European Conservatives and Reformists Group,++,,
Charlie WEIMERS,Sweden,European Conservatives and Reformists Group,++,,
Chiara GEMMA,Italy,European Conservatives and Reformists Group,++,,
Claudiu-Richard TÂRZIU,Romania,European Conservatives and Reformists Group,++,,
Cristian TERHEŞ,Romania,European Conservatives and Reformists Group,++,,
Daniel OBAJTEK,Poland,European Conservatives and Reformists Group,++,,
Daniele POLATO,Italy,European Conservatives and Reformists Group,++,,
Denis NESCI,Italy,European Conservatives and Reformists Group,++,,
Dick ERIXON,Sweden,European Conservatives and Reformists Group,++,,
Diego SOLIER,Spain,European Conservatives and Reformists Group,++,,
Dominik TARCZYŃSKI,Poland,European Conservatives and Reformists Group,++,,
Elena DONAZZAN,Italy,European Conservatives and Reformists Group,++,,
Elena YONCHEVA,Bulgaria,European Conservatives and Reformists Group,++,,
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,++,,
Francesco TORSELLI,Italy,European Conservatives and Reformists Group,++,,
Francesco VENTOLA,Italy,European Conservatives and Reformists Group,++,,
Galato ALEXANDRAKI,Greece,European Conservatives and Reformists Group,++,,
Gheorghe PIPEREA,Romania,European Conservatives and Reformists Group,++,,
Giovanni CROSETTO,Italy,European Conservatives and Reformists Group,++,,
Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,++,,
Guillaume PELTIER,France,European Conservatives and Reformists Group,++,,
Ivaylo VALCHEV,Bulgaria,European Conservatives and Reformists Group,++,,
Jaak MADISON,Estonia,European Conservatives and Reformists Group,++,,
Jacek OZDOBA,Poland,European Conservatives and Reformists Group,++,,
Jessika VAN LEEUWEN,Netherlands,European Conservatives and Reformists Group,++,,
Kristoffer STORM,Denmark,European Conservatives and Reformists Group,++,,
Lara MAGONI,Italy,European Conservatives and Reformists Group,++,,
Laurence TROCHU,France,European Conservatives and Reformists Group,++,,
Maciej WĄSIK,Poland,European Conservatives and Reformists Group,++,,
Mariateresa VIVALDINI,Italy,European Conservatives and Reformists Group,++,,
Mario MANTOVANI,Italy,European Conservatives and Reformists Group,++,,
Marion MARÉCHAL,France,European Conservatives and Reformists Group,++,,
Michał DWORCZYK,Poland,European Conservatives and Reformists Group,++,,
Michele PICARO,Italy,European Conservatives and Reformists Group,++,,
Nicolas BAY,France,European Conservatives and Reformists Group,++,,
Nora JUNCO GARCÍA,Spain,European Conservatives and Reformists Group,++,,
Ondřej KRUTÍLEK,Czechia,European Conservatives and Reformists Group,++,,
Paolo INSELVINI,Italy,European Conservatives and Reformists Group,++,,
Pietro FIOCCHI,Italy,European Conservatives and Reformists Group,++,,
Piotr MÜLLER,Poland,European Conservatives and Reformists Group,++,,
Ruggero RAZZA,Italy,European Conservatives and Reformists Group,++,,
Sander SMIT,Netherlands,European Conservatives and Reformists Group,++,,
Sebastian TYNKKYNEN,Finland,European Conservatives and Reformists Group,++,,
Sergio BERLATO,Italy,European Conservatives and Reformists Group,++,,
Stefano CAVEDAGNA,Italy,European Conservatives and Reformists Group,++,,
Stephen Nikola BARTULICA,Croatia,European Conservatives and Reformists Group,++,,
Taner KABILOV,Bulgaria,European Conservatives and Reformists Group,++,,
