Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell the Health Minister: Sex Is Not a Feeling (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,"Draft generated by parl-monitor. Subject: PQ HL3338 (Lords): Gender Dysphoria: Health Services, answered 2026-09-17",
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Topic,Family & Education
Main Purposes,Acquisition
Background / Context,"PQ HL3338 (Lords): Gender Dysphoria: Health Services, answered 2026-09-17. Gender dysphoria service scrutiny intersects with single-sex space policy questions affecting clinical and institutional practice."
Estimated Launch date,[CAMPAIGNER]
Estimated date for Delivering Signatures,[CAMPAIGNER]
Ideas for eventual Offline Actions,"Encourage supporters to write personally to their local NHS trust asking how single sex ward policy is enforced in practice; organise a small letter writing day outside a local hospital trust headquarters; produce a simple one page briefing on the Equality Act's single sex exemptions for supporters to hand to their MP; invite a nurse or clinician who has faced pressure over these issues to share their story at a supporter meeting, subject to their consent and safety."
Petitions related TIM project (Targeting Inactive Members),"13425 - Stand with Darlington nurses for safe spaces for women - direct match on NHS single sex space policy for nursing staff
15129 - Justice for Jennifer: Nurse disciplined and could lose job for referring to racist trans paedophile as 'Mr' - shows clinicians disciplined for upholding sex based language in healthcare
13849 - Stop NHS Gender Clinics and Puberty Blocker Trials on Children - direct overlap with gender dysphoria services for children"
PROMPTS FOR AI - PLAN PHASE
What is the language for this petition?,English
Who will sign the emails for this petition?,Christopher Joyce
Who is the petition addressed to?,[CAMPAIGNER: decision-maker]
What are we asking for in the petition?,"We call on the Minister for Health to give Parliament, and the country, a clear and binding assurance that gender dysphoria services across the NHS will be governed by biological sex, not by self declared identity, and that single sex spaces in hospitals, wards and clinical settings will be protected as a matter of patient safety and dignity, not treated as an optional courtesy. This is owed because the Minister holds statutory responsibility for NHS safety standards and because women and vulnerable patients were promised, through the Equality Act and through years of NHS guidance, that sex based protections in healthcare would not be quietly redefined out of existence. Sex is not a feeling, and the answer given in HL3338 must not be allowed to blur that distinction further while frontline services are left without clear direction."
Why would they listen to us?,"Ministers respond to sustained, visible public pressure, particularly on an issue where the government has already made public commitments it cannot easily disown. CitizenGO supporters have shown, through campaigns defending single sex spaces and challenging unsafe gender medicine practice for children, that this movement can put tens of thousands of names behind a clear demand and keep the pressure on until a straight answer is given."
What is happening that we are responding to?,"PQ HL3338 (Lords): Gender Dysphoria: Health Services, answered 2026-09-17. Gender dysphoria service scrutiny intersects with single-sex space policy questions affecting clinical and institutional practice."
What is the key point of injustice that is at stake here?,"Vulnerable patients are left exposed: When gender dysphoria services blur the line between sex and gender identity, women and girls on hospital wards lose the certainty that same sex care means same sex care, not a policy left to individual interpretation.

Clinicians are put in an impossible position: Nurses and doctors are being asked to navigate contested policy on the ward floor without clear, biology based guidance from the top, leaving them exposed to disciplinary action for simply stating the obvious.

Women's dignity is treated as negotiable: Answers to parliamentary questions on gender dysphoria services routinely sidestep the basic question of whether single sex spaces will be protected, as though women's reasonable expectation of privacy is a footnote rather than a right.

Children caught in gender distress deserve caution, not confusion: A health system that cannot give a straight answer on sex based service design is a health system unlikely to give struggling children the careful, evidence led care they are owed.

Silence from Government reads as drift: Each vague or evasive answer to questions like HL3338 lets institutional practice harden by default, without ever being properly debated or decided by Parliament."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"Biological sex is a material fact, not an ideology: Healthcare decisions about wards, changing areas and intimate care must be built on the reality of the body being treated, because clinical safety depends on it.

The Equality Act protects single sex services for good reason: Exemptions exist precisely so hospitals can provide sex based care where privacy, dignity or safety require it, and gender dysphoria policy cannot be allowed to erode that protection by stealth.

Frontline staff need clarity, not ambiguity: Nurses and doctors cannot be expected to defend patients' rights to single sex care if ministers themselves will not say plainly that biological sex still matters in clinical settings.

Women have raised these concerns for years and been dismissed: From hospital wards to prisons to refuges, women warning that self identification undermines safeguarding have too often been told their concerns are unfounded, only for cases to prove them right.

Children in gender distress deserve rigorous, cautious care: International reviews, including in the UK, have urged caution over medical pathways for gender dysphoria in children, and evasive answers on service design suggest that caution is not being consistently applied.

Parliamentary questions exist to hold the executive to account: When a written answer to a question like HL3338 fails to give a straight answer, it is not a technicality, it is a missed opportunity to secure a public commitment that protects patients now.

Public trust in the NHS depends on honesty about trade offs: Pretending there is no tension between gender self identification and single sex provision does not resolve the tension, it simply hides it from the people relying on NHS care."
