Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"Matt Vickers (Conservative, Stockton West)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),24,mp-votes.html#mp-4844,"2026-06-01 DEBATE: Spoke: Child Sexual Offender Data (re: grooming gang) ""This is not a new issue. During the passage of the Crime and Policing Act, I and colleagues tabled amendments that would have required greater transparency around the collection and publication of ethnicity data relating to sexual offenders and grooming..."" [0: Concerns data transparency on grooming gangs, unrelated to listed areas] | 2026-04-14 DEBATE: Spoke: Crime and Policing Bill ""We welcome the Government’s adoption of the amendment tabled by my hon. Friend the Member for Gosport (Dame Caroline Dinenage) and supported by my hon. Friend the Member for Rutland and Stamford (Alicia Kearns) to address the depiction of strangulation in..."" [0: Focuses on pornography and security topics, no bearing on abortion or free speech] | 2025-06-18 DEBATE: Spoke:  Crime and Policing Bill ""I would also like to draw the House’s attention to new clause 131, which would introduce mandatory deportation for foreign nationals found in possession of child sexual abuse images. These sick paedophiles have no place in our country and they, along with all..."" [+: Supports removing recording of non-crime hate incidents, favouring free speech] | 2025-05-13 DEBATE: Spoke: Crime and Policing Bill (Fifteenth sitting) ""Crime and Policing Bill (Fifteenth sitting)"" [0: Grooming gangs inquiry clause, unrelated to abortion or parental education rights] | 2025-05-13 DEBATE: Spoke: Crime and Policing Bill (Fifteenth sitting) ""Crime and Policing Bill (Fifteenth sitting)"" [0: Debate on police oversight powers, unrelated to abortion policy area] | 2025-05-08 DEBATE: Spoke: Crime and Policing Bill (Thirteenth sitting) ""It is a pleasure to serve under your chairmanship, Mr Pritchard. The Opposition welcome the measures that aim to restrict the sale of knives in a wider bid to tackle knife crime. The unregulated purchase of dangerous items such as knives or crossbows presents..."" [0: Discusses knife sale restrictions, unrelated to abortion or free speech directly] | 2025-05-08 DEBATE: Spoke: Crime and Policing Bill (Thirteenth sitting) ""“Even if a performer or creator has provided consent for the initial recording and sharing of pornographic content, they should have every right to withdraw consent at a later point…and have that content removed.”"" [0: Information-seeking questions on porn age verification and extreme content definitions, direction unclear] | 2025-04-29 DEBATE: Spoke: Crime and Policing Bill (Twelfth sitting) ""Crime and Policing Bill (Twelfth sitting)"" [0: Describes counterterrorism youth diversion orders, unrelated to abortion, purely procedural detail] | 2025-04-29 DEBATE: Spoke: Crime and Policing Bill (Eleventh sitting) ""Crime and Policing Bill (Eleventh sitting)"" [0: Technical discussion of SIM farms, unrelated to abortion] | 2025-04-24 DEBATE: Spoke: Crime and Policing Bill (Ninth sitting) ""Crime and Policing Bill (Ninth sitting)"" [0: Discusses intimate image abuse offences, unrelated to abortion policy] | 2025-04-24 DEBATE: Spoke: Crime and Policing Bill (Ninth sitting) ""Crime and Policing Bill (Ninth sitting)"" [0: Discusses exposure offence law, unrelated to abortion policy area] | 2025-04-24 DEBATE: Spoke: Crime and Policing Bill (Tenth sitting) ""Clause 74 creates a new criminal offence targeting individuals who intentionally carry out acts capable of encouraging or assisting another person to seriously self-harm. Crucially, the offence goes beyond previous legislation, such as section 184 of the..."" [0: Explains new self-harm offence details, no direction on abortion, assisted dying or free speech] | 2025-04-24 DEBATE: Spoke: Crime and Policing Bill (Tenth sitting) ""Crime and Policing Bill (Tenth sitting)"" [0: Discussion of stalking law reform, unrelated to abortion or listed CitizenGO areas] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Sixth sitting) ""Crime and Policing Bill (Sixth sitting)"" [0: Discusses child exploitation prosecutions, no clear stance on listed CitizenGO areas] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Sixth sitting) ""Crime and Policing Bill (Sixth sitting)"" [0: Discusses child criminal exploitation offence, unrelated to abortion or assisted dying] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Fifth sitting) ""Crime and Policing Bill (Fifth sitting)"" [0: Debate on retail worker assaults, unrelated to abortion or other tracked issues] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Fifth sitting) ""Until this point, police have had to rely on several criminal offences through which to prosecute violence and assault against retail workers, including assault, unlawful wounding or grievous bodily harm under the common law or the Offences against the Person..."" [0: Concerns retail worker protection, unrelated to abortion] | 2025-04-01 DEBATE: Spoke: Crime and Policing Bill (Third sitting) ""Crime and Policing Bill (Third sitting)"" [0: Concerns anti-social behaviour orders, unrelated to abortion policy area] | 2025-03-27 DEBATE: Spoke: Crime and Policing Bill (Second sitting) ""Dan Sexton: There are many, many things that we could do to improve online safety, and many things that could be done to improve the safer use of AI tools. However, in the context of this Bill and the criminalisation of things, we think that it has done a..."" [0: Committee evidence session on child exploitation and online safety, informational exchange] | 2025-03-27 DEBATE: Spoke: Crime and Policing Bill (Second sitting) ""Crime and Policing Bill (Second sitting)"" [0: PCC evidence on Crime and Policing Bill, unrelated to abortion despite tagged area] | 2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: General praise for police and crime bill measures, unrelated to abortion stance] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),19,mp-votes.html#mp-4857,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2026-04-27 EDM: Sponsored EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2026-03-02 PQ: Abortion: Gender ""Abortion: Gender"" [+: Pushes for clarity that sex-selective abortion is illegal, pro-life leaning] | 2023-11-29 EDM: Sponsored EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-01-23 DEBATE: Spoke: Northern Ireland Budget Bill (re: abortion) ""Let me home in on the figures and how the Government are approaching allocations, starting with allocations to the Department of Health. The Secretary of State has aggressively pursued the provision of abortion services in Northern Ireland against the wishes..."" [++: Criticises Secretary of State for aggressively pursuing abortion services against local wishes] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [++: Defends religious liberty and pro-life presence near abortion clinic against PSPO arrest] | 2022-10-18 DEBATE: Spoke:  Public Order Bill (re: abortion) ""In the vast majority of cases, there is no evidence that hospitals and abortion clinics are affected by protesters, so a blanket ban is an unnecessary and disproportionate response, especially when the police can protect women through other lawful means. The..."" [++: Argues against new clause creating abortion buffer zones, pro-life aligned] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-10 EDM: Sponsored EDM: Abortion time limits and fetal viability [++: Calls for reducing abortion time limit based on fetal viability evidence, pro-life aligned] | 2021-05-11 EDM: Sponsored EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-04-26 DEBATE: Spoke: Abortion (Northern Ireland) Regulations 2021 ""Abortion (Northern Ireland) Regulations 2021"" [++: Explicitly pro-life, urges pathways to choose life and voting against abortion regulations] | 2021-03-12 PQ: Abortion: Childbirth ""Abortion: Childbirth"" [++: Raises concern for infants surviving failed abortions, strong pro-life framing] | 2021-01-12 EDM: Sponsored EDM: Fetal pain (29 signatures) (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-11-23 PQ: Abortion: Disability ""To ask the Secretary of State for Health and Social Care, pursuant to the Answer of 20 October 2020 to Question 96229 on Abortion: Disability, what annual assessment his Department makes of the named medical condition for abortions under Ground E of the s"" [+: Probes disability ground abortion data, consistent with pro-life scrutiny] | 2020-11-09 PQ: Developing Countries: Abortion ""Developing Countries: Abortion"" [+: Highlights illegal abortion practice by provider, aligns with pro-life scrutiny] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM: Sponsored EDM: UK law on disability-selective abortion (42 signatures) [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned] | 2020-01-08 DEBATE: Spoke:  Northern Ireland (Executive Formation etc) Act 2019 (re: abortion) ""Northern Ireland has been a country that has always supported life-affirming laws. Back in 1967, our politicians said no to the Abortion Act, and according to research conducted by Both Lives Matter, 100,000 more people are alive today. England and Wales back..."" [++: Maiden speech praises Northern Ireland's rejection of Abortion Act, cites lives saved as pro-life achievement]",,
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),17,mp-votes.html#mp-4131,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2025-09-10 DEBATE: Spoke: Equality Act 2010: Impact on  British Society (re: freedom of religion or belief) ""I have had great concerns over the abortion legislation, the assisted dying legislation, welfare reform and family inheritance tax. Those are massive issues for my constituents; I have received thousands of emails about them. But even though we may not win..."" [+: Voices concern over abortion and assisted dying legislation, aligning with pro-life stance] | 2024-01-17 DEBATE: Spoke: Public Sector Pay 2024-25 (re: abortion) ""Why should the Secretary of State do that? Because the Government here have already done it on three occasions. They did it for sex and relationships education, they did it for the Irish language Bill and they did it for the abortion Bill. If they can do it..."" [+: Criticises Westminster imposing abortion legislation on Northern Ireland without consent] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-06-26 DEBATE: Spoke: Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023 ""Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023"" [++: Opposes imposed RSE regulations, defending local and parental control over education] | 2023-01-23 DEBATE: Spoke: Northern Ireland Budget Bill (re: abortion) ""The hon. Member for Foyle (Colum Eastwood) referred to Dáithí’s law, which I fully support. I have always supported the organ donation opt-out process: I supported and sponsored the private Member’s Bill about it that the then Member for Coventry North West..."" [0: Discusses organ donation law, not directly addressing abortion stance] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [++: Defends religious liberty and pro-life presence near abortion clinic against PSPO arrest] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-10 EDM-SIGNED: Signed EDM: Abortion time limits and fetal viability [++: Calls for reducing abortion time limit based on fetal viability evidence, pro-life aligned] | 2021-10-26 DEBATE: Spoke:  Northern Ireland (Ministers, Elections and Petitions of Concern) Bill (re: abortion) ""During covid, despite discussion of an abortion Bill, this Government determined that they would bring in abortion in Northern Ireland in the most open way not just in the UK but in all of Europe. Along with colleagues, I strongly resented that, and I still..."" [++: Criticises government for imposing abortion in Northern Ireland openly] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-12-06 PQ: Abortion: Disability ""To ask the Secretary of State for Health and Social Care, whether it his Department's policy that (a) Down's syndrome, (b) cleft lip, and (c) cleft palate are disabilities that would meet the grounds for abortion under Ground E of the statutory grounds fo"" [+: Questions disability abortion grounds, aligns with pro-life scrutiny of Ground E] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned] | 2020-05-04 DEBATE: Spoke: Public Health (re: abortion) ""This is not just a UK issue; it is global, and we cannot ignore what is happening elsewhere. According to the United States Commission on International Religious Freedom, Governments around the world have been using the covid-19 crisis as an excuse to use..."" [+: Regrets NI lacks own say on abortion law, laments imposed liberalisation; cites religious freedom concerns under covid]",,
"Sir Edward Leigh (Conservative, Gainsborough)",1,,,,,,"a vote, 5 years ago",strong (decided by a free vote),17,mp-votes.html#mp-345,"2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Explicitly opposes assisted dying Bill, citing NHS principle of preserving life] | 2025-06-17 DEBATE: Spoke: Crime and Policing Bill ""In the second iteration of her new clause, the hon. Member for Walthamstow (Ms Creasy) has added a measure that seeks to amend the Abortion Act 1967, to create the impression that a time limit would remain. However, the Abortion Act only provides exemptions..."" [++: Opposes new clause that would repeal abortion offences and remove the 24-week limit] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-03-08 PQ: Abortion: Clinics ""Abortion: Clinics"" [+: Probes balance of free expression against PSPO restrictions, sympathetic framing] | 2023-03-08 PQ: Abortion: Clinics ""Abortion: Clinics"" [+: Questions PSPO compatibility with human rights, defends protest freedom near clinics] | 2022-11-28 DEBATE: Spoke: Legal Rights to Access Abortion ""MPs who want even wider laws on abortion recently hijacked the Government’s Public Order Bill in an attempt to introduce buffer or censorship zones, the aim of which is to restrict the fundamental freedoms of speech and expression. They are against people’s..."" [++: Opposes abortion buffer zones and defends free speech/pro-life volunteers] | 2022-10-18 DEBATE: Spoke:  Public Order Bill (re: freedom of expression) ""To be clear, the people this amendment targets are peaceful protestors, often elderly grandmothers, frankly, who are entirely peaceful. They politely pray and hand out leaflets. The contrast could not be greater between those protestors and those of the likes..."" [++: Opposes buffer zones as disproportionate to free expression, defends pro-life protest rights] | 2022-07-04 DEBATE: Spoke: Assisted Dying ""I simply take a very pro-life point of view. It is not from my religious conviction or my belief that everybody is beautiful and wonderful, however small, however tiny in the womb, however old or frail, how much of a burden they are, whether they are a..."" [++: Explicitly states a pro-life view and opposes assisted dying as death on demand] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-12-14 PQ: Abortion: Drugs ""Abortion: Drugs"" [+: Follow-up probing veracity of abortion pill safety incidents] | 2020-12-14 PQ: Abortion: Safety ""Abortion: Safety"" [+: Raises safety concerns about home medical abortion complications] | 2020-11-03 PQ: Abortion: Private Sector ""Abortion: Private Sector"" [+: Highlights deaths from abortion, framing consistent with pro-life concern] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-02-11 PQ: Abortion ""Abortion"" [+: Pushes for safeguarding oversight of abortion clinics regarding abuse] | 2020-02-11 PQ: Abortion ""Abortion"" [+: Raises safeguarding concerns at abortion clinics, aligns with pro-life scrutiny] | 2020-02-07 PQ: Abortion: Protest ""To ask the Secretary of State for the Home Department, how many people were arrested for praying in buffer zones around abortion clinics in 2018."" [++: Highlights arrests of pro-life prayer protesters, sympathetic framing against buffer zone enforcement]",,
"Danny Kruger (Reform UK, East Wiltshire)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),13,mp-votes.html#mp-4858,"2025-03-19 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-seventh sitting) ""Some hon. Members suggested that, if an institution receives public funding, it would be appropriate for it to be obligated to deliver the service. I am concerned about the implication of that, which might be that institutions that did not wish to provide or..."" [+: Defends care homes' right to refuse hosting assisted suicide, opposing forced provision] | 2025-03-19 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-seventh sitting) ""Terminally Ill Adults (End of Life) Bill (Twenty-seventh sitting)"" [+: Probes necessity of criminal exemption clause, showing scepticism toward assisted dying provisions] | 2025-03-19 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-sixth sitting) ""On the suggestion that there is a comparison with an abortion service no one is suggesting that a woman who goes into a refuge, discovers she is pregnant and wants to have a termination is somehow obliged to have it on the premises of the refuge, which does..."" [+: Defends care homes' right to refuse facilitating assisted suicide, protecting institutional conscience] | 2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) ""Members may be interested to know that the conscience clause in the Abortion Act 1967 simply says:"" [+: Advocates broader conscience protections for those refusing to assist in assisted dying] | 2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) ""I am very pleased to hear it. I thank the hon. Lady for that. That helps me because I was perplexed about the difference. It is good to hear from her that there is no particular group of professionals who she thinks should not be included in the conscience..."" [+: Proposes conscience clause protecting professionals from involvement in assisted dying] | 2025-03-04 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Seventeenth sitting) ""We are still unclear whether this process will take place within the NHS or outside it. Nevertheless, the obligation to refer in the Bill would be a direct breach of doctors’ rights and would impose a moral injury on them. My preference is to remove clause..."" [++: Argues against compulsory referral, defending doctors' conscientious objection] | 2025-02-12 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Eleventh sitting) ""There is a certain confusion about the extent to which encouragement of assisted suicide—assisted dying, under the terms of the Bill—would be legal or not. The Bill does not decriminalise encouragement either to an assisted suicide, which is an assisted death..."" [+: Seeks stricter safeguards against encouragement of assisted suicide within the bill] | 2023-03-07 DEBATE: Spoke: Public Order Bill (re: abortion) ""The question now before us, and the purpose of amendment (a) to Lords amendment 5, is about what is to happen in these safe access zones, as they are now to be called. I recognise that is the intention behind the Lords amendment, and the intention behind the..."" [++: Opposes criminalising prayer/private thought near clinics, defends pro-life speech] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-07-05 DEBATE: Spoke:  Police, Crime, Sentencing and Court Bill (re: abortion) ""The effect would be to legalise or to decriminalise abortion up to birth."" [++: Strongly opposes decriminalising abortion up to birth and defends free expression against criminalisation] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]",,
"Bob Blackman (Conservative, Harrow East)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),12,mp-votes.html#mp-4005,"2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2024-02-06 PQ: Abortion: Demonstrations ""Abortion: Demonstrations"" [+: Questions disproportionate enforcement against pro-life protests near clinics] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [++: Defends religious liberty and pro-life presence near abortion clinic against PSPO arrest] | 2022-09-26 PQ: Abortion: Telemedicine ""To ask the Secretary of State for Health and Social Care, whether her Department has assessed the effectiveness of MSI Reproductive Choices UK’s enhanced safeguarding pathways for telemedicine abortion services; what steps her Department is taking to help"" [+: Raises safeguarding concerns about telemedicine abortion, implying scrutiny of remote abortion practice] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]",,
"Mr Gregory Campbell (Democratic Unionist Party, East Londonderry)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),10,mp-votes.html#mp-1409,"2026-05-13 EDM: Sponsored EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-01-11 EDM: Sponsored EDM: Arrest for silent prayer [++: Defends religious liberty and pro-life presence near abortion clinic against PSPO arrest] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-12-17 PQ: Abortion: Drugs ""Abortion: Drugs"" [0: Factual statistical question on at-home abortion pill provision] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]",,
"Andrew Rosindell (Reform UK, Romford)",1,,,,,,"a vote, 5 years ago",strong (decided by a free vote),9,mp-votes.html#mp-1447,"2024-12-04 PQ: Abortion: Drugs ""Abortion: Drugs"" [++: Calls for inquiry into abortion pill safety, aligns with pro-life caution] | 2024-12-04 PQ: Abortion: Drugs ""Abortion: Drugs"" [+: Questions safety of home abortion pill policy, aligning with pro-life caution on abortion access] | 2024-01-15 PQ: Abortion: Northern Ireland ""Abortion: Northern Ireland"" [+: Raises right to protest at abortion clinics, supportive of pro-life activism] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-09-17 PQ: Abortion: Coronavirus ""Abortion: Coronavirus"" [++: Calls to suspend home abortions over safety risks, strongly pro-life aligned] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]",,
"Gavin Robinson (Democratic Unionist Party, Belfast East)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),9,mp-votes.html#mp-4360,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [++: Defends religious liberty and pro-life presence near abortion clinic against PSPO arrest] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]",,
"Sammy Wilson (Democratic Unionist Party, East Antrim)",1,,,,,,"a vote, 4 years ago",strong (decided by a free vote),9,mp-votes.html#mp-1593,"2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2023-06-26 DEBATE: Spoke: Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023 ""Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023"" [++: Strongly defends parents' and schools' religious values against value-free sex education mandates in Northern Ireland] | 2023-06-26 DEBATE: Spoke: Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023 ""When the abortion legislation went through, the Society for the Protection of Unborn Children took a judicial review. In that review, the judge made it quite clear that although there had been consultation on the principle of abortion in Northern Ireland,..."" [++: Attacks lack of consultation on RSE regulations, references pro-life SPUC case approvingly] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [++: Highlights fetal pain evidence and calls for pain relief in abortion, pro-life aligned] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]",,
