Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"2026-07-09 DEBATE: Spoke: Conflicts: Impact on Older People (re: freedom of religion or belief) [unscored] | 2026-03-18 DEBATE: Spoke:  Freedom of Religion or Belief  in China [++: Champions freedom of religion or belief globally, criticising persecution abroad] | 2026-02-26 DEBATE: Spoke:  Independent Faith Schools: VAT [++: Champions faith schools against VAT policy, defending religious freedom and parental choice] | 2026-01-08 DEBATE: Spoke: Myanmar: Religious Minority Persecution [unscored] | 2025-12-15 EDM-SIGNED: Signed EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom [unscored] | 2025-11-13 DEBATE: Spoke: Modern Day Slavery: Pakistan (re: freedom of religion or belief) [+: Highlights persecution of religious minorities in Pakistan, defending freedom of religion] | 2025-09-10 DEBATE: Spoke: Equality Act 2010: Impact on  British Society [unscored] | 2025-07-14 PQ: India: Religious Freedom [unscored] | 2025-04-04 PQ: EU Countries: Religious Hatred (re: freedom of religion or belief) [unscored] | 2025-03-31 DEBATE: Spoke: Non-Domestic Rating  (Multipliers and Private Schools) Bill (re: faith school) [unscored] | 2025-01-23 DEBATE: Spoke: International Day of Education (re: coercion) [unscored] | 2024-12-10 PQ: Europe: Religious Freedom [unscored] | 2024-11-28 DEBATE: Spoke:  Pakistan: Freedom of Religion (re: assisted dying) [unscored] | 2024-11-06 DEBATE: Spoke: Uyghur and Turkic Muslims: Forced Labour in China (re: freedom of religion or belief) [unscored] | 2024-05-07 DEBATE: Spoke: Illegal Immigration: Costs [+: Raises concern over immigration costs, calls for correct controlled system] | 2024-04-17 DEBATE: Spoke:  Safety of Rwanda (Asylum and Immigration) Bill [unscored] | 2024-03-20 DEBATE: Spoke:  Sri Lanka: Human Rights (re: Online Safety Act) [unscored] | 2024-03-18 DEBATE: Spoke: Safety of Rwanda  (Asylum and Immigration) Bill [0: Personal case on Afghan ally resettlement; no clear stance on border control or religion] | 2024-03-18 DEBATE: Spoke: Safety of Rwanda  (Asylum and Immigration) Bill [unscored] | 2023-12-07 DEBATE: Spoke: Universal Declaration of Human Rights and UN Convention on Genocide (re: Islamophobia) [unscored] | 2023-09-11 DEBATE: Spoke:  Ukraine (re: freedom of religion or belief) [0: Debate on Ukraine support, no content on freedom of religion or belief] | 2023-06-15 DEBATE: Spoke:  Migration [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored] | 2022-12-08 DEBATE: Spoke: International Human Rights Day (re: free speech) [unscored] | 2022-11-11 PQ: Persecution of Christians Across the Globe Independent Review [unscored] | 2022-10-11 DEBATE: Spoke: Blasphemy Laws and Allegations: Commonwealth Countries [++: Leads debate condemning blasphemy laws, strongly defends religious freedom] | 2022-07-19 DEBATE: Spoke: Nigeria: Security Situation (re: freedom of religion or belief) [unscored] | 2022-07-14 DEBATE: Spoke: NHS PPE Supply Chains: Forced Labour (re: freedom of religion or belief) [+: Praises FoRB envoy's work and highlights religious freedom advocacy internationally] | 2022-06-13 DEBATE: Spoke:  Asylum Seekers: Removal to Rwanda [+: Raises concern for religious minority protection during Rwanda removals, supports FoRB safeguards] | 2022-02-15 PQ: Pakistan: Females (re: freedom of religion or belief) [unscored] | 2021-09-23 DEBATE: Spoke: Violence against Christians: Central African Countries (re: freedom of religion or belief) [+: Advocates for persecuted Christian communities, supporting freedom of religion abroad] | 2021-06-22 DEBATE: Spoke: Covid-19: Religious and Ethnic Minority Communities (re: blasphemy) [0: Informational discussion of covid impact on religious minorities and refugees] | 2021-06-22 DEBATE: Spoke: Covid-19: Religious and Ethnic Minority Communities (re: misinformation) [+: Highlights discrimination against Christians in vaccine access, defending religious minorities' treatment] | 2021-04-22 DEBATE: Spoke: Religious Minorities: Land Rights [unscored] | 2021-03-25 DEBATE: Spoke:  Government Support for NGOs and Churches in Developing Nations: Covid-19 (re: freedom of religion or belief) [+: Highlights plight of churches and NGOs abroad, supportive of religious institutions' role] | 2021-03-18 DEBATE: Spoke: Sri Lanka (re: hate speech) [unscored] | 2021-01-12 DEBATE: Spoke: India: Persecution of Minority Groups (re: Islamophobia) [unscored] | 2020-11-24 PQ: Pakistan: Forced Marriage [unscored] | 2020-02-06 DEBATE: Spoke:  Persecution of Christians [unscored] | 2020-01-23 DEBATE: Spoke: Holocaust Memorial Day (re: freedom of religion or belief) [0: Holocaust remembrance speech, not addressing religion freedom or migration policy directly]"
"Fabian Hamilton (Labour, Leeds North East)",1,,,,,,"2022-06-28 DEBATE: Spoke: Freedom of Religion or Belief: International Conference [++: Strongly reaffirms commitment to freedom of religion or belief worldwide] | 2022-06-21 DEBATE: Spoke: World Press Freedom Day (re: Online Safety Bill) [+: Supports press freedom protections within Online Safety Bill, defending free speech] | 2021-11-25 DEBATE: Spoke: Freedom of Religion or Belief: 40th Anniversary of UN Declaration [unscored] | 2020-02-06 DEBATE: Spoke:  Persecution of Christians [+: Defends religious communities from persecution and attacks, supports freedom of religion]"
"Nick Timothy (Conservative, West Suffolk)",1,,,,,,"2025-06-24 DEBATE: Spoke:  National Security Strategy (re: Islamophobia definition) [++: Warns against Islamophobia definition creating de facto blasphemy law, defends free speech and religion] | 2025-06-18 DEBATE: Spoke:  Crime and Policing Bill [unscored] | 2025-06-10 DEBATE: Spoke:  Freedom of Expression  (Religion or Belief System) [unscored]"
"Sir Edward Leigh (Conservative, Gainsborough)",1,,,,,,"2022-06-28 DEBATE: Spoke: Freedom of Religion or Belief: International Conference [++: Strong advocacy for freedom of religion, highlights Christian persecution and FoRB progress] | 2022-01-25 PQ: Pakistan: Humanitarian Aid (re: freedom of religion or belief) [unscored]"
"Chris Philp (Conservative, Croydon South)",1,,,,,,2026-06-08 DEBATE: Spoke: Topical Questions (re: free speech) [++: Strongly criticises Islamophobia guidance as chilling legitimate religious criticism and free speech]
"David Pinto-Duschinsky (Labour, Hendon)",1,,,,,,2025-06-09 DEBATE: Spoke: Non-stun Slaughter of Animals (re: Islamophobia) [++: Defends religious slaughter practices for Jewish and Muslim communities against a ban]
"Sarah Owen (Labour, Luton North)",,1,,,,,"2024-01-24 DEBATE: Spoke:  International Human Rights Abuses:  UK Response (re: Islamophobia) [+: Highlights persecution of Christians and Muslims, supporting freedom of religion advocacy] | 2023-09-12 PQ: Religious Freedom [unscored] | 2023-09-12 PQ: Islamophobia [unscored] | 2023-06-12 PQ: Nigeria: Christianity and Human Rights (re: freedom of religion or belief) [unscored] | 2023-06-12 PQ: Nigeria: Freedom of Religion (re: freedom of religion or belief) [unscored] | 2022-03-17 DEBATE: Spoke: Gender Specific Religious Persecution [unscored]"
"Catherine West (Labour, Hornsey and Friern Barnet)",,1,,,,,"2024-12-10 DEBATE: Spoke:  International Human Rights Day (re: Online Safety Bill) [0: General human rights discussion on Syria/Israel, no direct UK free speech or religion stance] | 2024-01-26 DEBATE: Spoke:  International Freedom of Religion or Belief Bill [unscored] | 2024-01-10 DEBATE: Spoke:  Afghanistan: UK Government Policy (re: freedom of religion or belief) [0: General Afghanistan policy critique, no specific freedom of religion or migration stance] | 2022-02-24 DEBATE: Spoke: Christians and Religious  Minorities: India (re: Islamophobia) [+: Praises India's constitutional protections for religious freedom and minority representation]"
"Marsha De Cordova (Labour, Battersea)",,1,,,,,2025-05-13 DEBATE: Spoke: Churches and Religious Buildings: Communities (re: Tavistock) [+: Supportive cross-party speech on protecting churches and places of worship] | 2024-11-28 DEBATE: Spoke: Church-owned Hospices: Assisted Dying [unscored] | 2024-11-28 DEBATE: Spoke: Church-owned Hospices: Assisted Dying [unscored]
"Naz Shah (Labour, Bradford West)",,1,,,,,"2023-12-07 DEBATE: Spoke: Tackling Islamophobia [0: Advocates equal treatment against Islamophobia, direction on free speech/religion unclear from framing] | 2021-11-24 DEBATE: Spoke:  Islamophobia Awareness Month [+: Defends Muslims against hate crimes and Islamophobia, supporting freedom of religion protection]"
"Saqib Bhatti (Conservative, Meriden and Solihull East)",,1,,,,,"2025-01-22 DEBATE: Spoke: Listed Places of Worship Scheme [+: Champions heritage funding for places of worship, supporting faith communities] | 2025-01-22 DEBATE: Spoke: Listed Places of Worship Scheme [+: Praises heritage places of worship and supports funding scheme for them]"
"Kim Johnson (Labour, Liverpool Riverside)",,1,,,,,"2021-11-16 DEBATE: Spoke: Terrorist Incident at Liverpool  Women’s Hospital (re: places of worship) [+: Highlights protection funding for places of worship after attack, supporting religious community safety]"
"Sojan Joseph (Labour, Ashford)",,1,,,,,2025-01-30 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Seventh sitting) [+: Evidence highlights risks of undiagnosed depression and capacity assessment gaps in assisted dying process]
"Ruth Jones (Labour, Newport West and Islwyn)",,,1,,,,2025-10-27 PQ: India: Religious Freedom [unscored] | 2025-04-08 DEBATE: Spoke: Persecution of Christians [unscored] | 2024-10-14 PQ: India: Religious Freedom [unscored] | 2023-12-08 PQ: India: Human Rights and Religious Freedom [unscored] | 2023-12-05 PQ: Bangladesh: Elections (re: freedom of religion or belief) [unscored] | 2022-12-08 PQ: Islamophobia: International Cooperation [unscored] | 2022-04-26 PQ: Religious Freedom: Females [unscored] | 2022-04-26 PQ: Religious Freedom [unscored] | 2022-04-26 PQ: Religious Freedom: Gender [unscored]
"Afzal Khan (Labour, Manchester Rusholme)",,,1,,,,"2022-07-21 PQ: Places of Worship Security Funding Scheme [unscored] | 2022-06-28 DEBATE: Spoke: Freedom of Religion or Belief: International Conference [unscored] | 2022-05-23 PQ: India: Religious Freedom [unscored] | 2022-03-17 DEBATE: Spoke:  Business of the House (re: Islamophobia) [0: Requests debate on Islamophobia, general tolerance appeal without specific legislative stance] | 2021-11-24 DEBATE: Spoke:  Islamophobia Awareness Month [unscored] | 2020-10-05 DEBATE: Spoke: Places of Worship: Covid-19 [unscored] | 2020-03-09 DEBATE: Spoke:  Commonwealth in 2020 (re: freedom of religion or belief) [unscored]"
"Sir Desmond Swayne (Conservative, New Forest West)",,,1,,,,2025-11-25 PQ: Bangladesh: Christianity (re: freedom of religion or belief) [unscored] | 2023-06-19 PQ: Persecution of Christians across the Globe Independent Review [unscored] | 2023-06-19 PQ: Persecution of Christians across the Globe Independent Review [unscored] | 2023-06-19 PQ: Persecution of Christians across the Globe Independent Review [unscored] | 2023-06-19 PQ: Persecution of Christians across the Globe Independent Review [unscored]
"Ms Marie Rimmer (Labour, St Helens South and Whiston)",,,1,,,,2026-03-18 DEBATE: Spoke:  Freedom of Religion or Belief  in China [unscored] | 2022-03-15 PQ: Maira Shahbaz (re: freedom of religion or belief) [unscored] | 2022-03-15 PQ: Pakistan: Females (re: freedom of religion or belief) [unscored] | 2022-03-15 PQ: Pakistan: Females (re: freedom of religion or belief) [unscored]
"Stephen Doughty (Labour (Co-op), Cardiff South and Penarth)",,,1,,,,"2025-05-13 DEBATE: Spoke: Syria (Sanctions) (EU Exit) (Amendment) Regulations 2025 (re: freedom of expression) [unscored] | 2024-03-07 DEBATE: Spoke: LGBT History Month (re: conversion therapy) [0: General celebration of LGBT+ social progress, no specific policy stance on listed areas] | 2021-03-16 DEBATE: Spoke: Commonwealth Day 2021 (re: blasphemy) [0: Commonwealth Games and trade discussion, no relevant content on listed areas] | 2020-11-26 DEBATE: Spoke: Covid-19: Freedom of Religion or Belief [unscored]"
"Suella Braverman (Reform UK, Fareham and Waterlooville)",,,1,,,,"2026-01-05 PQ: Freedom of Expression and Religious Freedom [unscored] | 2026-01-05 PQ: Freedom of Expression and Religious Freedom [unscored] | 2026-01-05 PQ: Freedom of Expression and Religious Freedom [unscored] | 2023-09-07 DEBATE: Spoke:  Prevent: Independent Review (re: disinformation) [0: Statement on counter-terrorism Prevent reforms, not directly addressing free speech restrictions]"
"Bob Blackman (Conservative, Harrow East)",,,1,,,,2024-12-23 PQ: Bangladesh: Hinduism (re: freedom of religion or belief) [unscored] | 2024-12-16 PQ: Bangladesh: Hinduism (re: freedom of religion or belief) [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored]
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",,,1,,,,"2025-12-15 EDM-SIGNED: Signed EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom [unscored] | 2023-01-20 PQ: India: Religious Freedom [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored]"
"Kim Leadbeater (Labour, Spen Valley)",,,1,,,,"2025-03-04 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Sixteenth sitting) [0: Descriptive account of clause and BMA position, no personal stance stated] | 2022-04-27 PQ: Muslims: India (re: Islamophobia) [unscored] | 2022-04-26 DEBATE: Spoke: Prime Minister’s Visit to India (re: Islamophobia) [unscored]"
"Mr Gregory Campbell (Democratic Unionist Party, East Londonderry)",,,1,,,,"2025-12-15 EDM-SIGNED: Signed EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom [unscored] | 2023-11-23 PQ: India: Religious Freedom [unscored] | 2023-01-11 EDM: Sponsored EDM: Arrest for silent prayer (7 signatures) [unscored]"
"Andrew Rosindell (Reform UK, Romford)",,,1,,,,"2025-12-15 EDM-SIGNED: Signed EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom [unscored] | 2022-11-29 PQ: Wang Shunping (re: freedom of religion or belief) [unscored]"
"Apsana Begum (Labour, Poplar and Limehouse)",,,1,,,,2023-11-07 DEBATE: Spoke: Debate on the Address (re: freedom of expression) [unscored] | 2021-11-24 DEBATE: Spoke:  Islamophobia Awareness Month [unscored]
"Dame Diana Johnson (Labour, Kingston upon Hull North and Cottingham)",,,1,,,,"2022-12-08 DEBATE: Spoke: International Human Rights Day (re: religious persecution) [unscored] | 2021-08-18 DEBATE: Spoke:  Afghanistan (re: freedom of expression) [0: Foreign policy critique on Afghanistan withdrawal, not addressing speech, religion or migration control]"
"Feryal Clark (Labour, Enfield North)",,,1,,,,2021-12-07 PQ: China: Falun Gong (re: freedom of religion or belief) [unscored] | 2021-12-07 PQ: China: Religious Freedom [unscored]
"Gregory Stafford (Conservative, Farnham and Bordon)",,,1,,,,2025-10-22 PQ: Religious Freedom [unscored] | 2025-10-13 PQ: India: Religious Freedom [unscored]
"Jessica Morden (Labour, Newport East)",,,1,,,,2023-03-30 DEBATE: Spoke:  Easter Adjournment (re: freedom of religion or belief) [unscored] | 2023-02-01 PQ: Nigeria: Christianity (re: freedom of religion or belief) [unscored]
"John Glen (Conservative, Salisbury)",,,1,,,,2025-12-18 PQ: Brazil: Freedom of Religion (re: freedom of religion or belief) [unscored] | 2025-10-15 PQ: Afghanistan: Religious Freedom [unscored]
"Preet Kaur Gill (Labour (Co-op), Birmingham Edgbaston)",,,1,,,,2025-03-27 PQ: Yemen: Baha'i Faith (re: freedom of religion or belief) [unscored] | 2023-09-19 DEBATE: Spoke: Freedom of Religion and Belief (re: Online Safety Bill) [unscored]
"Robert Jenrick (Reform UK, Newark)",,,1,,,,2025-04-22 DEBATE: Spoke:  Sentencing Guidelines  (Pre-sentence Reports) Bill (re: Islamophobia) [unscored] | 2023-03-29 DEBATE: Spoke: Illegal Migration Update [unscored]
"Stephen Kinnock (Labour, Aberafan Maesteg)",,,1,,,,"2025-01-28 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Third sitting) [0: Factual, information-seeking question about assisted dying training procedures] | 2020-09-24 PQ: Pakistan: Females (re: freedom of religion or belief) [unscored]"
"Tim Farron (Liberal Democrat, Westmorland and Lonsdale)",,,1,,,,2024-01-17 DEBATE: Spoke:  Safety of Rwanda  (Asylum and Immigration) Bill [unscored] | 2023-03-27 DEBATE: Spoke: Illegal Migration Bill [unscored]
