Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Sarah Pochin (Reform UK, Runcorn and Helsby)",1,,,,,,"2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [++: Condemns puberty blocker trial as unsafe experiment lacking parental consent] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2026-01-13 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2025-12-19 PQ: Puberty Suppressing Hormones [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [++: Calls puberty blocker trial 'state-sponsored child abuse', demands it be stopped] | 2025-12-17 PQ: Puberty Suppressing Hormones: Clinical Trials [unscored] | 2025-12-05 PQ: Puberty Suppressing Hormones: Children [unscored] | 2025-12-01 PQ: Puberty Suppressing Hormones: Children [unscored] | 2025-12-01 PQ: Puberty Suppressing Hormones: Children [unscored]"
"Wes Streeting (Labour, Ilford North)",1,,,,,,"CONFLICTING SIGNALS - review all evidence | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: Cass Review) [++: Strongly endorses Cass review and cautious implementation on youth gender medicine] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty-suppressing hormones) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: Cass Review) [+: Minister stresses following Cass review evidence on puberty suppressants, supporting cautious evidence-led approach] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: Cass Review) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [+: Minister flags mixed evidence on puberty blockers, cautious rather than affirming reversibility] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [++: Defends banning puberty blockers on clinical evidence grounds, opposing paediatric transition] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [0: Minister reassures on holistic support in puberty blocker trial, no clear direction shown] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [+: Defends puberty blocker ban against political pressure, citing clinical advice] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [+: Defends the puberty blocker ban and cautious approach against critics of restrictions] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [+: Minister defends cautious evidence-based approach after Tavistock, backing puberty blocker curbs] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [+: Acknowledges regret cases and need for review, cautious tone referencing Cass review] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [++: Announces halt to routine puberty blockers, calls unproven prescribing to children a scandal] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [+: Voices caution over puberty blockers' safety and evidence, aligning with opposition to paediatric transition] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [--: Minister affirms continued access to puberty blockers for trans youth, opposing paediatric transition caution] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [0: Administrative update on gender services waiting lists, no clear stance on youth transition] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [++: Praises whistleblowers exposing Tavistock failures in child gender treatment, criticises silencing attempts] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [--: Downplays suicide risk data, defends continued puberty blocker use for youth] | 2024-07-23 DEBATE: Spoke: Topical Questions (re: Cass Review) [unscored] | 2024-05-23 DEBATE: Spoke:  NHS (re: puberty blocker) [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored]"
"Dr Caroline Johnson (Conservative, Sleaford and North Hykeham)",1,,,,,,"2026-07-16 DEBATE: Spoke: Health Bill (Seventeenth sitting) (re: puberty blocker) [unscored] | 2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [++: Calls for halting puberty blocker trial on children, aligns with opposing paediatric transition] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-22 DEBATE: Spoke: Pathways Study: Puberty Suppression (re: puberty blocker) [++: Strongly opposes puberty blockers for children, citing harm and self-resolving condition] | 2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [++: Paediatrician questions rationale for puberty blocker trial in children, cautious of paediatric transition] | 2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [+: Presses government over secrecy and rising off-label puberty-blocking drug use in minors] | 2026-03-13 PQ: Health Services: Gender Recognition (re: puberty blocker) [+: Questions whether trial should proceed before data study completes, cautious of trial] | 2026-03-10 DEBATE: Spoke: Courts and Tribunals Bill (re: Tavistock) [0: Discusses family court custody rules, no direct reference to youth gender medicine] | 2026-03-09 PQ: Puberty Suppressing Hormones: Clinical Trials [0: Factual question about trial recruitment timing, no clear directional framing] | 2026-03-03 PQ: Puberty Suppressing Hormones: Clinical Trials [0: Factual query on trial pause status, neutral information-seeking] | 2026-03-03 PQ: Puberty Suppressing Hormones: Clinical Trials [0: Procedural question on ministerial discussions, no stance evident] | 2026-03-03 PQ: Puberty Suppressing Hormones: Clinical Trials [0: Procedural timeline question about MHRA correspondence, neutral] | 2026-02-24 DEBATE: Spoke: Preventing Ill Health (re: puberty blocker) [++: Raises alarm over paused puberty blockers trial, echoing safety concerns on paediatric transition] | 2026-01-13 DEBATE: Spoke: Puberty Suppressants (re: Cass Review) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-17 DEBATE: Spoke: Puberty Suppressants Trial (re: puberty blocker) [unscored] | 2025-12-16 DEBATE: Spoke:  Transgender People:  Provision of Healthcare [unscored] | 2025-04-30 DEBATE: Spoke: Gender Incongruence: Puberty Suppressing Hormones [unscored] | 2025-04-30 DEBATE: Spoke: Gender Incongruence: Puberty Suppressing Hormones [unscored] | 2024-04-16 DEBATE: Spoke: Tobacco and Vapes Bill (re: puberty blocker) [++: Supports ban on puberty blockers, cites Cass report approvingly] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored]"
"Rebecca Paul (Conservative, Reigate)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [+: Requests clinical trial for cross-sex hormones, favouring evidence-based caution post-Cass review] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [+: Expresses dismay puberty blocker issue recurring, implying support for restricting access] | 2026-06-22 DEBATE: Spoke: Pathways Study: Puberty Suppression (re: puberty blocker) [++: Strongly questions rationale for further puberty blocker experimentation on children] | 2026-06-19 PQ: Gender Dysphoria: Health Services [+: Highlights detransition outcomes, supports caution on paediatric transition policy] | 2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [++: Strongly condemns puberty blockers for children, aligning with opposition to paediatric transition] | 2026-02-05 PQ: Gender Dysphoria: Children [unscored] | 2026-01-29 PQ: Puberty Suppressing Hormones [unscored] | 2025-12-10 DEBATE: Spoke: Conversion Practices Ban [unscored] | 2025-11-11 DEBATE: Spoke: BBC Leadership (re: puberty blocker) [unscored] | 2025-10-21 DEBATE: Spoke: Topical Questions (re: puberty blocker) [unscored] | 2025-10-21 PQ: Clinical Trials (re: Cass Review) [unscored] | 2025-04-30 DEBATE: Spoke: Gender Incongruence: Puberty Suppressing Hormones [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [unscored]"
"Sir John Hayes (Conservative, South Holland and The Deepings)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [++: Highlights harms of puberty blockers, supporting restriction on youth gender medicine] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-22 DEBATE: Spoke: Pathways Study: Puberty Suppression (re: Cass Review) [unscored] | 2026-03-23 PQ: Puberty Suppressing Hormones: Clinical Trials [++: Explicitly urges government to block NHS puberty blocker trials in children] | 2026-03-23 PQ: Puberty Suppressing Hormones: Clinical Trials [0: Factual query on regulator discussions, no directional framing] | 2025-04-30 DEBATE: Spoke: Gender Incongruence: Puberty Suppressing Hormones [unscored] | 2024-12-11 DEBATE: Spoke:  Puberty-suppressing Hormones [++: Criticises Tavistock prescribing practices and demands accountability for harm to children] | 2024-05-01 PQ: Gender Dysphoria: Hormone Treatments [unscored] | 2024-04-24 PQ: Puberty Suppressing Hormones [unscored] | 2024-03-25 PQ: Puberty Suppressing Hormones [unscored] | 2020-09-01 PQ: Gender Dysphoria: Children and Young People [unscored] | 2020-05-04 PQ: Gender Dysphoria: Children [unscored]"
"Rebecca Smith (Conservative, South West Devon)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [++: Raises strong concerns over puberty blocker trial's medicalisation and safeguarding of vulnerable children] | 2026-02-10 DEBATE: Spoke: Railways Bill (Thirteenth sitting) (re: Tavistock) [unscored] | 2026-01-22 DEBATE: Spoke: Railways Bill (Fourth sitting) (re: Tavistock) [unscored] | 2026-01-08 DEBATE: Spoke: Local Bus Services (re: Tavistock) [unscored] | 2025-12-16 DEBATE: Spoke:  Transgender People:  Provision of Healthcare [unscored] | 2025-07-08 DEBATE: Spoke: Road and Rail Projects (re: Tavistock) [0: Local rail funding request, unrelated to marriage and family policy] | 2025-01-14 DEBATE: Spoke: Railway Services: South-West (re: Tavistock) [0: Railway funding debate, unrelated to listed policy areas] | 2024-12-17 DEBATE: Spoke: Old Oak Common Station (re: Tavistock) [0: Debate on rail infrastructure, unrelated to listed policy areas] | 2024-12-11 DEBATE: Spoke:  Rail Services: Devon (re: Tavistock) [0: About rail funding, unrelated to youth gender medicine despite tag] | 2024-12-11 DEBATE: Spoke:  Rail Services: Devon (re: Tavistock) [unscored] | 2024-12-03 DEBATE: Spoke:  Family Farming in Devon (re: Tavistock) [0: Speech about family farming in Devon, unrelated to youth gender medicine] | 2024-09-05 PQ: Travel: South West (re: Tavistock) [unscored] | 2024-09-03 DEBATE: Spoke:  Passenger Railway Services (Public Ownership) Bill (re: Tavistock) [unscored]"
"Victoria Atkins (Conservative, Louth and Horncastle)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2024-07-23 DEBATE: Spoke: Topical Questions (re: puberty blocker) [++: Presses government to implement Cass Review and retain puberty blocker ban for minors] | 2024-05-23 DEBATE: Spoke:  NHS (re: Cass Review) [unscored] | 2024-05-23 DEBATE: Spoke:  NHS (re: puberty blocker) [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [0: Minister explains funding for gender services following Cass Review, largely informational] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [++: Criticises automatic medical pathways for gender-distressed children, backing Cass Review caution] | 2024-04-15 DEBATE: Spoke: Cass Review [+: Minister stresses caution and Cass Review consideration before conversion practices ban] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [unscored]"
"Sir Geoffrey Cox (Conservative, Torridge and Tavistock)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2025-06-19 PQ: Tavistock College: Repairs and Maintenance [unscored] | 2025-03-11 PQ: Hospitals: Torridge and Tavistock [unscored] | 2025-02-28 PQ: Railways: Plymouth (re: Tavistock) [unscored] | 2025-02-27 PQ: Railways: Plymouth (re: Tavistock) [unscored] | 2025-02-27 PQ: Railways: Plymouth (re: Tavistock) [unscored] | 2025-01-22 DEBATE: Spoke: Listed Places of Worship Scheme [unscored] | 2024-12-03 DEBATE: Spoke:  Family Farming in Devon (re: Tavistock) [unscored] | 2024-12-03 DEBATE: Spoke:  Family Farming in Devon (re: Tavistock) [unscored] | 2024-12-03 DEBATE: Spoke:  Family Farming in Devon (re: Tavistock) [unscored] | 2024-11-21 PQ: Broadband: Rural Areas (re: Tavistock) [unscored]"
"Rosie Duffield (Independent, Canterbury)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2026-06-23 DEBATE: Spoke:  Puberty Blockers [unscored] | 2026-06-22 DEBATE: Spoke: Pathways Study: Puberty Suppression (re: Tavistock) [++: Highlights whistleblowers and detransitioners to challenge puberty suppression trial] | 2026-03-23 DEBATE: Spoke: Puberty Blockers Clinical Trial [++: Praises halting puberty blocker trial, cites Cass review concerns over paediatric transition] | 2026-01-19 DEBATE: Spoke: Gender Questioning: Guidance in Schools (re: puberty blocker) [++: Criticises social transitioning of children without parental consent, cites Keira Bell case] | 2026-01-13 DEBATE: Spoke: Puberty Suppressants (re: puberty blocker) [unscored] | 2025-03-26 PQ: Gender Dysphoria [unscored] | 2024-04-15 DEBATE: Spoke: Cass Review [++: Praises Cass Review, condemns Tavistock and defends critics of paediatric gender transition] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill [++: Argues Conversion Practices Bill unnecessary and risks vague definitions harming freedoms]"
"Mrs Kemi Badenoch (Conservative, North West Essex)",1,,,,,,"2026-06-23 VOTE: Voted Aye: Opposition Day: Puberty blockers [++: Opposition day motion likely sought to restrict puberty blockers, aligning with CitizenGO's stance] | 2025-04-23 DEBATE: Spoke: Engagements (re: puberty blocker) [++: Boasts of stopping gender recognition bill, commissioning Cass review, defending single-sex spaces] | 2025-01-08 DEBATE: Spoke: Engagements (re: Cass Review) [++: Defends Cass review and Tavistock inquiry, criticises government resistance to scrutiny] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: Cass Review) [++: Defends UK's rejection of gender self-identification, aligning with single-sex space protections] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: Cass Review) [unscored] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: puberty blocker) [unscored] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: Tavistock) [unscored] | 2021-03-08 DEBATE: Spoke:  LGBT Conversion Therapy [unscored]"
