Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"a speech, 4 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4131,"2024-11-28 DEBATE: Spoke:  Pakistan: Freedom of Religion (re: assisted dying) ""I have a couple of asks for the Minister—more than a couple; it always is with me, but I do so respectfully and in a positive fashion. Can we advocate for blasphemy law reform by working with international allies to pressure Pakistan to reform those laws,..."" [+: Advocates for religious freedom abroad by pressing Pakistan on blasphemy law reform] | 2022-10-11 DEBATE: Spoke: Blasphemy Laws and Allegations: Commonwealth Countries ""The implementation of sharia-based blasphemy laws curtails the liberty of all in Nigeria. Everyone is subject to an interpretation of the law—not necessarily the law of the land—that stands in stark contradiction to Nigeria’s constitution, which protects..."" [++: Leads debate condemning blasphemy laws, strongly defends religious freedom]"
"Jess Brown-Fuller (Liberal Democrat, Chichester)",1,,,,,,"a speech, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5335,"2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""I will briefly touch on an equally complex and emotionally charged topic: surrogacy and legal parenthood from the point of birth. For the sake of the child, the surrogate and the legal parents, the matter needs to be handled with great sensitivity. The..."" [++: Warns against commercialising egg donation and surrogacy, favours protective regulation]"
"Chris Philp (Conservative, Croydon South)",,1,,,,,"a speech, 4 years ago","thin (speeches only, and few of them directional)",4,mp-votes.html#mp-4503,"2022-12-19 DEBATE: Spoke: County Lines (re: family breakdown) ""I agree entirely with the sentiment that the hon. Gentleman expresses. It is vital to stop younger people, perhaps early and mid-teenagers, falling into gang culture. Very often that is because they have suffered from family breakdown or are in difficult..."" [0: Notes family breakdown as factor in gang crime, factual not a family policy stance] | 2022-06-28 DEBATE: Spoke: Online Safety Bill (Seventeenth sitting) ""Online Safety Bill (Seventeenth sitting)"" [0: Technical clarification on deepfake content exemptions, procedural not clearly for or against overreach] | 2022-06-14 DEBATE: Spoke: Online Safety Bill (Ninth sitting) ""Online Safety Bill (Ninth sitting)"" [0: Procedural clarification of illegal content definition, no clear speech-restriction stance] | 2022-04-19 DEBATE: Spoke:  Online Safety Bill ""Online Safety Bill"" [+: Highlights Bill enshrining free speech and journalistic content protections]"
"Kim Johnson (Labour, Liverpool Riverside)",,1,,,,,"a speech, 6 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4824,"2025-06-18 DEBATE: Spoke:  Crime and Policing Bill ""As a result of a judicial review brought by Liberty and JENGbA, the Crown Prosecution Service conducted a pilot survey of joint enterprise cases, resulting in access to accurate data and highlighting the racial disparities that exist. Case law on joint..."" [0: Focuses on joint enterprise law reform, unrelated to abortion, dying, speech or family] | 2020-10-06 DEBATE: Spoke: Gang-associated Girls (re: family breakdown) ""Social and criminal justice go hand in hand. Crime disproportionately affects poorer communities and those who commit crime are more likely to suffer from the causes of social breakdown. Gangs thrive when communities experience low employment, high family..."" [+: Links family breakdown to gang involvement, implicitly valuing family stability]"
"Claire Hazelgrove (Labour, Filton and Bradley Stoke)",,1,,,,,"a question, 6 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5306,"2026-07-01 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what his Department's planned timetable is for publishing a response to the Law Commission’s 2023 report on surrogacy; and what steps it is taking to address concerns about the impact of potential"" [+: Flags concerns about impact of surrogacy law reform, aligning with caution on commercial surrogacy]"
"Jenny Riddell-Carpenter (Labour, Suffolk Coastal)",,1,,,,,"a question, 7 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5160,"2026-01-05 PQ: Mental Health Services: Children and Young People (re: family breakdown) ""To ask the Secretary of State for Health and Social Care, what steps he is taking to ensure timely access to mental health support for children and parents affected by family breakdown and parental alienation."" [+: Raises concern for families affected by breakdown, supportive of family wellbeing]"
"Joy Morrissey (Conservative, Beaconsfield)",,1,,,,,"a speech, 6 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4759,"2020-12-03 DEBATE: Spoke:  Nurseries and Early Years Settings (re: family breakdown) ""The purpose of family hubs is to co-locate and co-ordinate all family services available in a community and provide a visible and welcoming access point for any parent—mother and father—to appropriate support services or information about family-related..."" [+: Supports family hubs helping parents, aligns with pro-family position]"
"Layla Moran (Liberal Democrat, Oxford West and Abingdon)",,1,,,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4656,"2021-09-08 DEBATE: Spoke:  Rough Sleeping (re: family breakdown) ""We also need to appreciate, Ms Rees, that a rough sleeper could be us. They could be our friends or our family members. Their stories highlight that often what causes someone to become a rough sleeper is a series of events that compound—family breakdown, job..."" [+: Identifies family breakdown as key cause of rough sleeping, implicitly valuing family stability]"
"Matt Vickers (Conservative, Stockton West)",,1,,,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4844,"2022-01-12 DEBATE: Spoke:  Youth Crime and Antisocial Behaviour (re: family breakdown) ""Youth crime is a complex matter that requires a multifaceted, co-ordinated and often localised response. The causes of youth crime are diverse: education, family breakdown, poor parenting, a lack of creative output, and poor outlooks and opportunities. There..."" [+: Cites family breakdown as cause of youth crime, implicitly valuing family stability]"
"Rebecca Paul (Conservative, Reigate)",,1,,,,,"a speech, 18 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5297,"2025-02-12 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Tenth sitting) ""I turn to amendment 82, which adds the term “encouraged” to coercion and pressure. This amendment is in line with Dr Mullock’s advice in both her written and oral evidence. It is important to note that encouraging suicide is currently a crime under section 2..."" [+: Pushes for stronger anti-coercion safeguards against subtle pressure in assisted dying bill]"
"Rosie Duffield (Independent, Canterbury)",,1,,,,,"a question, 17 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4616,"2025-03-27 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will meet representatives of women and children's rights groups to discuss proposals announced by the Law Commission on 29 March 2023 in relation to surrogacy."" [+: Seeks engagement with women's and children's rights groups on surrogacy reform]"
"Sarah Dyke (Liberal Democrat, Glastonbury and Somerton)",,1,,,,,"a speech, 23 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4995,"2024-09-03 DEBATE: Spoke:  SEND Provision: Somerset (re: home education) ""I turn my attention now to a consequence of the failure of SEND services in Somerset. About 2,000 children in Somerset receive a home education. Although the council believes some of the children are receiving a home education for an entirely legitimate..."" [+: Defends legitimacy of home education choice, aligning with parental rights in education]"
"Stephen Morgan (Labour, Portsmouth South)",,1,,,,,"a speech, 18 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4653,"2025-01-30 DEBATE: Spoke: Children's Wellbeing and Schools Bill (Eighth sitting) ""Amendment 35 seeks to expand the eligibility of the home education consent process to include those children and families receiving support and services under section 17 of the Children Act 1989. The Government are investing £500 million to support the..."" [+: Opposes expanding oversight of home education, defending parental choice]"
"Alex Davies-Jones (Labour, Pontypridd)",,,1,,,,"a speech, 17 months ago","thin (little on record, none of it directional)",3,mp-votes.html#mp-4849,"2025-03-19 DEBATE: Spoke:  Miscarriage of Justice Compensation (re: assisted dying) ""As the hon. Member for Ceredigion Preseli mentioned, the Law Commission is currently consulting on a wide range of changes to the laws relating to criminal appeals. The consultation is rigorous, with more than 100 questions, including questions on..."" [0: Procedural reference to Law Commission consultation, no direction on assisted dying stated] | 2022-12-05 DEBATE: Spoke:  Online Safety Bill ""That brings me to what Labour considers to be an incredible overturn by the Government relating to amendment 239, which seeks to remove the new offence of harmful communications from the Bill entirely. As Members will know, the communications offence was..."" [0: Focuses on director liability for online safety compliance, not clearly tied to free speech or family] | 2022-06-21 DEBATE: Spoke: Online Safety Bill (Fourteenth sitting) ""Online Safety Bill (Fourteenth sitting)"" [0: Supports criminalising cyber-flashing, unrelated to free speech overreach or family policy]"
"Edward Argar (Conservative, Melton and Syston)",,,1,,,,"a speech, 3 years ago","thin (little on record, none of it directional)",3,mp-votes.html#mp-4362,"2023-09-12 DEBATE: Spoke: Violence against Women and Girls (re: Online Safety Bill) ""It has been a pleasure to work with my right hon. Friend on those amendments to the Online Safety Bill, which returns to the Commons today. She is right to highlight the rapidly changing environment that we are legislating for and the need therefore to keep..."" [0: Discusses Online Safety Bill amendments generally, no clear direction] | 2023-03-01 DEBATE: Spoke:  Work of the Law Commission ""However, thanks to the new arrangements that my right hon. and learned Friend put in place, the work on it current and 13th programme, launched in 2017, can continue at pace, including on projects such as smart contracts, electronic signatures, automated..."" [0: General thanks to Law Commission, no substantive stance on listed areas] | 2023-02-01 DEBATE: Spoke: Violence Against Women and Girls: Sentencing (re: Online Safety Bill) ""Some hon. Members have alluded to the Online Safety Bill, which is currently passing through Parliament. There are some challenges with the scope of that Bill; parts of the Law Commission’s report into these offences will not fall within scope, which limits..."" [0: Discusses domestic abuse law and online safety scope, no clear free speech direction]"
