Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
"Bridget Phillipson (Labour, Houghton and Sunderland South)",1,,,,,,"a speech, 9 months ago","moderate (consistent speeches, but no vote on record)",23,mp-votes.html#mp-4046,"2025-11-05 DEBATE: Spoke: Topical Questions (re: single-sex space) ""We are committed to protecting single-sex spaces. As I set out in this House, I welcome the clarity of the Supreme Court ruling and providers should follow it. The EHRC has given me the code of practice and we are working through that. It is a lengthy..."" [++: Minister commits to protecting single-sex spaces and welcomes Supreme Court clarity] | 2025-10-20 DEBATE: Spoke: Topical Questions (re: single-sex space) ""I will happily answer the hon. Gentleman’s question directly, but he is a little confused about the question he is asking. The code of practice from the EHRC is about adults; it is not about schools. On the particular question of the code of practice from the..."" [++: Minister stresses importance of single-sex spaces from personal experience running a refuge] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""We will set out guidance this year for gender-questioning children. It is important, because— [ Interruption. ] I will answer the question. I will answer it directly if the Opposition Front Bench would just allow me a moment. We will publish the guidance..."" [+: Minister affirms parental involvement in gender-questioning children's decisions, aligning with parental rights stance] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I recognise my hon. Friend’s long-standing interest and campaigning in this area. She is right that the Supreme Court judgment provides clarity on biological sex. When it comes to support for gender-questioning children, when we are talking about children and..."" [++: Endorses biological sex clarity and cautious protective approach to gender-questioning children] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I am delighted to see the right hon. Lady in her place today. Many would run from a record like hers on these matters, but not the right hon. Lady. She and the Conservative party had 14 years to provide clarity on the issues that they now claim to take an..."" [+: Defends Equality Act basis for single-sex spaces amid political sparring] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [+: Notes Supreme Court clarity on sex and no change to puberty blocker policy] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I know that many trans people will be worried in the wake of the Supreme Court ruling, so I want to provide reassurance here and now that trans people will continue to be protected. We will deliver a full trans-inclusive ban on conversion practices. We will..."" [++: Strongly defends biological single-sex spaces after Supreme Court ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [+: Affirms women's single-sex spaces like refuges under Equality Act, though balanced with trans support] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [++: Praises campaigners for single-sex spaces and women's rights protections] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I am sorry, but I disagree with the questions that the hon. Lady poses. The ruling from the Supreme Court was clear, setting out that while single-sex spaces are to be delivered on the basis of biological sex, trans people must be free to live their lives..."" [+: Endorses Supreme Court ruling that single-sex spaces are based on biological sex] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""Spaces that operate on a single-sex basis must do so on the basis of biological sex, but of course providers can offer inclusive services, should they choose to do so, so long as they are clear about who they are offering their services to. I agree with my..."" [++: Affirms single-sex spaces must be based on biological sex, aligning with sex-based rights] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I am afraid that I disagree with the right hon. Lady that the ruling was complex. It was straightforward and very clear, and has provided clarity that has been sadly lacking for many years. Of course it is important that vulnerable prisoners receive the..."" [++: Firmly upholds biological sex basis for single-sex spaces per Supreme Court ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I think the hon. Gentleman is referring to employment law cases, on which I would have to defer to legal colleagues. The judgment set out that the Equality Act 2010 is the basis for single-sex spaces being determined on the basis of biology. The Court..."" [++: Affirms Supreme Court ruling that sex-based single-sex spaces rest on biology] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I would say to the hon. Lady’s constituents and to trans people across the country that the ruling was clear that while single-sex spaces are on the basis of biological sex, trans people retain protection from discrimination and harassment in law, and that..."" [++: Affirms single-sex spaces are based on biological sex per Supreme Court ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""The Supreme Court judgment set out that single-sex spaces are provided on the basis of biological sex. I do recognise the concern that my hon. Friend raises—lesbians should not be treated in a discriminatory way, and we must ensure that there are toilets and..."" [++: Affirms single-sex spaces based on biological sex per Supreme Court ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I understand the concern my hon. Friend expresses and why she raises those questions, but I have to say to her that the position of the Government is that the Supreme Court has provided clarity and confidence in this area, particularly where it comes to..."" [++: Endorses Supreme Court ruling that single-sex spaces are based on biological sex] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""The Supreme Court ruling made it clear that the provision of single-sex spaces is on the basis of biological sex, but what I would say to my hon. Friend and her constituent is that the development of the code of practice, which the EHRC will set out, will..."" [+: Affirms Supreme Court ruling that single-sex provision is based on biological sex] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [++: Explicitly welcomes clarity on single-sex spaces from Supreme Court ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [++: Minister affirms maintaining single-sex spaces for biological women] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""My hon. Friend is right in his assessment, and I pay tribute to him for his work over many years to support homeless people, including young people, across the north-east. I agree that it has always been possible to ensure that single-sex spaces were..."" [++: Strongly endorses single-sex spaces based on biological sex post-ruling] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [++: MP welcomes Supreme Court ruling affirming sex-based protections for single-sex spaces] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""“For Women Scotland” Supreme Court Ruling"" [+: Defends continued existence of single-sex spaces for biological women following Supreme Court ruling] | 2025-02-05 DEBATE: Spoke: Topical Questions (re: single-sex space) ""The previous Government’s scope was narrow. We are taking action to give all providers the assurances that they need that single-sex spaces can be provided. I have met representatives from the EHRC to discuss that point and I have written to the EHRC about..."" [++: Minister states government is acting to assure single-sex spaces can be provided]"
"Seema Malhotra (Labour (Co-op), Feltham and Heston)",1,,,,,,"a speech, 2 months ago","moderate (consistent speeches, but no vote on record; 1 contrary item on record)",14,mp-votes.html#mp-4253,"CONFLICTING SIGNALS - review all evidence | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""My hon. Friend highlights aspects of what has been written in the impact assessment, but it is also important to note that the Government want to reassure trans people that they have protections under the Equality Act, which is clearly the case via the gender..."" [0: Balances trans protections and single-sex spaces without clear direction] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""I was not quite clear about that question, but I will say that the draft guidance is about supporting women and their rights and the provision of single-sex spaces, alongside treating trans people with dignity, and that will continue to be our focus."" [+: Minister defends guidance protecting women's rights and single-sex spaces] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""My hon. Friend is right; it is extremely important that as we take forward the draft code and its implications, and as we look to how we ensure compliance with the law, we do support women and their rights to single-sex services and spaces, but that we do so..."" [++: Explicitly backs women's rights to single-sex services and spaces] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""There is also an interest in associations. If an association is for “women only”, the draft code indicates that that should be on the basis of biological sex. The draft code’s section on associations based on more than one protected characteristic means that..."" [++: Defends women-only associations based on biological sex, supporting single-sex spaces] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""The hon. Lady has great experience in this House, and she will know about the processes of engagement. She will also know about the consultation and the engagement that the EHRC has had in the development of the guidance and the fact that there were two..."" [+: Minister affirms responsibility to protect single-sex spaces under Equality Act] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""I thank the hon. Lady for her question. I do want, however, to challenge her on some of what she said. It is important to recognise and reassure trans people that there are still protections in the Equality Act via the gender reassignment protected..."" [0: Balances trans protections with support for women's single-sex spaces; mixed signal] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""The hon. Member will be aware that people have operated in society with respect for each other in relation to single-sex spaces for a long time, and that will continue to be the case. It is important to note that access to a toilet should be very clear, and..."" [++: Affirms biological sex basis for single-sex toilets per Supreme Court ruling] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""I thank my hon. Friend for her question. She will know that making sure that we can support women and their rights, alongside treating trans people with dignity, must be the priority for all of us. That is what we are aiming to achieve. That is why it is..."" [+: Affirms commitment to maintaining single-sex spaces alongside trans dignity] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""I always thank the hon. Gentleman for his questions. This draft code has more worked examples and it has seen consultation. He is able to speak directly with the EHRC about the way in which it has consulted and brought forward the draft code. As I have said,..."" [+: Affirms protecting single-sex spaces for women while balancing trans protections] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""I thank the hon. Lady for her comments and question. I again highlight how the draft code does provide further clarity on how service providers can follow the Supreme Court ruling in practice, and we can ensure that we both protect single-sex spaces and have..."" [+: Minister affirms code protects single-sex spaces while supporting trans services, defends sex-based rights] | 2026-06-01 DEBATE: Spoke: Equality Act 2010: Code of Practice ""In relation to guidance for the NHS, it is helpful for the House to know that NHS England is currently reviewing its guidance and will ensure that it reflects the Supreme Court ruling in the For Women Scotland v. The Scottish Ministers case. It will also take..."" [+: Minister affirms support for single-sex spaces alongside trans inclusion] | 2025-05-19 DEBATE: Spoke: Gender Self-identification ""We have said that we will look at gender recognition reform. Our immediate priority, as laid out in the King’s Speech, is to make sure that we have a trans-inclusive ban on conversion practices, to strengthen hate crime protections for trans people, and to..."" [--: Prioritises trans-inclusive conversion therapy ban and expanded trans healthcare access] | 2025-05-19 DEBATE: Spoke: Gender Self-identification ""Gender Self-identification"" [+: Notes commitment to Cass report and protecting single-sex spaces post-Supreme Court ruling] | 2025-05-19 DEBATE: Spoke: Gender Self-identification ""The conversation surrounding rights, particularly those related to trans individuals, has sadly become increasingly divided and divisive, as this debate has so importantly highlighted. I think we all agree that it is necessary to approach this debate with..."" [0: General remarks on Equality Act and dignity, no clear stance on single-sex spaces]"
"Anneliese Dodds (Labour (Co-op), Oxford East)",1,,,,,,"a speech, 18 months ago",thin (genuinely split record - 4 of 12 directional items run the other way),12,mp-votes.html#mp-4657,"CONFLICTING SIGNALS - review all evidence | 2025-02-05 DEBATE: Spoke: EHRC: Code of Practice ""This Government are steadfast in their commitment to protecting single-sex spaces and committed to ensuring that services feel confident in providing them, with better guidance. The EHRC will publish the revised code once it has finalised the draft and it has..."" [++: Minister reaffirms commitment to protecting single-sex spaces with clearer guidance] | 2023-12-06 DEBATE: Spoke: Conversion Practices ""I do not know how others are feeling, but I have to confess to a certain sense of déjà vu. Just 18 months ago, we were in this Chamber considering a Petitions Committee debate on transgender conversion therapy. That debate, like this one, featured..."" [--: Strongly pushes for swift ban on conversion practices, opposing therapy/religious freedom concerns] | 2023-06-15 DEBATE: Spoke: Pride Month (re: single-sex space) ""Labour will also seek to build consensus around modernising the Gender Recognition Act to remove indignities for trans people while upholding the Equality Act, its protected characteristics and its provision for single-sex spaces. We will also appoint an..."" [-: Advocates trans inclusion and stronger hate crime law, against sex-based space concerns] | 2023-06-12 DEBATE: Spoke: Legislative Definition of Sex (re: single-sex service) ""On the specificities of future changes that many have talked about during the debate, as the party of equality Labour wants trans people to be treated fairly and with dignity and respect. Labour also supports the protection of certain spaces that are for..."" [+: Affirms commitment to Equality Act single-sex exemptions and protections] | 2023-02-02 DEBATE: Spoke: LGBT History Month (re: gender identity service) ""The next Labour Government will break new ground by introducing a full, trans-inclusive ban on conversion therapy, and we will do so without putting legitimate talking therapies at risk. We will fix the historic injustice by equalising the law so that crimes..."" [--: Endorses trans-inclusive conversion therapy ban, opposing therapy freedom concerns] | 2023-01-18 PQ: Gender Recognition: Scotland (re: Gender Recognition Reform) ""To ask the Minister for Women and Equalities, whether she plans to issue guidance on the functioning of the Gender Recognition Reform Act 2022 in Scotland with the Equality Act 2010 in regards to (a) provisions for single sex exemptions and (b) any cross-"" [+: Seeks guidance protecting single-sex exemptions amid gender recognition reform] | 2022-06-30 DEBATE: Spoke:  50 Years of Pride in the UK (re: conversion therapy) ""We will strengthen and equalise the law so that LGBT+ hate crimes attract the tougher sentences they deserve; they are not currently treated on a level playing field. We will ban all forms of conversion therapy outright, including trans conversion therapy,..."" [--: Champions LGBT+ strategy, trans healthcare and GRA reform, opposing single-sex space protections] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""It is imperative that a trans-inclusive ban must not have an impact on the provision of services for children and young people. Indeed, the interim Cass review has highlighted the extent to which there is a disturbing lack of support and healthcare for..."" [-: Supports trans-inclusive conversion therapy ban, despite seeking careful wording and family carve-outs] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Celebrates Pride and criticises government retreat from conversion therapy ban plans] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [--: Advocates for trans-inclusive conversion therapy ban with no carve-outs, opposing CitizenGO's therapy freedom concerns] | 2022-03-10 DEBATE: Spoke: International Women’s Day (re: single-sex space) ""Is the hon. Member aware that I referred in my remarks to the Equality Act, which makes that provision for single-sex spaces, and that I have done so repeatedly? It appears that he was not aware of that. I have no problem with criticism when it is on the..."" [+: Defends Equality Act provisions for single-sex spaces against criticism] | 2022-02-21 DEBATE: Spoke: Gender Recognition Act ""It is important that we do not conflate gender with sex. We did slide into that quite a number of times during the discussion. We must not conflate gender reassignment with sexuality—it also felt like that took place at certain points. When we have that..."" [-: Frames trans identity as beyond debate, minimises concerns underlying single-sex space and therapy protections]"
"Mrs Kemi Badenoch (Conservative, North West Essex)",1,,,,,,"a speech, 16 months ago","moderate (consistent speeches, but no vote on record)",8,mp-votes.html#mp-4597,"2025-04-23 DEBATE: Spoke: Engagements (re: puberty blocker) ""I will tell the Prime Minister what I did. I stopped the gender— [ Interruption. ] I will, I will. When his Labour leader in Scotland was whipping his MSPs to get male rapists into women’s prisons, I stopped that gender recognition Bill. I helped commission..."" [++: Boasts of stopping gender recognition bill, commissioning Cass review, defending single-sex spaces] | 2025-04-22 DEBATE: Spoke: “For Women Scotland”  Supreme Court Ruling ""I spent years battling abuse from Labour Members as I fought to uphold biological sex in government and blocked the SNP’s introduction of its mad self-identity laws, and I will take no lectures from them about what to do on this issue. Women and gay rights..."" [++: Strongly praises ruling affirming biological definition of woman, defends single-sex spaces] | 2024-05-15 DEBATE: Spoke: Topical Questions (re: single-sex space) ""I thank my hon. Friend for his question. There are various reasons why women and men should be able to access single-sex spaces, and public toilets are no exception. We are updating building regulations so that toilets in non-domestic buildings offer safety,..."" [++: Supports building regulations eliminating mixed-sex toilets, defending single-sex spaces] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: Cass Review) ""This work is important because of the complex interactions between the Gender Recognition Act and the Equality Act 2010. The complexity of the legal situation was reinforced by the judgment in December 2022 by Lady Haldane in the judicial review brought by..."" [++: Minister confirms UK rejects self-ID for gender recognition and tightens overseas recognition loophole] | 2023-12-06 DEBATE: Spoke: Gender Recognition (re: single-sex space) ""I thank my hon. Friend for that question. This is one area where we are trying to provide clarity. As a result of the Haldane judgment, there is now confusion between biological sex and legal sex and certainly in terms of the interpretation that people put on..."" [++: Minister affirms single-sex spaces will remain protected amid legal confusion] | 2023-07-12 DEBATE: Spoke: Topical Questions (re: single-sex space) ""I have been working closely with the Education Secretary, because it is important that we get the guidance for schools right. It must show schools how to be compassionate to pupils questioning their gender in a way that is compliant with the Equality Act..."" [++: Minister confirms guidance ensures single-sex spaces are maintained in schools] | 2021-11-24 DEBATE: Spoke:  Islamophobia Awareness Month ""I thank the hon. Member for Manchester, Gorton (Afzal Khan) for securing this debate. I say to him that I am not afraid of using the phrase “Islamophobia”. We are not going to have a semantic argument, but there are good reasons why we refer to anti-Muslim..."" [0: Discusses terminology on anti-Muslim hatred, no clear free speech or religion stance direction] | 2021-05-26 DEBATE: Spoke: Topical Questions (re: conversion therapy) ""The former LGBT advisory panel’s tenure ended on 31 March 2021. I am grateful to its members for the important insights that they have provided on important policy areas such as ending conversion therapy and the impact of covid on LGBT people. The Prime..."" [+: Confirms Gender Recognition Act will not be changed, maintaining status quo on self-ID]"
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"a speech, 4 months ago","moderate (consistent speeches, but no vote on record)",7,mp-votes.html#mp-4131,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces] | 2026-04-15 EDM-SIGNED: Signed EDM: First anniversary of the For Women Scotland v The Scottish Ministers ruling [++: Backs biological sex definition, sex-based spaces, and raises free speech concerns over gender ideology enforcement] | 2026-04-14 DEBATE: Spoke:  “For Women Scotland” Court Ruling: First Anniversary ""Back home in Northern Ireland, Democratic Unionist party Ministers have appropriately taken decisive action, because the safety of our daughters—in my case, my granddaughters—in school changing rooms and the integrity of women’s sports cannot be put on hold...."" [++: Strongly defends biological sex definitions for toilets, sports and changing rooms] | 2025-12-01 EDM-SIGNED: Signed EDM: Treatment of the Darlington nurses (re: single-sex space) [++: Defends nurses' right to single-sex changing facilities and safeguarding concerns] | 2025-05-06 EDM-SIGNED: Signed EDM: Upholding biological sex-based protections in single-sex spaces [++: Upholds Supreme Court ruling protecting biological sex-based single-sex spaces] | 2022-02-28 EDM-SIGNED: Signed EDM: Pre-legislative scrutiny and delay for the Government's proposed conversion therapy legislation [++: Raises concerns about rushed conversion therapy ban harming therapy and youth gender care] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]"
"Rosie Duffield (Independent, Canterbury)",1,,,,,,"a speech, 4 months ago","moderate (consistent speeches, but no vote on record)",6,mp-votes.html#mp-4616,"2026-04-14 DEBATE: Spoke:  “For Women Scotland” Court Ruling: First Anniversary ""The hon. Member has a really good point. That lack of clarity is why we need the Government to explain fully what the EHRC is saying and how it pertains to the Equality Act. With or without a gender recognition certificate, biological men are not able to..."" [++: Strongly defends single-sex spaces per Supreme Court ruling, excludes biological men] | 2026-04-14 DEBATE: Spoke:  “For Women Scotland” Court Ruling: First Anniversary ""“always supported the protection of single-sex spaces based on biological sex”,"" [++: Strongly defends biological definition of woman and single-sex spaces] | 2025-03-11 DEBATE: Spoke:  Gender Critical Beliefs: Equality Act 2010 ""Sometimes rights clash. Very few examples of that clash have played out as publicly and discordantly as that between sex and gender identity: that is, the rights of biological women, and sometimes men, and the rights of those who change their social gender to..."" [++: Frames debate as rights of biological women clashing with gender identity claims] | 2025-03-11 DEBATE: Spoke:  Gender Critical Beliefs: Equality Act 2010 ""Those who disagree with gender critical beliefs routinely stigmatise women like me as bigoted, a view that arises from a total misunderstanding of what our beliefs are or the motivations of many of those who share them. The social and financial costs of..."" [++: Strongly defends sex-based rights and gender critical beliefs as protected] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Argues Conversion Practices Bill unnecessary and risks vague definitions harming freedoms] | 2023-06-12 DEBATE: Spoke: Legislative Definition of Sex (re: single-sex service) ""The Gender Recognition Act was passed to allow trans people to obtain legal status to marry in their acquired gender and to be treated as male or female for the purpose of pensions. It was not, however, intended to provide an access-all-areas pass to..."" [++: Defends sex-based definitions, argues GRA not meant for access-all-areas pass]"
"Stuart Andrew (Conservative, Daventry)",1,,,,,,"a speech, 2 months ago","thin (consistent speeches, but no vote on record; 1 contrary item on record)",6,mp-votes.html#mp-4032,"CONFLICTING SIGNALS - review all evidence | 2026-06-04 DEBATE: Spoke:  Pride Month (re: single-sex space) ""I, too, want to address the Equality Act code of practice and the Supreme Court ruling, because they have been very prominent in recent days. The law is now clear that for the purposes of the Equality Act, sex means biological sex. Single-sex spaces must be..."" [++: Affirms Equality Act sex means biological sex, defends single-sex spaces strongly] | 2024-03-07 DEBATE: Spoke: LGBT History Month (re: conversion therapy) ""I will move on to the issue of conversion practices—my favourite part. Hon. Members will know my personal views on the matter, and I am pleased to say there is a consensus among the vast majority that no one in this country should be harmed or harassed for..."" [0: Celebrates LGBT progress and HIV policy; no explicit stance on conversion therapy] | 2023-06-15 DEBATE: Spoke: Pride Month (re: conversion practices) ""I want to make clear that the Bill will include targeting efforts to change someone from being transgender—that will be in there. I am also pleased to remind the House that the Government fund a victim support service run by the anti-violence charity Galop,..."" [--: Supports conversion practices ban covering efforts to change trans identity] | 2023-04-26 DEBATE: Spoke: Equality Act 2010: Protected Characteristics ""We are committed to maintaining the safeguard that allows organisations to provide single-sex spaces. It is important to uphold the principle of being able to operate spaces reserved for women and girls. The Government are committed to tackling harassment and..."" [++: Explicitly defends single-sex spaces for women and girls under Equality Act] | 2023-02-08 DEBATE: Spoke:  Women’s Football: Talent Pathways and Player Wellbeing (re: women's sport) ""Historically, women’s sport has not had the profile or media coverage that the men’s sport has achieved over the years, but that is now changing. Attendances and viewing figures for women’s sport are growing at an extraordinary rate, and there is an..."" [0: Discusses women's football growth, unrelated to single-sex space policy] | 2022-11-09 DEBATE: Spoke:  European Women’s Football Championship: Girls and Young Women (re: women's sport) ""I join the hon. Member for Twickenham in celebrating the wonderful success that we witnessed in women’s sport this summer, when our very own Lionesses beat the German team at Wembley to lift the UEFA European championship trophy, teaching the men a thing or..."" [0: Celebratory remarks on women's football success, not addressing single-sex space rights]"
"Suella Braverman (Reform UK, Fareham and Waterlooville)",1,,,,,,"a speech, 2 years ago","moderate (consistent speeches, but no vote on record)",6,mp-votes.html#mp-4475,"2026-07-01 PQ: NHS Trusts: Gender (re: single-sex space) ""To ask the Secretary of State for Health and Social Care, whether his Department will consider adopting or developing national guidance for NHS trusts on the management of single-sex spaces, similar to proposals submitted to him by representatives of the"" [+: Requests national guidance on single-sex spaces, supportive framing] | 2026-06-02 PQ: NHS Trusts: Gender (re: single-sex space) ""To ask the Secretary of State for Health and Social Care, whether he will commission NHS England to produce updated national guidance on the provision of single-sex spaces for both patients and staff, in line with recent case law."" [++: Pushes for updated single-sex space guidance following case law, strong alignment] | 2026-04-29 PQ: NHS Trusts: Gender (re: single-sex space) ""To ask the Secretary of State for Health and Social Care, whether his Department will consider adopting or developing national guidance for NHS trusts on the management of single-sex spaces, similar to proposals submitted to him by representatives of the"" [++: Advocates national guidance protecting single-sex spaces in NHS] | 2026-04-29 PQ: NHS: Gender (re: single-sex space) ""To ask the Secretary of State for Health and Social Care, whether he will commission NHS England to produce updated national guidance on the provision of single-sex spaces for both patients and staff, in line with recent case law."" [++: Calls for updated single-sex space guidance following case law] | 2024-03-01 DEBATE: Spoke:  Conversion Practices (Prohibition) Bill ""Conversion Practices (Prohibition) Bill"" [++: Cites Keira Bell, urges caution over youth transition and conversion ban impact on therapy] | 2021-11-18 DEBATE: Spoke: Supreme Court Judgments: Scottish Parliament Legislative Proposals (re: single-sex space) ""My hon. Friend raises an important point about our devolution settlement, and the Government are clear on their position as set out in our recent response to the consultation on the Gender Recognition Act 2004. First, the protection of single-sex spaces is..."" [++: Affirms importance of protecting single-sex spaces and shielding under-18s from irreversible decisions]"
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",1,,,,,,"a speech, 4 months ago","moderate (consistent speeches, but no vote on record)",5,mp-votes.html#mp-4857,"2026-04-15 EDM: Sponsored EDM: First anniversary of the For Women Scotland v The Scottish Ministers ruling [++: Backs biological sex definition, sex-based spaces, and raises free speech concerns over gender ideology enforcement] | 2026-04-14 DEBATE: Spoke:  “For Women Scotland” Court Ruling: First Anniversary ""I end with three requests of the Government. First, I urge the Minister for Women and Equalities to lay the EHRC’s updated code of practice before this House as a matter of urgency—no more prevaricating; no more delay. While the Minister has today finally..."" [++: Strongly defends single-sex spaces and criticises delay on NHS guidance] | 2025-12-01 EDM-SIGNED: Signed EDM: Treatment of the Darlington nurses (re: single-sex space) [++: Defends nurses' right to single-sex changing facilities and safeguarding concerns] | 2025-01-28 DEBATE: Spoke: Support for Female Offenders (re: single-sex space) ""Across the UK we face the bizarre and worrying reality that common-sense protections for women are being dismissed. For example, in Northern Ireland a motion to ensure that biologically male prisoners who identify as women are held in male prisons has been..."" [++: Demands single-sex prisons free from biological males identifying as women] | 2020-06-02 EDM: Sponsored EDM: UK law on disability-selective abortion (42 signatures) [++: Calls to end disability-selective abortion, restricting abortion access, pro-life aligned]"
"Dr Caroline Johnson (Conservative, Sleaford and North Hykeham)",1,,,,,,"a speech, 4 weeks ago","moderate (consistent speeches, but no vote on record)",5,mp-votes.html#mp-4592,"2026-07-16 DEBATE: Spoke: Health Bill (Sixteenth sitting) (re: single-sex space) ""However, it appears that the Minister for Women and Equalities did not get that memo. Despite having apparently been sat on her desk since September, the new draft code from the Equality and Human Rights Commission was not laid before Parliament until 21 May...."" [++: Champions statutory single-sex NHS facilities, citing Supreme Court ruling on biological sex] | 2026-06-01 DEBATE: Spoke:  Health Bill (re: single-sex space) ""I feel for the current Health Secretary. His predecessor was more focused on unseating the Prime Minister, and he is left to pick up the pieces. However, despite our political differences, I do have hope. Previously, he insisted that trans women were women,..."" [+: Sarcastically critiques predecessor's stance that 'trans women are women', implying support for sex-based rights] | 2026-04-16 DEBATE: Spoke:  Women’s Health Strategy (re: single-sex space) ""Today it is one year since the For Women Scotland judgment in the Supreme Court confirmed that sex is biological sex. At the time the Secretary of State told the public:"" [+: Presses government to publish guidance on single-sex NHS spaces, supporting sex-based provision] | 2025-12-16 DEBATE: Spoke:  Transgender People:  Provision of Healthcare ""The Cass review said that the majority of children with gender dysphoria will recover from their distress without any medication, and that it is not currently possible to predict which children they would be. Does the Minister accept that the vast majority of..."" [++: Highlights risks of paediatric transition surgery and supports biological sex recording] | 2025-02-12 DEBATE: Spoke: Data (Use and Access) Bill [Lords] (re: single-sex space) ""Earlier in the debate, the Secretary of State referred to the powers that the Bill gives the Secretary of State under secondary legislation and why things are not included in the Bill itself. This issue should be given more scrutiny than that of an SI..."" [0: Concerns secondary legislation scrutiny process, no direction on single-sex spaces substance]"
