Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",1,,,,,,"2026-07-01 PQ: Surrogacy ""Surrogacy"" [0: Neutral probing of policy consistency on surrogacy parental orders] | 2026-06-24 PQ: Nigeria: Surrogacy ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, whether she has made an assessment of the (i) risks to women involved in commercial surrogacy arrangements in Nigeria, including (a) maternal mortality, (b) contractual condi"" [+: Highlights risks to women in commercial surrogacy abroad] | 2026-06-17 PQ: Social Security Benefits: Surrogacy ""Social Security Benefits: Surrogacy"" [0: Technical benefits question about surrogate income treatment, neutral] | 2026-06-01 PQ: Human Rights: Surrogacy ""Human Rights: Surrogacy"" [++: Seeks government response to report advocating universal surrogacy ban] | 2026-03-23 PQ: Surrogacy ""Surrogacy"" [0: Factual data request on surrogacy trends abroad] | 2026-03-23 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether he has made an assessment of the potential impact of the increase in the number of children entering the UK who have been born through surrogacy in countries where commercial surrogacy oper"" [+: Raises concern over rising children from commercial surrogacy abroad] | 2026-03-23 PQ: Social Security Benefits: Surrogacy ""Social Security Benefits: Surrogacy"" [0: Technical benefits question, no surrogacy stance shown] | 2026-02-05 PQ: Surrogacy: Social Media ""Surrogacy: Social Media"" [+: Flags risks of social media groups promoting surrogacy, implying concern over its normalisation] | 2026-01-26 PQ: Surrogacy: Cross Border Cooperation ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, what assessment he has made of the adequacy of regulations for a) the health and welfare of surrogate mothers and children born through surrogacy and b) ethical concerns asso"" [unscored] | 2026-01-26 PQ: Surrogacy: International Law ""Surrogacy: International Law"" [unscored]"
"Dame Harriett Baldwin (Conservative, West Worcestershire)",1,,,,,,"2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Explicitly states implacable opposition to assisted dying and its harms]"
"Jess Brown-Fuller (Liberal Democrat, Chichester)",1,,,,,,"2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""I will briefly touch on an equally complex and emotionally charged topic: surrogacy and legal parenthood from the point of birth. For the sake of the child, the surrogate and the legal parents, the matter needs to be handled with great sensitivity. The..."" [++: Warns against commercialising egg donation and surrogacy, favours protective regulation]"
"Jim Shannon (Democratic Unionist Party, Strangford)",,1,,,,,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [unscored] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""IVF Egg Donation: Young Women"" [+: Raises concern over unregulated young egg donation, calling for stricter regulation] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""IVF Egg Donation: Young Women"" [0: Informational discussion of egg donation risks and advertising, no clear surrogacy or family stance] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""Women as young as 18 can donate their eggs for use by others—either for IVF for older people or for surrogacy —and demand is soaring. According to the HFEA, women can undergo as many as 10 donation rounds—a huge toll on any lady’s body. Later, I will give the..."" [+: Raises concern over adverts exploiting young women for egg donation, echoing anti-commodification stance] | 2024-12-10 PQ: IVF: Donors [unscored] | 2024-12-10 PQ: IVF: Donors [unscored] | 2024-12-10 PQ: IVF: Donors ""To ask the Secretary of State for Health and Social Care, if he will make an assessment of the potential merits of a minimum age of 25 for egg donation."" [unscored] | 2024-12-10 PQ: IVF: Donors [unscored] | 2020-01-21 DEBATE: Spoke:  Surrogacy: Government Policy ""Surrogacy: Government Policy"" [unscored]"
"Tracy Gilbert (Labour, Edinburgh North and Leith)",,1,,,,,"2026-06-25 PQ: Surrogacy ""Surrogacy"" [+: Questions adequacy of surrogacy safeguarding, critical framing] | 2026-06-01 PQ: Surrogacy ""Surrogacy"" [+: Focuses on children's rights in surrogacy, aligns with child-centred anti-surrogacy view] | 2026-06-01 PQ: Surrogacy ""Surrogacy"" [+: Raises safeguarding compliance concerns about surrogacy, aligns with critical stance] | 2026-05-22 PQ: Surrogacy ""Surrogacy"" [+: Proposes restricting surrogacy like prohibited adoption countries, anti-surrogacy leaning] | 2025-10-14 EDM: Sponsored EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy (9 signatures) [unscored] | 2025-09-01 PQ: Surrogacy: Research ""Surrogacy: Research"" [unscored] | 2025-09-01 PQ: IVF: Pressure Groups ""To ask the Secretary of State for Health and Social Care, if he will meet with women's rights campaigners to discuss the impact of egg donation on young women."" [unscored]"
"Mims Davies (Conservative, East Grinstead and Uckfield)",,1,,,,,"2026-07-17 PQ: Surrogacy: Nigeria ""Surrogacy: Nigeria"" [+: Highlights growing surrogacy trend abroad, consistent with concern over commercial surrogacy] | 2026-07-17 PQ: Surrogacy: Nigeria ""Surrogacy: Nigeria"" [+: Raises concern over international surrogacy destination, implying scrutiny of commercial surrogacy] | 2026-07-16 PQ: Surrogacy: Parenting Orders ""Surrogacy: Parenting Orders"" [+: Flags safeguarding concerns over surrogacy by single men, aligning with surrogacy opposition]"
"Danny Kruger (Reform UK, East Wiltshire)",,1,,,,,"2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) ""“social workers have duties in relation to both mental capacity and adult safeguarding, so it is concerning that legal protection in Section 23 of the Bill is given to healthcare professionals but not to social workers. All professionals that could..."" [unscored] | 2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) ""I am very pleased to hear it. I thank the hon. Lady for that. That helps me because I was perplexed about the difference. It is good to hear from her that there is no particular group of professionals who she thinks should not be included in the conscience..."" [+: Proposes conscience clause protecting professionals from involvement in assisted dying]"
"Claire Hazelgrove (Labour, Filton and Bradley Stoke)",,1,,,,,"2026-07-01 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what his Department's planned timetable is for publishing a response to the Law Commission’s 2023 report on surrogacy; and what steps it is taking to address concerns about the impact of potential"" [+: Flags concerns about impact of surrogacy law reform, aligning with caution on commercial surrogacy]"
"Paul Waugh (Labour (Co-op), Rochdale)",,1,,,,,"2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Warns against commercialised advertising for assisted death, seeking stronger safeguards]"
"Dame Nia Griffith (Labour, Llanelli)",,,1,,,,"2025-04-24 DEBATE: Spoke: Lesbian Visibility Week (re: conversion practices) ""As we continue to work towards meaningful visibility and equality, it is also essential that we have legal clarity on the rights of women, including lesbian women, to single-sex spaces and services. Last week’s ruling by the Supreme Court in the case of For..."" [unscored] | 2024-12-12 DEBATE: Spoke: Employment Rights Bill (Eleventh sitting) (re: surrogacy) ""Additionally, clause 21(5)(b) clarifies that parents looking to take bereaved partners paternity leave who have adopted from overseas or had their children via a surrogacy arrangement can be included in regulations creating protections against redundancy, as..."" [0: Technical discussion of pregnancy redundancy protections, no substantive surrogacy content despite tag] | 2024-12-10 DEBATE: Spoke: Employment Rights Bill (Ninth sitting) (re: surrogacy) ""The point of clause 13 is to give employed fathers, partners and secondary adopters, including those who have their children through a surrogacy arrangement, the ability to take paternity leave and pay after taking shared parental leave and pay. The clause..."" [unscored] | 2023-11-29 DEBATE: Spoke:  Section 28 Repeal: 20th Anniversary (re: conversion therapy) ""Thankfully, the Labour Governments of 1997 to 2010 faced down fierce opposition and championed LGBT rights, including by repealing section 28. Not only did Labour repeal section 28, with the repeal taking effect on 18 November 2003, but we achieved an equal..."" [unscored]"
