Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",1,,,,,,"a question, 3 months ago",thin (weak evidence kinds only (questions or co-signatures)),10,mp-votes.html#mp-4857,"2026-07-01 PQ: Surrogacy ""Surrogacy"" [0: Neutral probing of policy consistency on surrogacy parental orders] | 2026-06-24 PQ: Nigeria: Surrogacy ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, whether she has made an assessment of the (i) risks to women involved in commercial surrogacy arrangements in Nigeria, including (a) maternal mortality, (b) contractual condi"" [+: Highlights risks to women in commercial surrogacy abroad] | 2026-06-17 PQ: Social Security Benefits: Surrogacy ""Social Security Benefits: Surrogacy"" [0: Technical benefits question about surrogate income treatment, neutral] | 2026-06-01 PQ: Human Rights: Surrogacy ""Human Rights: Surrogacy"" [++: Seeks government response to report advocating universal surrogacy ban] | 2026-03-23 PQ: Surrogacy ""Surrogacy"" [0: Factual data request on surrogacy trends abroad] | 2026-03-23 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether he has made an assessment of the potential impact of the increase in the number of children entering the UK who have been born through surrogacy in countries where commercial surrogacy oper"" [+: Raises concern over rising children from commercial surrogacy abroad] | 2026-03-23 PQ: Social Security Benefits: Surrogacy ""Social Security Benefits: Surrogacy"" [0: Technical benefits question, no surrogacy stance shown] | 2026-02-05 PQ: Surrogacy: Social Media ""Surrogacy: Social Media"" [+: Flags risks of social media groups promoting surrogacy, implying concern over its normalisation] | 2026-01-26 PQ: Surrogacy: Cross Border Cooperation ""To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, what assessment he has made of the adequacy of regulations for a) the health and welfare of surrogate mothers and children born through surrogacy and b) ethical concerns asso"" [+: Raises welfare and ethical concerns about surrogacy, aligning with opposition to commercial surrogacy] | 2026-01-26 PQ: Surrogacy: International Law ""Surrogacy: International Law"" [+: Seeks equal standards/checks for surrogacy as adoption, favouring stricter regulation]"
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"a motion signed, 10 months ago",thin (weak evidence kinds only (questions or co-signatures)),7,mp-votes.html#mp-4131,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""IVF Egg Donation: Young Women"" [+: Raises concern over unregulated young egg donation, calling for stricter regulation] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""IVF Egg Donation: Young Women"" [0: Informational discussion of egg donation risks and advertising, no clear surrogacy or family stance] | 2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""Women as young as 18 can donate their eggs for use by others—either for IVF for older people or for surrogacy —and demand is soaring. According to the HFEA, women can undergo as many as 10 donation rounds—a huge toll on any lady’s body. Later, I will give the..."" [+: Raises concern over adverts exploiting young women for egg donation, echoing anti-commodification stance] | 2024-12-10 PQ: IVF: Donors ""To ask the Secretary of State for Health and Social Care, if he will make an assessment of the potential merits of a minimum age of 25 for egg donation."" [+: Proposes minimum age for egg donors, protective stance against exploitation] | 2020-01-21 DEBATE: Spoke:  Surrogacy: Government Policy ""Surrogacy: Government Policy"" [+: Raises concern over rising surrogacy and need for clear regulatory strategy amid complexity] | 2018-10-17 EDM-SIGNED: Signed EDM: PATERNITY LEAVE (re: surrogacy) [0: Concerns paternity leave equity, not directly addressing surrogacy commercialisation]"
"Tracy Gilbert (Labour, Edinburgh North and Leith)",1,,,,,,"a motion sponsored, 10 months ago","moderate (sponsored motions, but no vote on record)",7,mp-votes.html#mp-5188,"2026-06-25 PQ: Surrogacy ""Surrogacy"" [+: Questions adequacy of surrogacy safeguarding, critical framing] | 2026-06-01 PQ: Surrogacy ""Surrogacy"" [+: Focuses on children's rights in surrogacy, aligns with child-centred anti-surrogacy view] | 2026-06-01 PQ: Surrogacy ""Surrogacy"" [+: Raises safeguarding compliance concerns about surrogacy, aligns with critical stance] | 2026-05-22 PQ: Surrogacy ""Surrogacy"" [+: Proposes restricting surrogacy like prohibited adoption countries, anti-surrogacy leaning] | 2025-10-14 EDM: Sponsored EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it] | 2025-09-01 PQ: Surrogacy: Research ""Surrogacy: Research"" [0: Neutral request for research on effects of a surrogacy ban abroad] | 2025-09-01 PQ: IVF: Pressure Groups ""To ask the Secretary of State for Health and Social Care, if he will meet with women's rights campaigners to discuss the impact of egg donation on young women."" [+: Seeks engagement with women's rights campaigners on egg donation risks]"
"Sarah Olney (Liberal Democrat, Richmond Park)",1,,,,,,"a speech, 14 months ago","thin (speeches only, and few of them directional)",3,mp-votes.html#mp-4591,"CONFLICTING SIGNALS - review all evidence | 2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Remarkably, with the exception of amendments required to bring it into line with successive Human Fertilisation and Embryology Acts and to extend its provisions to Northern Ireland, the provisions that the Abortion Act brought into law have remained almost..."" [++: Strongly criticises assisted dying Bill's lack of scrutiny and unstable safeguards] | 2023-11-14 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what assessment he has made of the implications for his policies of the report by the Law Commission entitled Building Families Through Surrogacy: A New Law, published on 29 March 2023; and whether"" [0: Neutral inquiry into Law Commission surrogacy report implications] | 2023-07-03 PQ: Parental Pay: Self-employed (re: surrogacy) ""To ask the Secretary of State for Work and Pensions, if he will make it his policy to extend adoption pay to self-employed people who have a child via surrogacy."" [-: Seeks to extend state benefits to surrogacy arrangements, normalising surrogacy]"
"Rosie Duffield (Independent, Canterbury)",1,,,,,,"a motion signed, 10 months ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4616,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it] | 2025-03-27 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will meet representatives of women and children's rights groups to discuss proposals announced by the Law Commission on 29 March 2023 in relation to surrogacy."" [+: Seeks engagement with women's and children's rights groups on surrogacy reform]"
"Dame Harriett Baldwin (Conservative, West Worcestershire)",1,,,,,,"a speech, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4107,"2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Explicitly states implacable opposition to assisted dying and its harms]"
"Jess Asato (Labour, Lowestoft)",1,,,,,,"a motion signed, 10 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5156,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it]"
"Jess Brown-Fuller (Liberal Democrat, Chichester)",1,,,,,,"a speech, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5335,"2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""I will briefly touch on an equally complex and emotionally charged topic: surrogacy and legal parenthood from the point of birth. For the sake of the child, the surrogate and the legal parents, the matter needs to be handled with great sensitivity. The..."" [++: Warns against commercialising egg donation and surrogacy, favours protective regulation]"
"Patricia Ferguson (Labour, Glasgow West)",1,,,,,,"a motion signed, 10 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5190,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it]"
"Rachael Maskell (Labour (Co-op), York Central)",1,,,,,,"a motion signed, 10 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4471,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [++: Endorses UN report condemning surrogacy as exploitative, calls for action against it]"
