Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Mr Timothy Gaston (Traditional Unionist Voice) - North Antrim,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",11,,"2026-06-05 QUESTION AQW 48067/22-27: ""To ask the Minister of Justice whether her Department will publish further guidance clarif"" [activity, not direction] | 2026-06-05 QUESTION AQW 48065/22-27: ""To ask the Minister of Health whether hospital staff, patients or visitors are able to req"" [activity, not direction] | 2026-06-05 QUESTION AQW 48064/22-27: ""To ask the Minister of Health to detail any guidance that has been issued to hospital chap"" [activity, not direction] | 2026-06-04 QUESTION AQW 47956/22-27: ""To ask the Minister of Justice to detail any assessment that has been made of whether the "" [activity, not direction] | 2026-06-04 QUESTION AQW 47955/22-27: ""To ask the Minister of Justice whether her Department has sought legal advice on whether r"" [activity, not direction] | 2026-06-04 QUESTION AQW 47953/22-27: ""To ask the Minister of Justice whether a person carrying out pastoral visits at a hospital"" [activity, not direction] | 2026-06-04 QUESTION AQW 47952/22-27: ""To ask the Minister of Justice whether the PSNI has issued any operational guidance to off"" [activity, not direction] | 2026-05-28 QUESTION AQW 47350/22-27: ""To ask the Minister of Justice whether a hospital chaplain, minister, priest or pastor who"" [activity, not direction] | 2025-12-08 QUESTION AQW 37067/22-27: ""To ask the Minister of Health, in light of the publication of the Northern Ireland Abortio"" [activity, not direction] | 2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati] | 2025-02-03 QUESTION AQW 21847/22-27: ""To ask the Minister of Health to place a copy in the Assembly library of all (i) departmen"" [activity, not direction]",Unionist
Mr Jonathan Buckley (Democratic Unionist Party) - Upper Bann,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",2,,"2026-05-15 QUESTION AQW 46358/22-27: ""To ask the Minister of Health, in light of the judgment in Director of Public Prosecutions"" [activity, not direction] | 2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Miss Michelle McIlveen (Democratic Unionist Party) - Strangford,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Alan Robinson (Democratic Unionist Party) - East Londonderry,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Brian Kingston (Democratic Unionist Party) - North Belfast,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr David Brooks (Democratic Unionist Party) - East Belfast,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Gordon Lyons (Democratic Unionist Party) - East Antrim,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Harry Harvey (Democratic Unionist Party) - Strangford,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Keith Buchanan (Democratic Unionist Party) - Mid Ulster,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Maurice Bradley (Democratic Unionist Party) - East Londonderry,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Paul Frew (Democratic Unionist Party) - North Antrim,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
Mr Peter Martin (Democratic Unionist Party) - North Down,1,,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",1,,"2025-11-04 VOTE AYE: Deaths, Still-Births and Baby Loss Bill amendment 5 [+2: Voted to extend baby-loss certification to lives ended by termination -- official recognition that a terminati]",Unionist
