Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Mrs Michelle Guy (Alliance Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),3,,"2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed] | 2026-01-15 QUESTION AQW 38352/22-27: ""To ask the Minister of Education to detail whether (i) he; or (ii) his Department, has con"" [activity, not direction] | 2026-01-14 QUESTION AQW 38246/22-27: ""To ask the Minister of Health whether his Department has contacted Ofcom in relation to th"" [activity, not direction]",Other
Mr Matthew O'Toole (Social Democratic and Labour Party) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),2,,2026-06-16 MOTION PROPOSED: Standing up to Racism [no meaning line -- not placed] | 2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Peter Martin (Democratic Unionist Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed] | 2026-05-11 QUESTION AQW 46003/22-27: ""To ask the Minister of Justice to detail any action she is taking to combat antisemitism a"" [activity, not direction]",Unionist
Ms Cara Hunter (Social Democratic and Labour Party) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed] | 2024-12-04 QUESTION AQW 19305/22-27: ""To ask the Minister for Communities, in light of recent reports of Islamophobia and racism"" [activity, not direction]",Nationalist
Ms Diana Armstrong (Ulster Unionist Party) - Fermanagh and South Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed] | 2026-01-08 QUESTION AQO 2937/22-27: ""To ask the First Minister and deputy First Minister, further to the announcement of the Sh"" [activity, not direction]",Unionist
Dr Caoimhe Archibald (Sinn Féin) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Dr Steve Aiken OBE (Ulster Unionist Party) - South Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2025-07-02 QUESTION AQW 29757/22-27: ""To ask the Minister for the Economy whether she is aware of any engagement by the regulato"" [activity, not direction]",
Miss Deirdre Hargey (Sinn Féin) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Miss Michelle McIlveen (Democratic Unionist Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Miss Nicola Brogan (Sinn Féin) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Miss Nuala McAllister (Alliance Party) - North Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Miss Áine Murphy (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Miss Órlaithí Flynn (Sinn Féin) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Alan Chambers (Ulster Unionist Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Alan Robinson (Democratic Unionist Party) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Andrew McMurray (Alliance Party) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Andrew Muir (Alliance Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Andy Allen MBE (Ulster Unionist Party) - East Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Brian Kingston (Democratic Unionist Party) - North Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Colin McGrath (Social Democratic and Labour Party) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Colm Gildernew (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Daniel McCrossan (Social Democratic and Labour Party) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Danny Baker (Sinn Féin) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Danny Donnelly (Alliance Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr David Brooks (Democratic Unionist Party) - East Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr David Honeyford (Alliance Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Declan Kearney (Sinn Féin) - South Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Declan McAleer (Sinn Féin) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Doug Beattie MC (Independent) - Upper Bann,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Eóin Tennyson (Alliance Party) - Upper Bann,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Gareth Wilson (Democratic Unionist Party) - Newry and Armagh,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Gerry Carroll (People Before Profit Alliance) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Gerry Kelly (Sinn Féin) - North Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Gordon Lyons (Democratic Unionist Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Harry Harvey (Democratic Unionist Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr John O'Dowd (Sinn Féin) - Upper Bann,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr John Stewart (Ulster Unionist Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Jon Burrows (Ulster Unionist Party) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Jonathan Buckley (Democratic Unionist Party) - Upper Bann,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Justin McNulty (Social Democratic and Labour Party) - Newry and Armagh,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Keith Buchanan (Democratic Unionist Party) - Mid Ulster,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Maolíosa McHugh (Sinn Féin) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Mark Durkan (Social Democratic and Labour Party) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
