Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Ms Cara Hunter (Social Democratic and Labour Party) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),12,,"2026-07-01 QUESTION AQW 50166/22-27: ""To ask the Minister of Education to detail whether (i) the proposed Personal Development, "" [activity, not direction] | 2026-07-01 QUESTION AQW 50165/22-27: ""To ask the Minister of Education to detail how he will ensure that the proposed curriculum"" [activity, not direction] | 2026-06-15 QUESTION AQW 48670/22-27: ""To ask the Minister of Education, in light of his Department's finding that there is consi"" [activity, not direction] | 2026-04-29 QUESTION AQW 45107/22-27: ""To ask the Minister of Education, pursuant to AQW 43957/22-27, to detail (i) any metrics a"" [activity, not direction] | 2026-04-24 QUESTION AQW 44752/22-27: ""To ask the Minister of Education To ask the Minister of Education, pursuant to AQW 43957/2"" [activity, not direction] | 2026-04-24 QUESTION AQW 44751/22-27: ""To ask the Minister of Education, pursuant to AQW 43957/22-27, to detail (i) any assessmen"" [activity, not direction] | 2026-04-15 QUESTION AQW 43957/22-27: ""To ask the Minister of Education to detail (i) whether his Department has undertaken an as"" [activity, not direction] | 2025-09-09 QUESTION AQW 30681/22-27: ""To ask the Minister of Education to detail any assessment his Department has made of the i"" [activity, not direction] | 2025-09-03 QUESTION AQW 30217/22-27: ""To ask the Minister of Education what action he will take to fulfil his legal duty under t"" [activity, not direction] | 2025-03-20 QUESTION AQW 24715/22-27: ""To ask the Minister of Education to detail (i) whether his Department has any plans to und"" [activity, not direction] | 2025-03-14 QUESTION AQW 24453/22-27: ""To ask the Minister of Education for an update on the steps taken to measure the demand fo"" [activity, not direction] | 2025-03-13 QUESTION AQW 24374/22-27: ""To ask the Minister of Education for an update on progress made in the last three years on"" [activity, not direction]",
Mr Nick Mathison (Alliance Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),10,,"2026-06-08 QUESTION AQW 48090/22-27: ""To ask the Minister of Education to detail any (i) assessment that has been made of the le"" [activity, not direction] | 2026-04-15 QUESTION AQW 43923/22-27: ""To ask the Minister of Education to detail any reason departmental Circular 2026/03 does n"" [activity, not direction] | 2026-03-06 QUESTION AQW 41990/22-27: ""To ask the Minister of Education to detail any exceptions which may be considered for scho"" [activity, not direction] | 2026-01-05 QUESTION AQO 2882/22-27: ""To ask the Minister of Education, following the 2024 Northern Ireland Life and Times Surve"" [activity, not direction] | 2025-01-29 QUESTION AQW 21517/22-27: ""To ask the Minister of Education, pursuant to AQW 20412/22-27, whether Bangor Academy and "" [activity, not direction] | 2025-01-29 QUESTION AQW 21516/22-27: ""To ask the Minister of Education, pursuant to AQW 20412/22-27, to detail (i) the six local"" [activity, not direction] | 2025-01-13 QUESTION AQW 20412/22-27: ""To ask the Minister of Education to detail (i) the steps he has taken to assess the level "" [activity, not direction] | 2024-12-11 QUESTION AQW 19720/22-27: ""To ask the Minister of Education when he will publish the revised Integrated Education Str"" [activity, not direction] | 2024-11-12 QUESTION AQW 18038/22-27: ""To ask the Minister of Education when the updated Integrated Education Strategy and Action"" [activity, not direction] | 2024-09-13 QUESTION AQW 14988/22-27: ""To ask the Minister of Education for an update on the implementation of the Integrated Edu"" [activity, not direction]",
Ms Kellie Armstrong (Alliance Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),9,,"2026-04-24 QUESTION AQW 44767/22-27: ""To ask the Minister of Education to detail whether all grant-maintained integrated schools"" [activity, not direction] | 2025-06-26 QUESTION AQW 29371/22-27: ""To ask the Minister of Education to detail how his Department is monitoring (i) the Educat"" [activity, not direction] | 2025-03-03 QUESTION AQW 23688/22-27: ""To ask the Minister of Finance to detail (i) the source of the £11.6 million for Fresh Sta"" [activity, not direction] | 2025-01-08 QUESTION AQW 20176/22-27: ""To ask the Minister of Education how the refusal to approve the Transformation to Integrat"" [activity, not direction] | 2025-01-08 QUESTION AQW 20172/22-27: ""To ask the Minister of Education when his Department will be publishing the next report on"" [activity, not direction] | 2024-11-11 QUESTION AQW 17971/22-27: ""To ask the Minister of Education for a breakdown of the (i) actions; (ii) timetable; and ("" [activity, not direction] | 2024-11-11 QUESTION AQW 17970/22-27: ""To ask the Minister of Education to detail any additional funding that will be provided to"" [activity, not direction] | 2024-10-02 QUESTION AQW 16091/22-27: ""To ask the Minister of Education to detail (i) the action his Department is taking, in con"" [activity, not direction] | 2024-10-02 QUESTION AQW 16090/22-27: ""To ask the Minister of Education to detail (i) how his Department, in conjunction with the"" [activity, not direction]",
Ms Claire Sugden (Independent) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),8,,"2026-03-18 QUESTION AQW 42658/22-27: ""To ask the Minister of Education whether his Department would consider using the 16 to 18 "" [activity, not direction] | 2026-03-18 QUESTION AQW 42657/22-27: ""To ask the Minister of Education to detail his Department's plans to address safeguarding "" [activity, not direction] | 2026-03-18 QUESTION AQW 42656/22-27: ""To ask the Minister of Education, in relation to the 16 to 18 Legislation, to detail (i) h"" [activity, not direction] | 2026-01-21 QUESTION AQW 38709/22-27: ""To ask the Minister of Education to detail any training provided to teachers specifically "" [activity, not direction] | 2026-01-21 QUESTION AQW 38708/22-27: ""To ask the Minister of Education to detail any steps his Department will take to strengthe"" [activity, not direction] | 2026-01-21 QUESTION AQW 38707/22-27: ""To ask the Minister of Education to detail any mechanisms in place to ensure consistent de"" [activity, not direction] | 2025-11-06 QUESTION AQW 34848/22-27: ""To ask the Minister of Education to detail any provision of Relationships and Sexuality Ed"" [activity, not direction] | 2025-03-12 QUESTION AQW 24279/22-27: ""To ask the Minister of Education whether curriculum reform will include updated Relationsh"" [activity, not direction]",
Mrs Michelle Guy (Alliance Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),5,,"2025-09-10 QUESTION AQW 30880/22-27: ""To ask the Minister of Education to detail whether the Department of Education’s Parental "" [activity, not direction] | 2025-06-25 QUESTION AQW 29303/22-27: ""To ask the Minister of Education to provide a breakdown the number of children that have b"" [activity, not direction] | 2025-04-04 QUESTION AQW 25681/22-27: ""To ask the Minister of Education how his Department is using the Keeping Safe relationship"" [activity, not direction] | 2025-04-04 QUESTION AQW 25680/22-27: ""To ask the Minister of Education to detail how teachers can access the Keeping Safe relati"" [activity, not direction] | 2024-10-24 QUESTION AQW 17389/22-27: ""To ask the Minister of Education for his assessment of whether the delivery of comprehensi"" [activity, not direction]",
Mr Pat Sheehan (Sinn Féin) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),3,,"2026-02-11 QUESTION AQW 40383/22-27: ""To ask the Minister of Education to detail any impact his proposed management authority fo"" [activity, not direction] | 2024-11-04 QUESTION AQW 17557/22-27: ""To ask the Minister of Education what measures his Department is taking to undertake its s"" [activity, not direction] | 2024-11-04 QUESTION AQW 17556/22-27: ""To ask the Minister of Education for an update on the implementation of Integrated Educati"" [activity, not direction]",
Mr Daniel McCrossan (Social Democratic and Labour Party) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2026-05-20 QUESTION AQW 46712/22-27: ""To ask the Minister of Education whether any assessment has been made of the Integrated Ed"" [activity, not direction] | 2025-12-05 QUESTION AQW 36935/22-27: ""To ask the Minister of Education to detail (i) his assessment of his Department’s research"" [activity, not direction]",
Mr Jon Burrows (Ulster Unionist Party) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2026-07-02 QUESTION AQW 50385/22-27: ""To ask the Minister of Education to detail to what extent the current proposals for person"" [activity, not direction] | 2025-11-24 QUESTION AQW 36194/22-27: ""To ask the Minister of Education, in light of the Supreme Court judgement in the matter of"" [activity, not direction]",
Mr Timothy Gaston (Traditional Unionist Voice) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),2,,"2025-12-03 QUESTION AQW 36778/22-27: ""To ask the Minister of Education whether he will bring forward legislation, similar to tha"" [activity, not direction] | 2024-11-07 QUESTION AQW 17834/22-27: ""To ask the Minister of Education to detail all organisations that have received funding fr"" [activity, not direction]",
Miss Deirdre Hargey (Sinn Féin) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2026-05-21 QUESTION AQO 3613/22-27: ""To ask the Minister of Education to outline any action his Department is taking following "" [activity, not direction]",
