Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Mr Timothy Gaston (Traditional Unionist Voice) - North Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2026-06-02 QUESTION AQW 47706/22-27: ""To ask the Assembly Commission whether its Transgender Policy addresses legal obligations "" [activity, not direction] | 2025-09-30 QUESTION AQW 32447/22-27: ""To ask the Minister of Education, further to his response to AQW 31661/22-2,5 to detail wh"" [activity, not direction] | 2025-09-19 QUESTION AQW 31661/22-27: ""To ask the Minister of Education whether he will issue guidance to schools on the necessit"" [activity, not direction] | 2025-05-06 QUESTION AQW 26656/22-27: ""To ask the Minister of Justice, in light of the recent Supreme Court judgment in the case "" [activity, not direction] | 2025-02-24 QUESTION AQW 23270/22-27: ""To ask the Minister of Health, in light of media reports stating that the General Medical "" [activity, not direction] | 2025-02-24 QUESTION AQW 23268/22-27: ""To ask the Minister of Justice to detail the measures in place to ensure that a convicted "" [activity, not direction]",Unionist
Mr Peter Martin (Democratic Unionist Party) - North Down,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",5,,"2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2025-04-28 QUESTION AQW 26236/22-27: ""To ask the Minister of Health, pursuant to AQO 1884/22-27, whether he will be ensuring tha"" [activity, not direction] | 2025-03-10 QUESTION AQW 24133/22-27: ""To ask the Minister of Health to detail any guidance his Department has provided Health an"" [activity, not direction] | 2025-03-10 QUESTION AQW 24131/22-27: ""To ask the Minister of Health to detail the consultation that each Health and Social Care "" [activity, not direction] | 2025-03-10 QUESTION AQW 24130/22-27: ""To ask the Minister of Health whether any disciplinary action has been taken against any s"" [activity, not direction]",Unionist
Ms Joanne Bunting (Democratic Unionist Party) - East Belfast,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",5,,"2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2025-04-28 QUESTION AQW 26198/22-27: ""To ask the Minister of Justice, given the recent Supreme Court judgment regarding biologic"" [activity, not direction] | 2025-04-28 QUESTION AQW 26197/22-27: ""To ask the Minister for Communities, given the recent Supreme Court judgment regarding bio"" [activity, not direction] | 2025-04-28 QUESTION AQW 26196/22-27: ""To ask the Minister of Finance, given the recent Supreme Court judgment regarding biologic"" [activity, not direction] | 2025-04-28 QUESTION AQW 26195/22-27: ""To ask the Minister for the Economy, given the recent Supreme Court judgment regarding bio"" [activity, not direction]",Unionist
Mr Jonathan Buckley (Democratic Unionist Party) - Upper Bann,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",3,,"2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2026-02-26 QUESTION AQO 3278/22-27: ""To ask the Assembly Commission to outline any actions it has taken, following the Supreme "" [activity, not direction] | 2025-03-26 QUESTION AQW 25107/22-27: ""To ask the Minister of Health to detail the total cost of gender reassignment services in "" [activity, not direction]",Unionist
Mr Doug Beattie MC (Independent) - Upper Bann,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",2,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2026-06-22 MOTION PROPOSED: Women’s Rights in Northern Ireland Prisons [+2: proposed: Put their name to a motion affirming single-sex provision in the women's prison estate and citing Fo],Unionist
Mr Jon Burrows (Ulster Unionist Party) - North Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",2,,"2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua] | 2025-11-14 QUESTION AQW 35590/22-27: ""To ask the Minister for Infrastructure whether her Department has assessed the feasibility"" [activity, not direction]",Unionist
Miss Michelle McIlveen (Democratic Unionist Party) - Strangford,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Alan Chambers (Ulster Unionist Party) - North Down,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Alan Robinson (Democratic Unionist Party) - East Londonderry,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Andy Allen MBE (Ulster Unionist Party) - East Belfast,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Brian Kingston (Democratic Unionist Party) - North Belfast,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr David Brooks (Democratic Unionist Party) - East Belfast,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Gareth Wilson (Democratic Unionist Party) - Newry and Armagh,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Gordon Lyons (Democratic Unionist Party) - East Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Harry Harvey (Democratic Unionist Party) - Strangford,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Keith Buchanan (Democratic Unionist Party) - Mid Ulster,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Maurice Bradley (Democratic Unionist Party) - East Londonderry,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Mike Nesbitt (Ulster Unionist Party) - Strangford,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Paul Frew (Democratic Unionist Party) - North Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Paul Givan (Democratic Unionist Party) - Lagan Valley,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
