Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Darren Millar (Welsh Conservative) - Clwyd,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",17,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2025-02-19 QUESTION WQ95837: ""What assessment has the Welsh Government made of the impact of the UK Terminally Ill Adult"" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) "
Janet Finch-Saunders (Welsh Conservative) - Bangor Conwy Môn,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",14,,"2026-08-12 QUESTION WQ100031: ""Will the Cabinet Minister provide an update on what tax relief for which the Welsh Governm"" [activity, not direction] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""They've called on the Welsh Government to develop a new sustainable funding model for hosp"" [activity, not direction] | 2025-05-12 QUESTION WQ96421: ""How many terminally ill patients are currently receiving palliative care in Wales?"" [activity, not direction] | 2025-04-28 QUESTION WQ96328: ""Will the Cabinet Secretary set out how much correspondence the Welsh Government has receiv"" [activity, not direction] | 2025-03-11 QUESTION WQ95992: ""What discussions has the Cabinet Secretary had with colleagues in the UK Government and Pa"" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""I can understand that people bringing this want to do it for the right reasons, to stop th"" [activity, not direction] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Stan"
Mabon ap Gwynfor (Plaid Cymru) - Gwynedd Maldwyn,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",13,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2025-09-24 SPOKE: 11. Short Debate: Securing Welsh hospice car ""Diolch, Mark. Hospices are proving to be an essential part of our health service in Wales."" [activity, not direction] | 2025-02-18 SPOKE: 2. Questions to the Counsel General and Mini ""Thanks for that response. Well, clause 32, for instance, of the Terminally Ill Adults (End"" [activity, not direction] | 2025-02-18 SPOKE: 2. Questions to the Counsel General and Mini ""7. What assessment has the Counsel General made of the potential impact on Wales of the We"" [activity, not direction] | 2025-01-21 SPOKE: 3. Business Statement and Announcement ""Can I ask for two statements, please? First of all, can I ask for a statement from the Cou"" [activity, not direction] | 2024-10-23 VOTE "
Sam Rowlands (Welsh Conservative) - Fflint Wrecsam,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",12,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""This would not just affect older people, as we’d expect, towards the end of their life, it"" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no m"
Andrew RT Davies (Welsh Conservative) - Pen-y-bont Bro Morgannwg,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",11,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2025-02-18 QUESTION WQ95830: ""What discussions has the Cabinet Secretary had with the UK Government regarding the Westmi"" [activity, not direction] | 2024-12-03 SPOKE: 1. Questions to the First Minister ""Thank you, Presiding Officer. There’s nothing like a good cheer on a Tuesday, is there? [ "" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-10-22 QUESTION WQ94694: ""What assessment has the Cabinet Secretary made of comments from the Association for Pallia"" [activity, not direction] | 2024-03-21 QUESTION WQ92319: ""Will the Minister make a statement on the reasons for performance decreasing against the 6"" [activity, not direction] | 2024-01-24 VOTE DIDNOTVOTE: Item 6. Member Debate under Standing Order 11.21(iv) - C [absence/abstention -- not placed] | 2024-01-18 QUESTION WQ90556: ""Further to WQ90447, will the Minister detail what steps the Welsh Government is taking to "" [activity, not direction]"
Delyth Jewell (Plaid Cymru) - Blaenau Gwent Caerffili Rhymni,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",9,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""Attempts to give Wales a veto in this Bill were removed by the House of Commons, leaving u"" [activity, not direction] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-10-23 SPOKE: 5. Member Debate under Standing Order 11.21( ""5. Member Debate under Standing Order 11.21(iv): Assisted dying"" [activity, not direction] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Huw Irranca-Davies (Welsh Labour) - Afan Ogwr Rhondda,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2025-03-26 SPOKE: 2. Questions to the Deputy First Minister an ""Thank you very much, Lesley, and for your commitment on this as well. I can give you some "" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Jane Dodds (Welsh Liberal Democrats) - Brycheiniog Tawe Nedd,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-09-24 SPOKE: 2. Business Statement and Announcement ""Good afternoon, Trefnydd. I'd like to request two statements, if I may, with one from the "" [activity, not direction] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Mike Hedges (Welsh Labour) - Gŵyr Abertawe,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""14. Legislative Consent Motion: The Terminally Ill Adults (End of Life) Bill"" [activity, not direction] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Llyr Gruffydd (Plaid Cymru) - Clwyd,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",6,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Lynne Neagle (Welsh Labour) - Sir Fynwy Torfaen,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",6,,"2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-01-24 VOTE ABSTAIN: Item 6. Member Debate under Standing Order 11.21(iv) - C [absence/abstention -- not placed]"
Peredur Owen Griffiths (Plaid Cymru) - Casnewydd Islwyn,,x,,,,,"a vote, 22 months ago","strong (recorded vote, human-confirmed meaning line)",6,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2024-10-23 VOTE AGAINST: Item 5. Member Debate under Standing Order 11.21(iv) - A [+1: Voted down the assisted dying motion -- Wales's only chamber expression on the substance, rejected 19-26.] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Peter Fox (Welsh Conservative) - Sir Fynwy Torfaen,,,x,,,,no confirmed meaning line,n/a (activity only),9,,"2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 SPOKE: 14. Legislative Consent Motion: The Terminal ""Diolch, Llywydd. The Health and Social Care Committee has considered and reported on the f"" [activity, not direction] | 2026-01-21 SPOKE: 7. Welsh Conservatives Debate: Hospices ""I'm not here today to make a judgment on the assisted dying Bill, which is a debate for an"" [activity, not direction] | 2025-09-24 SPOKE: 11. Short Debate: Securing Welsh hospice car ""Thank you, Mark, for giving me a minute of your time. As you said, hospices play a vital r"" [activity, not direction] | 2024-10-23 VOTE ABSTAIN: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Natasha Asghar (Welsh Conservative) - Casnewydd Islwyn,,,x,,,,no confirmed meaning line,n/a (activity only),7,,"2026-07-07 QUESTION WQ99554: ""How will the Cabinet Minister ensure that the shift to primary and community care will del"" [activity, not direction] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2024-10-23 VOTE DIDNOTVOTE: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]"
Cefin Campbell (Plaid Cymru) - Sir Gaerfyrddin,,,x,,,,no confirmed meaning line,n/a (activity only),6,,2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2024-10-23 VOTE ABSTAIN: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]
Elin Jones (Plaid Cymru) - Ceredigion Penfro,,,x,,,,no confirmed meaning line,n/a (activity only),6,,2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE DIDNOTVOTE: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2024-10-23 VOTE DIDNOTVOTE: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE DIDNOTVOTE: Item 6. Member Debate under Standing Order 11.21(iv) - C [absence/abstention -- not placed]
Ken Skates (Welsh Labour) - Fflint Wrecsam,,,x,,,,no confirmed meaning line,n/a (activity only),6,,2026-02-24 VOTE FOR: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2024-10-23 VOTE DIDNOTVOTE: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]
Laura Anne Jones (Reform UK) - Sir Fynwy Torfaen,,,x,,,,no confirmed meaning line,n/a (activity only),6,,2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE AGAINST: Item 14. Legislative Consent Motion: The Terminally Ill  [NOT PLACEABLE (confirmed): see config/sd_stance.yaml] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2026-02-24 VOTE ABSTAIN: Item 14. Legislative Consent Motion: The Terminally Ill  [absence/abstention -- not placed] | 2024-10-23 VOTE ABSTAIN: Item 5. Member Debate under Standing Order 11.21(iv) - A [absence/abstention -- not placed] | 2024-01-24 VOTE FOR: Item 6. Member Debate under Standing Order 11.21(iv) - C [no meaning line -- not placed]
