Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),4,,"2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""Sue Webber cannot be here to speak to her amendments 137, 318 and 324, so she asked me to "" [activity, not direction] | 2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""I do not think that that is what Sue Webber’s amendments suggest. The amendments as drafte"" [activity, not direction] | 2024-06-12 VOTE NOT VOTED: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-30 VOTE NOT VOTED: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed]"
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),2,,2024-06-12 VOTE NOT VOTED: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-30 VOTE NOT VOTED: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed]
Kate Nevens (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-18 MOTION PROPOSED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]
Kayleigh Kinross-O'Neill (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,"2026-06-09 SPOKE: First Minister’s Question Time ""At a time when women’s healthcare in Scotland faces sustained challenges, we are concerned"" [activity, not direction]"
Adam Harley (Scottish Liberal Democrats) - Strathkelvin and Bearsden,,,x,,,,no evidence,,0,,No recorded activity on this area
Alan Brown (Scottish National Party) - Kilmarnock and Irvine Valley,,,x,,,,no evidence,,0,,No recorded activity on this area
"Alex Kerr (Scottish National Party) - Hamilton, Larkhall and Stonehouse",,,x,,,,no evidence,,0,,No recorded activity on this area
Alison Thewliss (Scottish National Party) - Glasgow Central,,,x,,,,no evidence,,0,,No recorded activity on this area
Alyn Smith (Scottish National Party) - Stirling,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Bland (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Lindsay (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
