Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),9,,"2026-09-08 QUESTION S7W-03095: ""To ask the Scottish Government what its position is on prohibiting registered sex offender"" [activity, not direction] | 2026-05-26 QUESTION S7W-00401: ""To ask the Scottish Government whether it will direct the Scottish Prison Service to revis"" [activity, not direction] | 2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""Sue Webber cannot be here to speak to her amendments 137, 318 and 324, so she asked me to "" [activity, not direction] | 2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""Sue Webber cannot be here to speak to her amendments 137, 318 and 324, so she asked me to "" [activity, not direction] | 2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""I do not think that that is what Sue Webber’s amendments suggest. The amendments as drafte"" [activity, not direction] | 2026-03-10 SPOKE: Assisted Dying for Terminally Ill Adults (Sc ""I do not think that that is what Sue Webber’s amendments suggest. The amendments as drafte"" [activity, not direction] | 2025-06-03 SPOKE: Combating Commercial Sexual Exploitation ""Scotland can and must do the same. The Prostitution (Offences and Support) (Scotland) Bill"" [activity, not direction] | 2024-06-12 VOTE NOT VOTED: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-30 VOTE NOT VOTED: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed]"
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),4,,"2026-03-19 MOTION CO-SIGNED S6M-21159: Tollcross Care Home Marks Down's Syndrome Awareness  [no meaning line -- not placed] | 2026-03-17 MOTION CO-SIGNED S6M-21146: World Down Syndrome Day, 21 March 2026 [no meaning line -- not placed] | 2024-06-12 VOTE NOT VOTED: S6M-13571 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-30 VOTE NOT VOTED: S6M-13015 (Abortion Services (Safe Access Zones) (Scotland)) [diverged from own party's majority] [absence/abstention -- not placed]"
Kate Nevens (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),2,,"2026-09-10 QUESTION S7W-03198: ""To ask the Scottish Government whether it plans to introduce gender-neutral designation op"" [activity, not direction] | 2026-06-18 MOTION PROPOSED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]"
Cara McKee (Scottish Green Party) - West Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-18 MOTION CO-SIGNED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]
Holly Bruce (Scottish Green Party) - Glasgow Southside,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-18 MOTION CO-SIGNED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]
Iris Duane (Scottish Green Party) - Glasgow,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-18 MOTION CO-SIGNED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]
Jenny Young (Scottish Labour) - Central Scot and Lothians West,,,x,,,,no confirmed meaning line,n/a (activity only),1,,"2026-09-08 SPOKE: Europe, External Affairs and Culture Committ ""My area of questioning is a mixture of looking back and looking forward. The previous sess"" [activity, not direction]"
Kayleigh Kinross-O'Neill (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,"2026-06-09 SPOKE: First Minister’s Question Time ""At a time when women’s healthcare in Scotland faces sustained challenges, we are concerned"" [activity, not direction]"
Patricia Gibson (Scottish National Party) - Cunninghame South,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-08-07 MOTION PROPOSED S7M-00815: Baby Loss Awareness Week 2026 [no meaning line -- not placed]
Q Manivannan (Scottish Green Party) - Edinburgh and Lothians East,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-18 MOTION CO-SIGNED S7M-00403: Congratulating Scotland for Decrim on National Campa [no meaning line -- not placed]
Adam Harley (Scottish Liberal Democrats) - Strathkelvin and Bearsden,,,x,,,,no evidence,,0,,No recorded activity on this area
Alan Brown (Scottish National Party) - Kilmarnock and Irvine Valley,,,x,,,,no evidence,,0,,No recorded activity on this area
"Alex Kerr (Scottish National Party) - Hamilton, Larkhall and Stonehouse",,,x,,,,no evidence,,0,,No recorded activity on this area
Alison Thewliss (Scottish National Party) - Glasgow Central,,,x,,,,no evidence,,0,,No recorded activity on this area
Alyn Smith (Scottish National Party) - Stirling,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Bland (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
Amanda Lindsay (Reform UK) - Central Scot and Lothians West,,,x,,,,no evidence,,0,,No recorded activity on this area
"Andrew Baxter (Scottish Liberal Democrats) - Skye, Lochaber and Badenoch",,,x,,,,no evidence,,0,,No recorded activity on this area
Angela Ross (Reform UK) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
"Calum Kerr (Scottish National Party) - Midlothian South, Tweeddale and Lauderdale",,,x,,,,no evidence,,0,,No recorded activity on this area
Colm Merrick (Scottish National Party) - Glasgow Anniesland,,,x,,,,no evidence,,0,,No recorded activity on this area
David Barratt (Scottish National Party) - Cowdenbeath,,,x,,,,no evidence,,0,,No recorded activity on this area
"David Green (Scottish Liberal Democrats) - Caithness, Sutherland and Ross",,,x,,,,no evidence,,0,,No recorded activity on this area
David Kirkwood (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
David Linden (Scottish National Party) - Glasgow Baillieston and Shettleston,,,x,,,,no evidence,,0,,No recorded activity on this area
David Smith (Reform UK) - West Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Dawn Black (Scottish National Party) - Angus North and Mearns,,,x,,,,no evidence,,0,,No recorded activity on this area
Donald MacKinnon (Scottish Labour) - Na h-Eileanan an Iar,,,x,,,,no evidence,,0,,No recorded activity on this area
Duncan Dunlop (Scottish Liberal Democrats) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Duncan Massey (Reform UK) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Gary Bouse (Scottish National Party) - Falkirk West,,,x,,,,no evidence,,0,,No recorded activity on this area
Hannah Mary Goodlad (Scottish National Party) - Shetland Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Heather Anderson (Scottish National Party) - Dundee City West,,,x,,,,no evidence,,0,,No recorded activity on this area
Helen McDade (Reform UK) - Mid Scotland and Fife,,,x,,,,no evidence,,0,,No recorded activity on this area
Irshad Ahmed (Scottish Labour) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
Jack Middleton (Scottish National Party) - Aberdeen Central,,,x,,,,no evidence,,0,,No recorded activity on this area
James Adams (Scottish Conservative and Unionist Party) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Jamie Langan (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Joe Fagan (Scottish Labour) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Joe Long (Scottish Labour) - Mid Scotland and Fife,,,x,,,,no evidence,,0,,No recorded activity on this area
Julie MacDougall (Reform UK) - Mid Scotland and Fife,,,x,,,,no evidence,,0,,No recorded activity on this area
"Kate Campbell (Scottish National Party) - Edinburgh Eastern, Musselburgh and Tranent",,,x,,,,no evidence,,0,,No recorded activity on this area
Katherine Sangster (Scottish Labour) - Edinburgh and Lothians East,,,x,,,,no evidence,,0,,No recorded activity on this area
"Katie Hagmann (Scottish National Party) - Carrick, Cumnock and Doon Valley",,,x,,,,no evidence,,0,,No recorded activity on this area
Kim Schmulian (Reform UK) - Glasgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Kirsten Oswald (Scottish National Party) - Eastwood,,,x,,,,no evidence,,0,,No recorded activity on this area
Kristopher Leask (Scottish Green Party) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Laura Mitchell (Scottish National Party) - Moray,,,x,,,,no evidence,,0,,No recorded activity on this area
Laura Moodie (Scottish Green Party) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Lloyd Melville (Scottish National Party) - Angus South,,,x,,,,no evidence,,0,,No recorded activity on this area
Malcolm Offord (Reform UK) - West Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Mark Simpson (Reform UK) - North East Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Martyn Day (Scottish National Party) - Falkirk East and Linlithgow,,,x,,,,no evidence,,0,,No recorded activity on this area
Max Bannerman (Reform UK) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Michelle Campbell (Scottish National Party) - Renfrewshire North and Cardonald,,,x,,,,no evidence,,0,,No recorded activity on this area
Morven-May MacCallum (Scottish Liberal Democrats) - Highlands and Islands,,,x,,,,no evidence,,0,,No recorded activity on this area
Pauline Stafford (Scottish National Party) - Bathgate,,,x,,,,no evidence,,0,,No recorded activity on this area
Sanne Dijkstra-Downie (Scottish Liberal Democrats) - Edinburgh Northern,,,x,,,,no evidence,,0,,No recorded activity on this area
Senga Beresford (Reform UK) - South Scotland,,,x,,,,no evidence,,0,,No recorded activity on this area
Simita Kumar (Scottish National Party) - Edinburgh South Western,,,x,,,,no evidence,,0,,No recorded activity on this area
Stephen Flynn (Scottish National Party) - Aberdeen Deeside and North Kincardine,,,x,,,,no evidence,,0,,No recorded activity on this area
