Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Clare Adamson (Scottish National Party) - Motherwell and Wishaw,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",24,,2026-06-01 MOTION PROPOSED S7M-00224: Commending the Fundraising by Staff at Clyde Valley  [no meaning line -- not placed] | 2026-05-15 MOTION PROPOSED S7M-00035: Clyde Valley Anglers Fundraising for Children’s Char [no meaning line -- not placed] | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2026-02-03 MOTION PROPOSED S6M-20673: John Patterson and Ellie McKinlay Take Part in Chari [no meaning line -- not placed] | 2026-01-12 MOTION PROPOSED S6M-20412: Thanking Karen’s Kloset for Supporting St Andrew’s H [no meaning line -- not placed] | 2026-01-12 MOTION PROPOSED S6M-20411: Tribute to Muirhouse Senior Citizens Monday Club for [no meaning line -- not placed] | 2025-12-22 MOTION PROPOSED S6M-20273: North Lanarkshire Neighbourhood Networks Fundraising [no meaning line -- not placed] | 2025-12-09 VOTE ABSTAIN: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [absence/abstention -- not placed] | 2025-10-30 VOTE ABSTAIN: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [absence/abstention -- not placed] | 2025-07-18 MOTION PROPOSED S6M-18353: 150 Years of Our Lady's High School [no meaning line -- not placed] | 2025-07-17 MOTION PROPOSED S6M-18347: Constance Care's Fundraising Efforts for St Andrew's [no meaning line -- not placed] | 2025-05-16 MOTION PROPOSED S6M-17573: Team CVHS Kiltwalk 2025 [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) 
Marie McNair (Scottish National Party) - Clydebank and Milngavie,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",17,,"2026-08-19 MOTION PROPOSED S7M-00886: Allander Dental Care Take on Triple Charity Challeng [no meaning line -- not placed] | 2026-06-02 MOTION PROPOSED S7M-00242: Bankie John McGinn Goes to the World Cup with the Sc [no meaning line -- not placed] | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2026-01-30 MOTION PROPOSED S6M-20633: Munro Bagger Raises Funds for St Margaret of Scotlan [no meaning line -- not placed] | 2025-12-09 VOTE ABSTAIN: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [absence/abstention -- not placed] | 2025-10-30 VOTE NO: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [no meaning line -- not placed] | 2025-10-06 MOTION PROPOSED S6M-19232: Clydebank Woman Raises Further Funds for St Margaret [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+1: Opposed the Bill from its first vote, before any scrutiny-stage argument was available to justify an aye.] | 2025-04-25 MOTION PROPOSED S6M-17348: St Margaret of Scotland Hospice Celebrates 75 years  [no meaning line -- not placed] | 2025-03-21 MOTION PROPOSED S6M-16904: Clydebank Woman Raises Funds for St Margaret of Scot [no meaning line -- not placed] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed] | 2024-09-24 MOTION PROPOSED S6M-14635: Linnvale Resident Helps Fundrais"
Miles Briggs (Scottish Conservative and Unionist Party) - Edinburgh and Lothians East,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",15,,"CONFLICTING SIGNALS - review all evidence | 2026-07-14 QUESTION S7W-01698: ""To ask the Scottish Government when will it appoint a new National Clinical Lead for Palli"" [activity, not direction] | 2026-06-02 MOTION PROPOSED S7M-00228.5: Investing, Protecting and Renewing Scotland’s NHS [no meaning line -- not placed] | 2026-05-26 QUESTION S7W-00515: ""To ask the Scottish Government when the proposed ""Molly’s Suite"" for paediatric palliative"" [activity, not direction] | 2026-05-26 QUESTION S7W-00514: ""To ask the Scottish Government when NHS pay parity for hospice staff will be fully impleme"" [activity, not direction] | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE ABSTAIN: S6M-21077 (Business Programme) [absence/abstention -- not placed] | 2026-02-25 VOTE NO: S6M-20898 (Business Programme) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [diverged from own party's majority] [no meaning line -- not placed] | 2025-10-30 VOTE YES: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [no meaning line -- not placed] | 2025-10-07 MOTION PROPOSED S6M-19274: Hospice Care Week 2025 [no meaning line -- not placed] | 2025-09-25 MOTION PROPOSED S6M-19088: Warren Berwick, Self Management Champion at the Self [no meaning line -- not placed] | 2025-05-13 VOTE YES: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [-1: Supported the general principles at Stage 1. Weaker than the Stage 3 vote by convention: "
Fulton MacGregor (Scottish National Party) - Coatbridge and Chryston,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",12,,"2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [no meaning line -- not placed] | 2025-10-30 VOTE ABSTAIN: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [absence/abstention -- not placed] | 2025-05-29 MOTION PROPOSED S6M-17749: Congratulating Coatbridge Schoolgirl Grace McLuckie  [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+1: Opposed the Bill from its first vote, before any scrutiny-stage argument was available to justify an aye.] | 2025-04-23 MOTION PROPOSED S6M-17303: The Passing of Dr Sarah Nelson OBE [no meaning line -- not placed] | 2025-03-20 MOTION PROPOSED S6M-16903: Congratulating the Coatbridge Garage, TDC Autos, on  [no meaning line -- not placed] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed] | 2024-05-23 MOTION PROPOSED S6M-13369: Recognising May Tumilty's Volunteering Efforts with  [no meaning line -- not placed] | 2024-04-30 MOTION PROPOSED S6M-13056: Gartsherrie Bowling Club Raises Over £3,000 for St A [no meaning line -- not placed]"
Neil Bibby (Scottish Labour) - West Scotland,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",11,,"2026-07-20 MOTION PROPOSED S7M-00688: Ralston Bowling Club Raises £8,777 for ACCORD Hospic [no meaning line -- not placed] | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE NO: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-15 MOTION PROPOSED S6M-20187: Recognising the Work of the Renfrewshire Bereavement [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [diverged from own party's majority] [no meaning line -- not placed] | 2025-11-07 MOTION PROPOSED S6M-19617: Pro-Life Fitness Centre Raises £250,000 for Charity [no meaning line -- not placed] | 2025-10-30 VOTE NO: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+1: Opposed the Bill from its first vote, before any scrutiny-stage argument was available to justify an aye.] | 2024-11-20 VOTE NO: S6M-15529 (Impact of National Insurance Increase on Public ) [diverged from own party's majority] [no meaning line -- not placed] | 2024-09-26 MOTION PROPOSED S6M-14686: Congratulating St Mirren Legend, Tony Fitzpatrick, o [no meaning line -- not placed]"
Paul Sweeney (Scottish Labour) - Glasgow,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",11,,"CONFLICTING SIGNALS - review all evidence | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [diverged from own party's majority] [no meaning line -- not placed] | 2025-10-30 VOTE YES: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [no meaning line -- not placed] | 2025-08-27 MOTION PROPOSED S6M-18624: Dying in Poverty at the End of Life in Scotland 2025 [no meaning line -- not placed] | 2025-05-13 VOTE YES: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [-1: Supported the general principles at Stage 1. Weaker than the Stage 3 vote by convention: some members vote aye] | 2025-03-05 MOTION PROPOSED S6M-16721: Marie Curie’s Great Daffodil Appeal 2025 [no meaning line -- not placed] | 2024-11-20 VOTE NO: S6M-15529 (Impact of National Insurance Increase on Public ) [diverged from own party's majority] [no meaning line -- not placed] | 2024-11-12 MOTION PROPOSED S6M-15411: Publication of the Marie Curie Report, Dying in Pove [no meaning line -- not placed] | 2024-01-16 MOTION PROPOSED S6M-11892: Marie Curie’s Great Daffodil Appeal 2024 [no meaning line -- not placed]"
Jamie Hepburn (Scottish National Party) - Cumbernauld and Kilsyth,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",10,,CONFLICTING SIGNALS - review all evidence | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [no meaning line -- not placed] | 2025-10-30 VOTE YES: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [no meaning line -- not placed] | 2025-05-13 VOTE YES: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [-1: Supported the general principles at Stage 1. Weaker than the Stage 3 vote by convention: some members vote aye] | 2025-05-06 MOTION PROPOSED S6M-17450: Business Programme [no meaning line -- not placed] | 2025-04-29 MOTION PROPOSED S6M-17377: Business Programme [no meaning line -- not placed] | 2025-02-04 MOTION PROPOSED S6M-16341: Stage 1 Timetable [no meaning line -- not placed] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed]
Stuart McMillan (Scottish National Party) - Inverclyde,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",10,,"2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-16 MOTION PROPOSED S6M-21107: 45 years of Ardgowan Hospice [no meaning line -- not placed] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [no meaning line -- not placed] | 2025-10-30 VOTE YES: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+1: Opposed the Bill from its first vote, before any scrutiny-stage argument was available to justify an aye.] | 2025-03-04 MOTION PROPOSED S6M-16683: Cholangiocarcinoma Awareness Month [no meaning line -- not placed] | 2025-01-08 MOTION PROPOSED S6M-16060: Recognition of Inverclyde Nurses’ Achievement as Que [no meaning line -- not placed] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed]"
Bob Doris (Scottish National Party) - Glasgow Kelvin and Maryhill,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",9,,"2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [no meaning line -- not placed] | 2025-10-30 VOTE ABSTAIN: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [absence/abstention -- not placed] | 2025-10-28 MOTION PROPOSED S6M-19438: Thanks and Farewell to Pauline Ellison, Scottish Par [no meaning line -- not placed] | 2025-06-19 MOTION PROPOSED S6M-18043: The Scottish Ambulance Service and Macmillan Palliat [no meaning line -- not placed] | 2025-05-13 VOTE NO: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+1: Opposed the Bill from its first vote, before any scrutiny-stage argument was available to justify an aye.] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed]"
Collette Stevenson (Scottish National Party) - East Kilbride,x,,,,,,"a vote, 5 months ago","strong (recorded vote, human-confirmed meaning line)",9,,CONFLICTING SIGNALS - review all evidence | 2026-03-17 VOTE NO: S6M-21005 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [+2: Voted to defeat the assisted dying Bill at Stage 3 -- the vote that killed it on 17 March 2026.] | 2026-03-11 VOTE YES: S6M-21077 (Business Programme) [no meaning line -- not placed] | 2026-02-25 VOTE YES: S6M-20898 (Business Programme) [no meaning line -- not placed] | 2025-12-09 VOTE YES: S6M-20037 (Terminally Ill Adults (End of Life) Bill - UK Le) [no meaning line -- not placed] | 2025-10-30 VOTE NOT VOTED: S6M-19456 (Assisted Dying for Terminally Ill Adults (Scotla) [absence/abstention -- not placed] | 2025-05-13 VOTE YES: S6M-17416 (Assisted Dying for Terminally Ill Adults (Scotla) [diverged from own party's majority] [-1: Supported the general principles at Stage 1. Weaker than the Stage 3 vote by convention: some members vote aye] | 2024-11-20 VOTE YES: S6M-15529 (Impact of National Insurance Increase on Public ) [no meaning line -- not placed] | 2024-05-29 MOTION PROPOSED S6M-13427: East Kilbride’s Tipping Family Walked 14 Miles in th [no meaning line -- not placed] | 2024-05-29 MOTION PROPOSED S6M-13426: East Kilbride’s George Maxwell Climbed Mount Kiliman [no meaning line -- not placed]
