Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
John Swinney (Scottish National Party) - Perthshire North,,,x,,,,no confirmed meaning line,n/a (activity only),7,,"2026-06-04 SPOKE: First Minister’s Question Time ""First, let me associate myself with the substance of Mr Greer’s comments on his concern ab"" [activity, not direction] | 2026-03-25 SPOKE: First Minister’s Question Time ""I am happy to give that confirmation and make that commitment to Joe FitzPatrick and to ma"" [activity, not direction] | 2026-03-25 SPOKE: First Minister’s Question Time ""Conversion practices cause lasting harm and have no place in Scotland. The Scottish Nation"" [activity, not direction] | 2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed] | 2025-05-06 SPOKE: Programme for Government ""I happily give that commitment to Emma Roddick. I know that the past few weeks have been p"" [activity, not direction] | 2025-05-06 SPOKE: Programme for Government ""Conversion practices that seek to change or suppress a person’s sexual orientation or gend"" [activity, not direction] | 2024-09-05 SPOKE: First Minister’s Question Time ""Lorna Slater’s question gives me the opportunity to make clear that the Government is prog"" [activity, not direction]"
Maggie Chapman (Scottish Green Party) - North East Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),7,,"2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed] | 2025-05-07 SPOKE: Programme for Government (Building the Best  ""The broken promises on both the proposed misogyny bill and legislation to end conversion p"" [activity, not direction] | 2024-12-17 SPOKE: Same-sex Marriage ""The right to non-discrimination, the right to be listened to, the right to education, and "" [activity, not direction] | 2024-09-05 SPOKE: Programme for Government 2024-25 (Eradicatin ""I therefore urge the Government to think again about these short-sighted cuts—about the lo"" [activity, not direction] | 2024-09-05 SPOKE: Programme for Government 2024-25 (Eradicatin ""As Engender rightly points out, women’s poverty and children’s poverty are “inextricably l"" [activity, not direction] | 2024-05-21 MOTION PROPOSED S6M-13307: Ending Conversion Practices [no meaning line -- not placed] | 2024-05-09 SPOKE: Domestic Abuse of LGBTQ+ People ""We can be fair, by properly funding services that address all forms of domestic abuse, inc"" [activity, not direction]"
Lorna Slater (Scottish Green Party) - Edinburgh Central,,,x,,,,no confirmed meaning line,n/a (activity only),6,,"2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed] | 2025-05-07 SPOKE: Programme for Government (Building the Best  ""I am particularly disappointed that the car kilometre reduction target has been scrapped. "" [activity, not direction] | 2025-05-06 MOTION PROPOSED S6M-17437.3: Programme for Government: Building the Best Future f [no meaning line -- not placed] | 2024-09-05 SPOKE: First Minister’s Question Time ""During our time in government, the Scottish Greens scrapped peak rail fares and introduced"" [activity, not direction] | 2024-09-04 SPOKE: Programme for Government ""The Scottish Greens can only support a change to climate targets if it is accompanied by a"" [activity, not direction] | 2024-05-07 SPOKE: First Minister ""I am proud of what the Scottish Greens achieved during our time in Government, lifting 100"" [activity, not direction]"
Emma Roddick (Scottish National Party) - Inverness and Nairn,,,x,,,,no confirmed meaning line,n/a (activity only),4,,"2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed] | 2025-05-06 SPOKE: Programme for Government ""The past few weeks have been extremely challenging for the LGBTQ+ community, and the tally"" [activity, not direction] | 2025-05-06 SPOKE: Programme for Government ""Fifteen years of Tory Government, initiated by the Lib Dems, have wrecked our economy, inc"" [activity, not direction] | 2024-12-17 SPOKE: Same-sex Marriage ""However, that does not mean that we should not try to take any small steps that are possib"" [activity, not direction]"
Mark Ruskell (Scottish Green Party) - Mid Scotland and Fife,,,x,,,,no confirmed meaning line,n/a (activity only),4,,"2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed] | 2025-03-13 SPOKE: Portfolio Question Time ""To ask the Scottish Government whether it can provide an update on the work to end convers"" [activity, not direction] | 2025-03-13 SPOKE: Portfolio Question Time ""I appreciate the sentiment of that response from the cabinet secretary, but the LGBTQ+ com"" [activity, not direction] | 2025-03-13 SPOKE: Portfolio Question Time ""Apologies, Deputy Presiding Officer. That was a previous edit. To ask the Scottish Governm"" [activity, not direction]"
Shirley-Anne Somerville (Scottish National Party) - Dunfermline,,,x,,,,no confirmed meaning line,n/a (activity only),4,,"2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed] | 2025-03-13 SPOKE: Portfolio Question Time ""I thank Mark Ruskell for lodging his question, because it gives me an opportunity to once "" [activity, not direction] | 2025-03-13 SPOKE: Portfolio Question Time ""Conversion practices that seek to change or suppress a person’s sexual orientation or gend"" [activity, not direction] | 2024-09-04 SPOKE: Programme for Government ""I hope that I am able to reassure Patrick Harvie that the Scottish Government continues to"" [activity, not direction]"
Jackie Dunbar (Scottish National Party) - Aberdeen Donside,,,x,,,,no confirmed meaning line,n/a (activity only),2,,2026-06-18 MOTION PROPOSED S7M-00412: SAMH Launches The Nook in Aberdeen [no meaning line -- not placed] | 2025-05-07 VOTE NO: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [no meaning line -- not placed]
Patrick Harvie (Scottish Green Party) - Glasgow,,,x,,,,no confirmed meaning line,n/a (activity only),2,,"2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed] | 2024-09-04 SPOKE: Programme for Government ""It now appears that there are threats to water down rent controls. I am quite sure that th"" [activity, not direction]"
Ross Greer (Scottish Green Party) - West Scotland,,,x,,,,no confirmed meaning line,n/a (activity only),2,,"2026-06-04 SPOKE: First Minister’s Question Time ""This week marks the start of pride month. Pride is not just a celebration of our LGBTQ com"" [activity, not direction] | 2025-05-07 VOTE YES: S6M-17437.3 (Programme for Government: Building the Best Futu) [no meaning line -- not placed]"
Alex Cole-Hamilton (Scottish Liberal Democrats) - Edinburgh North Western,,,x,,,,no confirmed meaning line,n/a (activity only),1,,2025-05-07 VOTE NOT VOTED: S6M-17437.3 (Programme for Government: Building the Best Futu) [diverged from own party's majority] [absence/abstention -- not placed]
