Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",25,,"2024-09-03 SPOKE: Gender Identity Healthcare for Young People ""I thank the minister for advance sight of her statement. Tone and language are important w"" [activity, not direction] | 2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 SPOKE: Business Motion ""On 8 May this year, the Scottish Conservatives held a debate on gender identity services f"" [activity, not direction] | 2024-06-18 SPOKE: Business Motion ""However, it is imperative for the Scottish Government to share with members what correspon"" [activity, not direction] | 2024-06-18 MOTION PROPOSED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""It should be approached with caution and care, and it should be given holistically, viewin"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-03 MOTION PROPOSED S6M-13090: Implementing the Cass Review in Scotland [no me"
Carol Mochan (Scottish Labour) - South Scotland,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",19,,"2024-10-29 SPOKE: Health, Social Care and Sport Committee -- G ""Good morning, and thank you for coming to give evidence to the committee. Dr Cass appeared"" [activity, not direction] | 2024-10-29 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People (Independent Review)"" [activity, not direction] | 2024-09-17 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People (Independent Review)"" [activity, not direction] | 2024-09-17 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People (Independent Review)"" [activity, not direction] | 2024-09-17 SPOKE: Health, Social Care and Sport Committee -- G ""A quick question comes to mind. Will NHS Scotland be taking part in the review of adult ge"" [activity, not direction] | 2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Fortunately, Dr Cass has provided some clarity for us, and we need to heed that clarity. I"" [activity, not direction] | 2024-05-07 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People"" [activity, not direction] | 2024-05-07 SPOKE: Health"
Paul Sweeney (Scottish Labour) - Glasgow,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",14,,"2025-11-12 MOTION CO-SIGNED S6M-19675: Unacceptable Waiting Times for Accessing Gender Iden [no meaning line -- not placed] | 2024-10-29 SPOKE: Health, Social Care and Sport Committee -- G ""I thank the panel for their comments so far. Some groups such as the Good Law Project have"" [activity, not direction] | 2024-10-29 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People (Independent Review)"" [activity, not direction] | 2024-10-29 SPOKE: Health, Social Care and Sport Committee -- G ""Gender Identity Services for Children and Young People (Independent Review)"" [activity, not direction] | 2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-07 SPOKE: Health, Social Care and Sport Committee -- G ""Thank you, Dr Cass, for your cont"
Jackie Baillie (Scottish Labour) - Dumbarton,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",13,,"2024-09-03 SPOKE: Gender Identity Healthcare for Young People ""I thank the minister for early sight of her statement and thank the chief medical officer "" [activity, not direction] | 2024-06-18 VOTE NOT VOTED: S6M-13692.1 (Revision to Business Programme) [absence/abstention -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE ABSTAIN: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-07 MOTION PROPOSED S6M-13090.2: Implementing the Cass Review in Scotland [no meaning line -- not placed] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 SPOKE: Business Motions ""Oh. I am sorry—I did not see the minister. I correct what I said. I am delighted to see th"" [activity, not direction] | 2024-04-17 SPOKE: Business Motio"
"Rachael Hamilton (Scottish Conservative and Unionist Party) - Ettrick, Roxburgh and Berwickshire",,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",12,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-04-23 SPOKE: Gender-identity Healthcare for Young People ""On a point of order, Presiding Officer. In relation to the Scottish Government’s dither an"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 SPOKE: Business Motions ""During the passage of the Gender Recognition "
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",8,,"2024-09-03 SPOKE: Gender Identity Healthcare for Young People ""Following on from the questions that have been asked by Tess White, Fergus Ewing, Rachael "" [activity, not direction] | 2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-25 SPOKE: Portfolio Question Time ""To ask the Scottish Government what plans it has to update its guidance to schools regardi"" [activity, not direction] | 2024-04-25 SPOKE: Portfolio Question Time ""I express my respect for the journalistic integrity of Marion Scott, of the Sunday Post, a"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",7,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-05-08 SPOKE: Gender Identity Services for Children and Yo ""Gender Identity Services for Children and Young People (Cass Review)"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab]"
Alexander Burnett (Scottish Conservative and Unionist Party) - Aberdeenshire West,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",6,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 MOTION CO-SIGNED S6M-12867.1: Business Programme [no meaning line -- not placed]"
Liam Kerr (Scottish Conservative and Unionist Party) - North East Scotland,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",6,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 MOTION CO-SIGNED S6M-12867.1: Business Programme [no meaning line -- not placed]"
Russell Findlay (Scottish Conservative and Unionist Party) - West Scotland,,x,,,,,"a vote, 2 years ago","strong (recorded vote, human-confirmed meaning line)",6,,"2024-06-18 VOTE YES: S6M-13692.1 (Revision to Business Programme) [+1: Demanded a ministerial statement on applying the Cass Review's recommendations to Scotland -- the second refus] | 2024-06-18 MOTION CO-SIGNED S6M-13692.1: Revision to Business Programme [no meaning line -- not placed] | 2024-05-08 VOTE YES: S6M-13090 (Implementing the Cass Review in Scotland) [+1: Endorsed the Cass Review as a valid scientific document whose recommendations Scotland must examine -- the who] | 2024-05-08 VOTE NO: S6M-13090.4 (Implementing the Cass Review in Scotland) [diverged from own party's majority] [+1: Voted to keep the demand that the Scottish Government implement the Cass Review's recommendations, against the] | 2024-04-17 VOTE YES: S6M-12867.1 (Business Programme) [+1: Demanded the Scottish Government come to the chamber and respond to the Cass Review -- a cross-party accountab] | 2024-04-17 MOTION CO-SIGNED S6M-12867.1: Business Programme [no meaning line -- not placed]"
