Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",16,,"2026-06-23 QUESTION S7W-01269: ""To ask the Scottish Government whether it will bring forward legislation or guidance to ad"" [activity, not direction] | 2026-06-23 QUESTION S7W-01268: ""To ask the Scottish Government what progress has been made with the three workstreams of i"" [activity, not direction] | 2026-06-09 QUESTION S7W-00889: ""To ask the Scottish Government, further to the answer to question S6W-44296 by Jenny Gilru"" [activity, not direction] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-02-17 SPOKE: Children (Withdrawal from Religious Educatio ""The conscience clause in section 9 of the Education (Scotland) Act 1980 recognised that se"" [activity, not direction] | 2026-02-17 SPOKE: Children (Withdrawal from Religious Educatio ""Schools need flexibility; they do not need another layer of bureaucratic reporting embedde"" [activity, not direction] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE NO: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Voted to deny the Bill its financial resolution -- the procedural route to killing it, chosen only by its most] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980 (Transparency in Tack"
Miles Briggs (Scottish Conservative and Unionist Party) - Edinburgh and Lothians East,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",15,,"2026-03-04 MOTION CO-SIGNED S6M-20992: Recognising Scottish Apprenticeship Week from 2 to 6 [no meaning line -- not placed] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-02-17 SPOKE: Children (Withdrawal from Religious Educatio ""The fact that the bill has reached stage 3 in such a position is regrettable.As For Women "" [activity, not direction] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE NO: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Voted to deny the Bill its financial resolution -- the procedural route to killing it, chosen only by its most] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NOT VOTED: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-11-25 VOTE NO: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Opposed the Bill's general principles at Stage 1 -- before amendment, on the "
Monica Lennon (Scottish Labour) - Central Scotland,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",15,,"2026-03-04 MOTION CO-SIGNED S6M-20992: Recognising Scottish Apprenticeship Week from 2 to 6 [no meaning line -- not placed] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE NOT VOTED: S6M-20611.1 (Business Programme) [absence/abstention -- not placed] | 2025-12-18 SPOKE: First Minister’s Question Time ""We still do not know when the Scottish National Party will deliver the additional 3,500 te"" [activity, not direction] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE YES: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE ABSTAIN: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-25 VOTE ABSTAIN: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-11 MOTION CO-SIGNED S6M-19665: Congratulating Evie, Poppy and Violet on Being Inclu [no meaning line -- not placed] | 2025-06-26 VOTE YES: S6M-18081 (Children’s Wellbeing "
Paul Sweeney (Scottish Labour) - Glasgow,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",14,,"2026-03-04 MOTION CO-SIGNED S6M-20992: Recognising Scottish Apprenticeship Week from 2 to 6 [no meaning line -- not placed] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE NOT VOTED: S6M-20611.1 (Business Programme) [absence/abstention -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE YES: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE ABSTAIN: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-25 VOTE ABSTAIN: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-11 MOTION CO-SIGNED S6M-19665: Congratulating Evie, Poppy and Violet on Being Inclu [no meaning line -- not placed] | 2025-06-26 VOTE YES: S6M-18081 (Children’s Wellbeing and Schools Bill - UK Legis) [diverged from own party's majority] [no meaning line -- not placed] | 2025-06-16 MOTION CO-SIGNED S6M-17985: 25th Anniversary of the Repeal "
Russell Findlay (Scottish Conservative and Unionist Party) - West Scotland,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",14,,"2026-03-11 QUESTION S6W-44296: ""To ask the Scottish Government whether it will provide details of any work it has undertak"" [activity, not direction] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-16 SPOKE: Motion of No Confidence ""Today, my party brings forward a motion of no confidence in the justice secretary. I will "" [activity, not direction] | 2025-12-11 VOTE NOT VOTED: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-12-11 MOTION PROPOSED S6M-20135: Motion of No Confidence [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-12-02 MOTION PROPOSED S6M-19980.1: Transparency in Tackling Group-based Child Sexual Ex [no meaning line -- not placed] | 2025-11-25 VOTE NO: S6M-19866 (Children (Withdrawal from "
Liam Kerr (Scottish Conservative and Unionist Party) - North East Scotland,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",13,,"2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2026-01-19 QUESTION S6T-02850: ""To ask the Scottish Government what its response is to reports that grooming gangs are tar"" [activity, not direction] | 2026-01-15 QUESTION S6W-43147: ""To ask the Scottish Government what specific changes to national Child Sexual Abuse and Ex"" [activity, not direction] | 2026-01-15 QUESTION S6W-43146: ""To ask the Scottish Government what its position is on the finding of the Child Sexual Abu"" [activity, not direction] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE NO: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Voted to deny the Bill its financial resolution -- the procedural route to killing it, chosen only by its most] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-11-25 VOTE NO: S6M-19866 (Children (Withdrawal from Religio"
Alexander Burnett (Scottish Conservative and Unionist Party) - Aberdeenshire West,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",12,,"2026-03-04 MOTION CO-SIGNED S6M-20992: Recognising Scottish Apprenticeship Week from 2 to 6 [no meaning line -- not placed] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE NOT VOTED: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE NOT VOTED: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [absence/abstention -- not placed] | 2025-11-25 VOTE NO: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Opposed the Bill's general principles at Stage 1 -- before amendment, on the principle itself.] | 2025-06-26 VOTE ABSTAIN: S6M-18081 (Children’s Wellbeing and Schools Bill - UK Legis) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-04-17 MOTION CO-SIGNED S6M-12892: Royal Society of Edinburgh Recognises Dundee Scienti [no meaning line -- not placed]"
Claire Baker (Scottish Labour) - Mid Scotland and Fife,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",11,,2026-03-04 MOTION PROPOSED S6M-20992: Recognising Scottish Apprenticeship Week from 2 to 6 [no meaning line -- not placed] | 2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE NO: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE YES: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE ABSTAIN: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-25 VOTE ABSTAIN: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-06-26 VOTE YES: S6M-18081 (Children’s Wellbeing and Schools Bill - UK Legis) [diverged from own party's majority] [no meaning line -- not placed]
Mark Griffin (Scottish Labour) - Central Scot and Lothians West,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",11,,2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE NO: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE YES: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE YES: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE ABSTAIN: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-11-25 VOTE ABSTAIN: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-06-26 VOTE YES: S6M-18081 (Children’s Wellbeing and Schools Bill - UK Legis) [diverged from own party's majority] [no meaning line -- not placed] | 2025-06-16 MOTION CO-SIGNED S6M-17985: 25th Anniversary of the Repeal of Section 28 [no meaning line -- not placed]
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,x,,,,,,"a vote, 6 months ago","strong (recorded vote, human-confirmed meaning line)",11,,"2026-02-17 VOTE NO: S6M-20813 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+2: Voted against passing the Bill that narrowed parents' right of withdrawal from religious education and observa] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 VOTE YES: S6M-20135 (Motion of No Confidence) [no meaning line -- not placed] | 2025-12-11 VOTE NO: S6M-20099 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Voted to deny the Bill its financial resolution -- the procedural route to killing it, chosen only by its most] | 2025-12-03 VOTE YES: S6M-19980.1 (Transparency in Tackling Group-based Child Sexua) [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980.2 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-03 VOTE NO: S6M-19980 (Transparency in Tackling Group-based Child Sexua) [diverged from own party's majority] [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-11-25 VOTE NO: S6M-19866 (Children (Withdrawal from Religious Education an) [diverged from own party's majority] [+1: Opposed the Bill's general principles at Stage 1 -- before amendment, on the principle itself.] | 2025-06-26 VOTE ABSTAIN: S6M-18081 (Children’s Wellbeing and Schools Bill - UK Legis) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-02-05 SPOKE: Urgent Question ""—in putting out the school sex survey to local government without parental consent and wit"" [activity, n"
