Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
"Rachael Hamilton (Scottish Conservative and Unionist Party) - Ettrick, Roxburgh and Berwickshire",,x,,,,,"a vote, 14 months ago","strong (recorded vote, human-confirmed meaning line)",39,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-05-20 QUESTION S7W-00195: ""To ask the Scottish Government what steps it is taking to ensure that female witnesses inv"" [activity, not direction] | 2026-03-11 QUESTION S6W-44244: ""To ask the Scottish Government what the total cost to date is of the working group it esta"" [activity, not direction] | 2026-03-11 QUESTION S6W-44243: ""To ask the Scottish Government whether it will provide information on any further action t"" [activity, not direction] | 2026-03-11 QUESTION S6W-44242: ""To ask the Scottish Government whether it will provide an update on the actions taken by t"" [activity, not direction] | 2026-02-11 SPOKE: Business Motion ""We have already seen enormous legal bills accumulate: £363,000 spent on defending the botc"" [activity, not direction] | 2026-02-03 SPOKE: Prostitution (Offences and Support) (Scotlan ""Thank you, Presiding Officer, for the opportunity to speak. I also express my gratitude to"" [activity, not direction] | 2026-01-28 SPOKE: Portfolio Question Time ""The public deserve answers, not the Scottish National Party’s defensive drivel yet again. "" [activity, not direction] | 2026-01-21 QUESTION S6O-05423: ""To ask the Scottish Government whether it will propose the scheduling of time for a minist"" [activity, not direction] | 2025-12-09 SPOKE: Urgent Question ""It is clear that the SNP’s gender self-identification policy still prevails in spite of th"" [activity, not direction] | 2025-10-30 SPOKE: Point of Order ""On a point of order, Presiding Officer. In the past 12 hours, Police Scotland has been rev"" [activity, not direction] | 2025-09-17 SPOKE: Supreme Court Judgment (Definition of “Woman ""I am slightly confus"
Russell Findlay (Scottish Conservative and Unionist Party) - West Scotland,,x,,,,,"a vote, 17 months ago","strong (recorded vote, human-confirmed meaning line)",26,,"2026-06-24 VOTE NOT VOTED: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-03-25 SPOKE: Motion of Thanks ""I regret that that is with a small C, not a capital C—at least, for now.Then there is Audr"" [activity, not direction] | 2025-12-16 SPOKE: Motion of No Confidence ""Today, my party brings forward a motion of no confidence in the justice secretary. I will "" [activity, not direction] | 2025-10-09 SPOKE: First Minister’s Question Time ""The fact that he says that he is deadly serious is actually even more worrying than if he "" [activity, not direction] | 2025-06-19 VOTE NOT VOTED: S6M-18016.1 (Progressing National Advisory Council on Women a) [absence/abstention -- not placed] | 2025-04-24 SPOKE: First Minister’s Question Time ""We spent years telling the SNP to drop this nonsense and get back to the day job. It refus"" [activity, not direction] | 2025-04-24 SPOKE: First Minister’s Question Time ""The Scottish National Party’s policy of gender self-ID has now been ruled to be unlawful b"" [activity, not direction] | 2025-04-24 SPOKE: First Minister’s Question Time ""For John Swinney, it seems that sorry really is the hardest word to say. We know why: it i"" [activity, not direction] | 2025-04-22 SPOKE: Supreme Court Judgment ""From the very beginning, my party has been the sole voice of reason in this Parliament in "" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE NO: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [+1: Refused to ratify the motion once its single-sex prote"
Jackie Baillie (Scottish Labour) - Dumbarton,,x,,,,,"a vote, 17 months ago","strong (recorded vote, human-confirmed meaning line)",21,,"2026-06-24 VOTE NOT VOTED: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-06-22 QUESTION S7W-01196: ""To ask the Scottish Government what (a) arrangements are being made and (b) timetable is i"" [activity, not direction] | 2026-06-22 QUESTION S7W-01195: ""To ask the Scottish Government how many transgender prisoners are currently in the women’s"" [activity, not direction] | 2026-06-22 QUESTION S7W-01194: ""To ask the Scottish Government, in light of the conclusion of the case, For Women Scotland"" [activity, not direction] | 2025-09-17 SPOKE: Supreme Court Judgment (Definition of “Woman ""I thank Pam Gosal for bringing the debate to the Parliament and echo her comments about Fo"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""The actions of one individual were designed to provoke and disrupt. He was literally tryin"" [activity, not direction] | 2025-06-19 VOTE NOT VOTED: S6M-18016.1 (Progressing National Advisory Council on Women a) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-04-22 SPOKE: Supreme Court Judgment ""The judgment from the Supreme Court in the case of For Women Scotland v Scottish Ministers"" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE ABSTAIN: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Sp"
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,,x,,,,,"a vote, 14 months ago","strong (recorded vote, human-confirmed meaning line)",17,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-10 QUESTION S7W-00922: ""To ask the Scottish Government whether it will provide an update on progress made to ensur"" [activity, not direction] | 2026-02-26 SPOKE: Childcare Support for Parents ""I remember that, during the gender recognition reform debate, I broke my maternity leave b"" [activity, not direction] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-06-19 SPOKE: National Advisory Council on Women and Girls ""Justice issues have been raised throughout the debate, but I will not have time to go thro"" [activity, not direction] | 2025-06-17 SPOKE: Topical Question Time ""To ask the Scottish Government how many transgender prisoners have had their criminal reco"" [activity, not direction] | 2025-06-17 SPOKE: Topical Question Time ""This should not have happened in the first place. We are talking about convicted criminals"" [activity, not direction] | 2025-04-22 SPOKE: Supreme Court Judgment ""There is not a single mention in the cabinet secretary’s statement of the huge amount of t"" [activity, not direction] | 2025-04-02 SPOKE: Portfolio Question Time ""To ask the Scottish Government how many NHS boards have designated single-sex spaces for w"" [activity, not direction] | 2025-04-02 SPOKE: Portfolio Question Time ""I asked a basic question, and I find it difficult to believe that the cabinet secretary ca"" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to kee"
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 14 months ago","strong (recorded vote, human-confirmed meaning line)",17,,"2026-07-23 QUESTION S7W-01960: ""To ask the Scottish Government what guidance it provides to local authorities and the Gene"" [activity, not direction] | 2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-23 SPOKE: First Minister’s Question Time ""There has been a very welcome and sudden U-turn from the Scottish Government in response t"" [activity, not direction] | 2025-12-08 MOTION PROPOSED S6M-20062: Sandie Peggie and NHS Fife [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE NO: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [+1: Refused to ratify the motion once its single-sex protections had been stripped -- including five SNP rebels.] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces "
Claire Baker (Scottish Labour) - Mid Scotland and Fife,,x,,,,,"a vote, 17 months ago","strong (recorded vote, human-confirmed meaning line)",13,,"2026-06-24 VOTE YES: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2025-09-09 SPOKE: Urgent Question ""There was an immediate debrief from the Parliament’s police unit after the For Women Scotl"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""I understand the strong feelings around the issue. The member has outlined his understandi"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""As I said, our protest policy is in place to ensure that everyone can take part in protest"" [activity, not direction] | 2025-06-19 VOTE ABSTAIN: S6M-18016.1 (Progressing National Advisory Council on Women a) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-19 SPOKE: Sexual Violence (Hospitals) ""The recommendations include steps to minimise the risk of sexual assault, to maintain accu"" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE ABSTAIN: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""There is a clear responsibility to record all instances and for reports to be made to the "" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""As I have done in previous debates on such topics, I will focus on what we know to be the "" [activity, not direction] | 2024-06-11 MOTION PRO"
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 14 months ago","strong (recorded vote, human-confirmed meaning line)",12,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-02-12 QUESTION S6W-43685: ""To ask the Scottish Government how many incidents, complaints or safeguarding referrals in"" [activity, not direction] | 2025-11-27 SPOKE: Non-Domestic Rates (Liability for Unoccupied ""If the law is unclear, the Parliament has failed in its most basic constitutional function"" [activity, not direction] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE NO: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [+1: Refused to ratify the motion once its single-sex protections had been stripped -- including five SNP rebels.] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""Single-sex Spaces (Public Sector)"" [activity, not direction] | 2024-04-17 VOTE NO: S6M-12855.4 (Repealing the Hate Crime Act) [diverged from own party's majority] [no meaning line -- n"
Pauline McNeill (Scottish Labour) - Glasgow,,x,,,,,"a vote, 17 months ago","strong (recorded vote, human-confirmed meaning line)",10,,"2026-06-24 VOTE YES: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2025-11-11 SPOKE: Topical Question Time ""What safeguarding concerns do Scottish ministers have for transgender prisoners that would"" [activity, not direction] | 2025-06-25 SPOKE: Portfolio Question Time ""For stabbing a man, Alexandria Stewart, formerly known as Alan Baker, is serving a life se"" [activity, not direction] | 2025-06-19 VOTE ABSTAIN: S6M-18016.1 (Progressing National Advisory Council on Women a) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-06-10 SPOKE: Topical Question Time ""I hope that the cabinet secretary agrees that, in relation to sexual offences, it is criti"" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE ABSTAIN: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-12 SPOKE: Single-sex Spaces (Public Sector) ""I am delighted to follow Audrey Nicoll, who has done a fantastic job as convener of the Cr"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12855.4 (Repealing the Hate Crime Act) [no meaning line -- not placed] | 2024-04-16 MOTION PROPOSED S6M-12855.4: Repealing the Hate Crime Act [no meaning line -- not placed]"
Carol Mochan (Scottish Labour) - South Scotland,,x,,,,,"a vote, 17 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-06-24 VOTE YES: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2025-06-19 VOTE ABSTAIN: S6M-18016.1 (Progressing National Advisory Council on Women a) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-19 SPOKE: Sexual Violence (Hospitals) ""I thank Tess White for bringing the debate to the chamber. I welcome the speeches by membe"" [activity, not direction] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against the wrecking amendment.] | 2025-03-12 VOTE ABSTAIN: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [absence/abstention -- not placed] | 2024-10-01 SPOKE: Safe and Fair Sport for Women and Girls ""The performance director of British Cycling has said that this could be “the single bigges"" [activity, not direction] | 2024-04-17 VOTE YES: S6M-12855.4 (Repealing the Hate Crime Act) [no meaning line -- not placed]"
Craig Hoy (Scottish Conservative and Unionist Party) - Dumfriesshire,,x,,,,,"a vote, 14 months ago","strong (recorded vote, human-confirmed meaning line)",7,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2025-11-27 SPOKE: Non-Domestic Rates (Liability for Unoccupied ""We have to reflect on the Government’s track record of defending its legislation in court,"" [activity, not direction] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-03-12 VOTE NOT VOTED: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-12 VOTE NOT VOTED: S6M-16755 (Protecting Single-sex Spaces in the Public Secto) [absence/abstention -- not placed] | 2024-10-22 MOTION PROPOSED S6M-14995: Commending Sportscotland [no meaning line -- not placed] | 2024-04-17 VOTE NO: S6M-12855.4 (Repealing the Hate Crime Act) [diverged from own party's majority] [no meaning line -- not placed]"
