Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments
"Rachael Hamilton (Scottish Conservative and Unionist Party) - Ettrick, Roxburgh and Berwickshire",,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",48,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE NOT VOTED: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-05-20 QUESTION S7W-00195: ""To ask the Scottish Government what steps it is taking to ensure that female witnesses inv"" [activity, not direction] | 2026-03-11 QUESTION S6W-44244: ""To ask the Scottish Government what the total cost to date is of the working group it esta"" [activity, not direction] | 2026-03-11 QUESTION S6W-44243: ""To ask the Scottish Government whether it will provide information on any further action t"" [activity, not direction] | 2026-03-11 QUESTION S6W-44242: ""To ask the Scottish Government whether it will provide an update on the actions taken by t"" [activity, not direction] | 2026-02-11 SPOKE: Business Motion ""We have already seen enormous legal bills accumulate: £363,000 spent on defending the botc"" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-02-03 SPOKE: Prostitution (Offences and Support) (Scotlan ""Thank you, Presiding Officer, for the opportunity to speak. I also express my gratitude to"" [activity, not direction] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2026-01-28 SPOKE: Portfolio Question Time ""The public deserve answers, not the Scottish National Party’s defensive drivel yet again. "" [activity, not direction] | 2026-01-21 QUESTION S6O-05423: ""To ask the Scottish Government whether it will propose the scheduling of time for a minist"" [activity, not d"
Russell Findlay (Scottish Conservative and Unionist Party) - West Scotland,,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",38,,"2026-06-24 VOTE NOT VOTED: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-06-16 VOTE NO: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [no meaning line -- not placed] | 2026-03-25 SPOKE: Motion of Thanks ""I regret that that is with a small C, not a capital C—at least, for now.Then there is Audr"" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-16 SPOKE: Motion of No Confidence ""Today, my party brings forward a motion of no confidence in the justice secretary. I will "" [activity, not direction] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-10-09 SPOKE: First Minister’s Question Time ""The fact that he says that he is deadly serious is actually even more worrying than if he "" [activity, not direction] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE NOT VOTED: S6M-18016.1 (Progressing National Advisory Council on Women a) [absence/abstention -- not placed] | 2025-04-24 SPOKE: First Minister’s Question Time ""We spent years telling the SNP to drop this nonsense and get back to the day job. It refus"" [activity, not direction] | 2025-04-24 SPOKE: First Minister’s Question Time ""The Scottish National Party’s policy of gender self-ID has now been ruled to be unlawful b"" [activity, not d"
Meghan Gallacher (Scottish Conservative and Unionist Party) - Central Scot and Lothians West,,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",32,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE NO: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-10 QUESTION S7W-00929: ""To ask the Scottish Government what plans it has to enact legislation designed to address "" [activity, not direction] | 2026-06-10 QUESTION S7W-00928: ""To ask the Scottish Government what renewed action it will take to address violence agains"" [activity, not direction] | 2026-06-10 QUESTION S7W-00922: ""To ask the Scottish Government whether it will provide an update on progress made to ensur"" [activity, not direction] | 2026-02-26 SPOKE: Childcare Support for Parents ""I remember that, during the gender recognition reform debate, I broke my maternity leave b"" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-06-19 SPOKE: National Advisory Council on Women and Girls ""Justice issues have been raised throughout the debate, but I w"
Murdo Fraser (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",32,,"2026-07-23 QUESTION S7W-01960: ""To ask the Scottish Government what guidance it provides to local authorities and the Gene"" [activity, not direction] | 2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-23 SPOKE: First Minister’s Question Time ""There has been a very welcome and sudden U-turn from the Scottish Government in response t"" [activity, not direction] | 2026-06-16 VOTE NO: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [no meaning line -- not placed] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-09 MOTION CO-SIGNED S6M-20074: Support for Girlguiding Policy that Excludes Biologi [no meaning line -- not placed] | 2025-12-08 MOTION PROPOSED S6M-20062: Sandie Peggie and NHS Fife [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-04-30 MOTION CO-SIGNED S6M-17413: Public Trust and Confidence in the Equalities, Human [no meaning line -- not placed] | 2025-04-17 MOTION CO-SIGNED S6M-17241: Supreme Court Judgment on the Definitio"
Jackie Baillie (Scottish Labour) - Dumbarton,,x,,,,,"a vote, 18 months ago","strong (recorded vote, human-confirmed meaning line)",29,,"2026-06-24 VOTE NOT VOTED: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-06-22 QUESTION S7W-01196: ""To ask the Scottish Government what (a) arrangements are being made and (b) timetable is i"" [activity, not direction] | 2026-06-22 QUESTION S7W-01195: ""To ask the Scottish Government how many transgender prisoners are currently in the women’s"" [activity, not direction] | 2026-06-22 QUESTION S7W-01194: ""To ask the Scottish Government, in light of the conclusion of the case, For Women Scotland"" [activity, not direction] | 2026-06-16 VOTE ABSTAIN: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-03-12 QUESTION S6W-44373: ""To ask the Scottish Government whether there is a consistent nationwide approach to data c"" [activity, not direction] | 2026-03-12 QUESTION S6W-44363: ""To ask the Scottish Government what safeguarding training is provided by NHS Scotland to d"" [activity, not direction] | 2026-02-03 VOTE NOT VOTED: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-01-29 VOTE NOT VOTED: S6M-20611.1 (Business Programme) [absence/abstention -- not placed] | 2025-12-02 VOTE NOT VOTED: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-09-17 SPOKE: Supreme Court Judgment (Definition of “Woman ""I thank Pam Gosal for bringing the debate to the Parliament and echo her comments about Fo"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""The actions of one individual were designed to provoke and disrupt. He was litera"
Pauline McNeill (Scottish Labour) - Glasgow,,x,,,,,"a vote, 18 months ago","strong (recorded vote, human-confirmed meaning line)",26,,"2026-06-24 VOTE YES: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE ABSTAIN: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""There is a great deal of disappointment and Engender did not spare the Government, to be f"" [activity, not direction] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""That is important, because of the representations that we have had, which Katy Clark refer"" [activity, not direction] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""I am sorry. I am not saying that I understood this. I think that you said to Katy Clark th"" [activity, not direction] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""Good morning. This is quite complex, to be fair. I think that you said to Katy Clark that,"" [activity, not direction] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""Given that you have adopted biological sex for the purposes of that section in the Hate Cr"" [activity, not direction] | 2026-02-25 SPOKE: Criminal Justice Committee -- Subordinate Le ""As I said in my questions, I will support the Government’s SSI because I have always belie"" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE NO: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2026-01-08 SPOKE: Non-fatal Strangulation Laws and Intimate Pa ""If we are to address violence against women and girls in the future, we need to conf"
Alexander Burnett (Scottish Conservative and Unionist Party) - Aberdeenshire West,,x,,,,,"a vote, 15 months ago","strong (recorded vote, human-confirmed meaning line)",25,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE NOT VOTED: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-02-03 VOTE NOT VOTED: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-09 MOTION CO-SIGNED S6M-20074: Support for Girlguiding Policy that Excludes Biologi [no meaning line -- not placed] | 2025-12-02 VOTE NOT VOTED: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [absence/abstention -- not placed] | 2025-10-10 MOTION CO-SIGNED S6M-19317: Celebrating Margaret McAuley Rae During Scottish Wom [no meaning line -- not placed] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-06-19 MOTION CO-SIGNED S6M-18039: Congratulations to Braidhurst High School on Winning [no meaning line -- not placed] | 2025-04-30 MOTION CO-SIGNED S6M-17413: Public Trust and Confidence in the Equalities, Human [no meaning line -- not placed] | 2025-04-17 MOTION CO-SIGNED S6M-17241: Supreme Court Judgment on the Definition of ""Woman"" [+1: Signed the motion crediting For Women Scotland's challenge for the ruling that the Scottish Government's guida] | 2025-04-16 MOTION CO-SIGNED S6M-17234: Welcoming the Supreme Court’s Judgment on the Defini [+"
Miles Briggs (Scottish Conservative and Unionist Party) - Edinburgh and Lothians East,,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",23,,"2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE NO: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [no meaning line -- not placed] | 2026-02-17 SPOKE: Children (Withdrawal from Religious Educatio ""Children (Withdrawal from Religious Education and Amendment of UNCRC Compatibility Duty) ("" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-10-10 MOTION CO-SIGNED S6M-19317: Celebrating Margaret McAuley Rae During Scottish Wom [no meaning line -- not placed] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-06-19 MOTION CO-SIGNED S6M-18039: Congratulations to Braidhurst High School on Winning [no meaning line -- not placed] | 2025-04-30 MOTION CO-SIGNED S6M-17413: Public Trust and Confidence in the Equalities, Human [no meaning line -- not placed] | 2025-03-12 VOTE NO: S6M-16755.3 (Protecting Single-sex Spaces in the Public Secto) [diverged from own party's majority] [+1: Voted to keep the single-sex spaces motion's own wording against"
Stephen Kerr (Scottish Conservative and Unionist Party) - Mid Scotland and Fife,,x,,,,,"a vote, 9 months ago","strong (recorded vote, human-confirmed meaning line)",23,,"2026-08-24 MOTION PROPOSED S7M-00923: Supporting The Sunday Post It’s Time Campaign to End [no meaning line -- not placed] | 2026-06-24 VOTE NO: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE NO: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [no meaning line -- not placed] | 2026-02-12 QUESTION S6W-43685: ""To ask the Scottish Government how many incidents, complaints or safeguarding referrals in"" [activity, not direction] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE YES: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-02 VOTE YES: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [+1: Voted to commit public bodies to the For Women Scotland sex definition and to demand a grooming gangs inquiry ] | 2025-11-27 SPOKE: Non-Domestic Rates (Liability for Unoccupied ""If the law is unclear, the Parliament has failed in its most basic constitutional function"" [activity, not direction] | 2025-08-21 MOTION CO-SIGNED S6M-18590: Congratulating Sharron Davies [no meaning line -- not placed] | 2025-06-19 VOTE YES: S6M-18016.1 (Progressing National Advisory Council on Women a) [+1: Voted to put the For Women Scotland judgment and the Sullivan Review's sex/gender distinction into the Parliam] | 2025-04-30 MOTION CO-SIGNED S6M-17413: Public Trust and Confidence in the Equalities, Human [no meaning line -- not placed] | 2025-04-17 MOTION CO-SIGNED S6M-17241: Supreme Court Judgment on the Definition of ""Woman"" [+1: Signed the motion crediting For Women Scotland's challenge for the r"
Claire Baker (Scottish Labour) - Mid Scotland and Fife,,x,,,,,"a vote, 18 months ago","strong (recorded vote, human-confirmed meaning line)",21,,"2026-06-24 VOTE YES: S7M-00446 (Scotland Needs Reform: Five Years to 2031) [diverged from own party's majority] [no meaning line -- not placed] | 2026-06-16 VOTE ABSTAIN: S7M-00356.5 (Strengthening Scotland’s Partnership with the Th) [diverged from own party's majority] [absence/abstention -- not placed] | 2026-02-03 VOTE YES: S6M-20627 (Prostitution (Offences and Support) (Scotland) B) [diverged from own party's majority] [no meaning line -- not placed] | 2026-01-29 VOTE NO: S6M-20611.1 (Business Programme) [no meaning line -- not placed] | 2025-12-02 VOTE ABSTAIN: S6M-19970.2 (Uniting Local and National Efforts Across Sector) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-12-02 SPOKE: Violence against Women and Girls ""Across schools in Fife, many pupils participate in the mentors in violence prevention prog"" [activity, not direction] | 2025-11-03 MOTION PROPOSED S6M-19504: Non-fatal Strangulation Laws and Intimate Partner Ho [no meaning line -- not placed] | 2025-09-09 SPOKE: Urgent Question ""There was an immediate debrief from the Parliament’s police unit after the For Women Scotl"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""I understand the strong feelings around the issue. The member has outlined his understandi"" [activity, not direction] | 2025-09-09 SPOKE: Urgent Question ""As I said, our protest policy is in place to ensure that everyone can take part in protest"" [activity, not direction] | 2025-06-19 VOTE ABSTAIN: S6M-18016.1 (Progressing National Advisory Council on Women a) [diverged from own party's majority] [absence/abstention -- not placed] | 2025-03-19 SPOKE: Sexual Violence (Hospitals) ""The recommendations include steps to minimise the risk of sexual assault, to maintain accu"" [activity, not direction] |"
