# Looker export: gbq_2_0_reports / aa_downstream_report
# Pulled 2026-08-20 via the Looker MCP. There is no Looker credential in this
# repo, so a scheduled tool CANNOT refresh this -- it is exported by hand, the
# same shape as tools/log_campaign_performance.py parsing Max's Slack replies.
# Refresh procedure and the query filters are in docs/campaign-benchmarks.md.
#
# Filters: program starts EN_GB, series_email_number <= 20,
#          start_date after 2024/01/01, total_signatures >= 100.
#
# THIS IS THE WHOLE POPULATION, not a top-N slice. total_signatures is a
# MEASURE, so it cannot go in filter_expression (Looker 400s: "cannot
# reference aggregate field") -- it filters as a HAVING via the filters map,
# e.g. "9000 to 20036". Pulled in four bands to stay inside the row cap:
#   >= 20037 ....... 60 rows
#   9000-20036 ..... 33
#   3000-8999 ....... 4
#   100-2999 ........ 7
#   total .......... 104
# The bands are contiguous and the population is exhausted; a wider limit
# returns nothing further. The mid-range is genuinely near-empty -- only 4
# EN_GB campaigns since 2024 landed between 3,000 and 9,000 signatures.
#
# The 7 rows under 3,000 are NOT weak campaigns, they are a different
# population: response rates of 0.02%-0.78% against 2.1%-8.4% for every row
# above. They include one explicit "TEST-" program and one list-segment split
# (INB_12th_Meeting-Yahoo, 323 signatures, same petition id 14242 as its
# parent's 22,697). They are KEPT here -- the store is the archive -- and
# excluded at display by MIN_LOOKER_SIGNATURES in tools/make_briefs.py.
#
# Excluded by the >= 100 filter and therefore absent: warm-up and test
# programs under a DIFFERENT naming format (underscore dates, "TEST_WARM_UP",
# "Warmup", "L1"), all of which carry zero signatures.
#
# money is EUR. otd = one-time donations, md = monthly donations.
program	bound	looker_topic	start_date	signatures	new_members	otd_eur	md_eur	sent_emails
EN_GB-2025-11-20-Local-NA-ZRE-17165-NI_Protect_Christian_ethos_in_	Local		2025-12-13	100521	23127	4823.70	107.31	1191452
EN_GB-2024-08-13-Local-NA-CJO-13849-	Local		2024-08-29	70630	4836	4575.88	86.16	1176570
EN_GB-2025-10-20-Local-OT-ZRE-16792-Demand_Sadiq_Khans_Resignation	Local	Other	2025-10-21	65143	5511	1301.56	11.55	922763
EN_GB-2025-04-01-Local-NA-CJO-15124-Justice_for_Jennifer	Local		2025-04-01	58490	3939	5384.62	109.48	891874
EN_GB-2025-09-04-Local-NA-ZRE-16387-No_Digital_ID	Local		2025-09-09	53024	4140	2109.49	39.22	766890
EN_GB-2024-06-28-Local-NA-ZRE-13425-Support_NHS_nurses_in_their_fi	Local		2024-06-30	52911	1686	2054.85	17.07	1378754
EN_GB-2024-07-29-Global-OT-CJO-13634-Paris_Olympics-Paris_Olympics	Global	Other	2024-07-29	51379	5134	4985.36	71.67	1084223
EN_GB-2024-04-19-Local-NA-ZRE--Stop_primary_schools_in_Scotla	Local		2024-04-26	50394	3323	3145.12	0	649980
EN_GB-2024-10-04-Local-NA-CJO-14049-No_To_Assisted_Suicide_	Local		2024-10-08	45300	2560	3811.96	17.61	1161004
EN_GB-2024-08-16-Local-NA-CJO-13759-Apologise_to_Bernard	Local		2024-08-19	42887	866	4928.11	64.66	1350754
EN_GB-2024-08-05-Global-FR-CJO-13697-Exit_IHR_Pandemic-Exit_IHR_Pandemic	Global	Freedom	2024-08-26	42613	3668	3153.53	83.65	1153970
EN_GB-2024-09-12-Global-FR-CJO-13953-accelerated_push_pandemic-INB_Meeting_11th	Global	Freedom	2024-09-12	40442	2035	2950.83	15.35	1123281
EN_GB-2024-09-30-Local-NA-CJO-14040-Help_save_Pakistani_Christian_	Local		2024-10-05	40374	2589	3976.85	62.35	832263
EN_GB-2024-03-20-Local-NA-CJO-12756-Extend_the_Puberty_Blocker_Ban	Local		2024-03-22	37022	301	678.65	5.87	1280029
EN_GB-2025-07-03-Global-FR-CJO-15856-IHR_2025-IHR	Global	Freedom	2025-07-09	36712	2676	2233.59	25.39	896390
EN_GB-2025-10-22-Local-NA-CJO-16736-Schools_Bill_Stealth_Digital_ID	Local		2025-10-22	36148	2019	1309.06	54.29	603943
EN_GB-2026-01-05-International-FR-CJO-17281-Stop_Persecution_of_Christians_in_Nigeria	International	Freedom	2026-01-05	35948	2487	6039.62	199.86	914959
EN_GB-2024-07-06-Global-OT-CJO-13474-Protect_Womens_Olympics-Protect_Womens_Olympics	Global	Other	2024-07-19	35864	1891	1996.37	10.57	1071908
EN_GB-2024-08-30-Global-OT-CJO-13859-UN_Opens_Door_to_Pedophilia-_UN_Opens_Door_to_Pedophilia	Global	Other	2024-09-05	35085	1819	1540.93	7.02	1207517
EN_GB-2026-01-07-Global-LF-CJO-17300-UN_Rights_of_the_Child	Global	Life	2026-01-07	33277	696	1316.96	49.69	938523
EN_GB-2025-06-08-Global-OT-CJO-15690-Apple_TV_Eucharistic_desecration	Global	Other	2025-06-08	32477	2353	2660.95	32.62	807190
EN_GB-2025-02-12-Local-NA-CJO-14805-Islamophobia	Local		2025-02-12	32204	1287	2529.74	14.02	684761
EN_GB-2024-05-31-Local-NA-CJO-13247-Reinstate_David_Campanale	Local		2024-06-01	31788	2079	1390.64	8.21	1003335
EN_GB-2025-02-25-Local-FR-ZRE-14931-BBC__Drag_undefinedueens_are_n	Local	Freedom	2025-03-04	31715	1076	1637.48	23.40	369126
EN_GB-2024-05-22-Global-OT-CJO-12979-Pandemic_Treaty_7-Pandemic_Treaty_7	Global	Other	2024-05-22	30430	1007	1988.53	29.30	1063922
EN_GB-2024-05-28-Local-NA-ZRE-13244-Stop_Drag_Queen_Story_Hours_in	Local		2024-06-05	30395	985	1680.70	11.77	660865
EN_GB-2025-08-13-Local-NA-CJO-16209-Strictly_Come_Dancing_Drag	Local		2025-08-15	29691	994	1508.53	13.84	546862
EN_GB-2025-02-15-Global-LF-CJO-14863-CSW69-CSW69	Global	Life	2025-03-03	29315	678	3203.30	45.45	754915
EN_GB-2025-12-07-Local-NA-CJO-17105-Stop_Drag_Tales_Christmas_Special	Local		2025-12-07	28930	1633	1254.06	28.87	455968
EN_GB-2025-11-13-Global-OT-ZRE-16952-Digital_Totalitarianism-Digital_Totalitarianism	Global	Other	2025-11-19	28677	769	1458.86	42.74	900320
