speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Bobby Dean,LD,Carshalton and Wallington,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:34:44Z,284,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-62824CD9-C5D3-48AA-A878-FD1AF1D05D98
Bobby Dean,LD,Carshalton and Wallington,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:30:49Z,49,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-62824CD9-C5D3-48AA-A878-FD1AF1D05D98
Bobby Dean,LD,Carshalton and Wallington,Neutral or unclear,,11:54:46,2026-09-04T10:54:46Z,2026-09-04T10:55:10Z,24,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-62824CD9-C5D3-48AA-A878-FD1AF1D05D98
Ian Roome,LD,North Devon,Neutral or unclear,,09:30:00,2026-09-04T08:30:00Z,2026-09-04T08:30:40Z,40,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-F4E648A6-06F0-4051-9098-1103F73063F6
Sir John Hayes,Con,South Holland and The Deepings,Neutral or unclear,,09:49:13,2026-09-04T08:49:13Z,2026-09-04T08:50:03Z,50,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-93A70529-2C25-4E28-A2F3-3405783D4AAA
Sir John Hayes,Con,South Holland and The Deepings,Neutral or unclear,,10:08:46,2026-09-04T09:08:46Z,2026-09-04T09:09:39Z,53,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-93A70529-2C25-4E28-A2F3-3405783D4AAA
Sir John Hayes,Con,South Holland and The Deepings,Neutral or unclear,,10:22:58,2026-09-04T09:22:58Z,2026-09-04T09:23:46Z,48,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-93A70529-2C25-4E28-A2F3-3405783D4AAA
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,09:49:25,2026-09-04T08:49:25Z,2026-09-04T08:52:32Z,187,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,09:54:40,2026-09-04T08:54:40Z,2026-09-04T08:55:51Z,71,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,09:56:23,2026-09-04T08:56:23Z,2026-09-04T08:56:49Z,26,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,09:57:00,2026-09-04T08:57:00Z,2026-09-04T08:57:43Z,43,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
Sir Desmond Swayne,Con,New Forest West,Neutral or unclear,,09:59:43,2026-09-04T08:59:43Z,2026-09-04T09:01:13Z,90,,https://hansard.parliament.uk/Commons/2026-09-04/debates/E497E406-8A93-422C-BD21-4F753F37050E/#contribution-DBB15308-5A26-4046-A93D-868062560D75
