speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Dave Robertson,Lab,Lichfield,Against us,no,16:30:00,2026-09-07T15:30:00Z,2026-09-07T15:35:00Z,300,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:00:00,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-0CEAC55A-F502-424C-B2A4-1C73582046CD
Dave Robertson,Lab,Lichfield,Against us,no,16:35:27,2026-09-07T15:35:27Z,2026-09-07T15:35:46Z,19,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:05:27,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-0CEAC55A-F502-424C-B2A4-1C73582046CD
Dave Robertson,Lab,Lichfield,Against us,no,16:36:38,2026-09-07T15:36:38Z,2026-09-07T15:41:00Z,262,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:06:38,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-0CEAC55A-F502-424C-B2A4-1C73582046CD
Dave Robertson,Lab,Lichfield,Against us,no,17:56:00,2026-09-07T16:56:00Z,2026-09-07T16:58:35Z,155,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=01:26:00,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-0CEAC55A-F502-424C-B2A4-1C73582046CD
Jim Shannon,DUP,Strangford,With us,yes,16:35:00,2026-09-07T15:35:00Z,2026-09-07T15:35:27Z,27,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:05:00,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-81D97860-F0CE-45A6-8E20-4F50E4D0E460
Jim Shannon,DUP,Strangford,With us,yes,17:03:00,2026-09-07T16:03:00Z,2026-09-07T16:09:46Z,406,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:33:00,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-81D97860-F0CE-45A6-8E20-4F50E4D0E460
Jim Shannon,DUP,Strangford,With us,yes,17:42:37,2026-09-07T16:42:37Z,2026-09-07T16:43:17Z,40,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=01:12:37,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-81D97860-F0CE-45A6-8E20-4F50E4D0E460
Gordon McKee,Lab,Glasgow South,Neutral or unclear,no,16:35:46,2026-09-07T15:35:46Z,2026-09-07T15:36:38Z,52,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:05:46,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-C3618804-EA1D-4C13-8147-1037496F06B4
Rebecca Smith,Con,South West Devon,"With us, strongly",yes,16:41:00,2026-09-07T15:41:00Z,2026-09-07T15:48:00Z,420,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:11:00,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-17E905E2-9A04-4FF9-9187-8C9C19329C08
Rebecca Smith,Con,South West Devon,"With us, strongly",yes,17:14:01,2026-09-07T16:14:01Z,2026-09-07T16:14:44Z,43,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:44:01,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-17E905E2-9A04-4FF9-9187-8C9C19329C08
Rebecca Smith,Con,South West Devon,"With us, strongly",yes,17:21:18,2026-09-07T16:21:18Z,2026-09-07T16:21:26Z,8,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=00:51:18,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-17E905E2-9A04-4FF9-9187-8C9C19329C08
Rebecca Smith,Con,South West Devon,"With us, strongly",yes,17:33:30,2026-09-07T16:33:30Z,2026-09-07T16:34:28Z,58,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=01:03:30,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-17E905E2-9A04-4FF9-9187-8C9C19329C08
Rebecca Smith,Con,South West Devon,"With us, strongly",yes,17:52:35,2026-09-07T16:52:35Z,2026-09-07T16:53:23Z,48,https://parliamentlive.tv/Event/Index/298d5452-e524-4de5-b556-9ef1a433f8f0?in=01:22:35,https://hansard.parliament.uk/Commons/2026-09-07/debates/1DE05B16-B467-48D0-B6E7-6B7AD7F8B921/#contribution-17E905E2-9A04-4FF9-9187-8C9C19329C08
