speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Joy Morrissey,Con,Beaconsfield,"With us, strongly",,11:55:26,2026-09-09T10:55:26Z,2026-09-09T10:55:34Z,8,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:21:56,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-AEC9FAC4-6B17-4DDE-81B8-31A969260CF4
Perran Moon,Lab,Camborne and Redruth,"Against us, strongly",,11:56:03,2026-09-09T10:56:03Z,2026-09-09T10:56:40Z,37,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:22:33,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-793326F2-FD23-4469-AF62-503D985FFD5F
Ashley Dalton,Lab,West Lancashire,"With us, strongly",,11:56:54,2026-09-09T10:56:54Z,2026-09-09T10:57:25Z,31,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:23:24,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-1CFE2D35-685B-4784-916E-4FD3D49EF0D9
Olly Glover,LD,Didcot and Wantage,Neutral or unclear,,11:57:51,2026-09-09T10:57:51Z,2026-09-09T10:58:21Z,30,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:24:21,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-DCBEEA72-A687-48B8-B6A9-ABCB300E2D0F
Alison Hume,Lab,Scarborough and Whitby,Neutral or unclear,,11:58:56,2026-09-09T10:58:56Z,2026-09-09T10:59:29Z,33,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:25:26,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-DB2B4D32-28F6-4150-9E43-656D94F48780
Bridget Phillipson,,,"Against us, strongly",,11:59:00,2026-09-09T10:59:00Z,2026-09-09T10:59:29Z,29,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:25:30,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
Bridget Phillipson,,,"Against us, strongly",,11:56:40,2026-09-09T10:56:40Z,2026-09-09T10:56:54Z,14,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:23:10,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
Bridget Phillipson,,,"Against us, strongly",,11:55:34,2026-09-09T10:55:34Z,2026-09-09T10:56:30Z,56,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:22:04,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
Bridget Phillipson,,,"Against us, strongly",,11:57:25,2026-09-09T10:57:25Z,2026-09-09T10:57:51Z,26,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:23:55,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
Bridget Phillipson,,,"Against us, strongly",,11:58:21,2026-09-09T10:58:21Z,2026-09-09T10:58:56Z,35,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:24:51,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
Bridget Phillipson,,,"Against us, strongly",,11:59:29,2026-09-09T10:59:29Z,2026-09-09T11:00:10Z,41,https://parliamentlive.tv/Event/Index/1777d9f3-ea4a-4159-8d10-609d5c9c4309?in=00:25:59,https://hansard.parliament.uk/Commons/2026-09-09/debates/2F989216-2250-4519-A8E8-1B554742D125/#contribution-507181DF-B663-487A-A818-503F0D12FF67
