speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:37:00,2026-09-11T08:37:00Z,2026-09-11T08:38:00Z,60,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:02:16,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:38:07,2026-09-11T08:38:07Z,2026-09-11T08:39:15Z,67,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:03:23,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:39:40,2026-09-11T08:39:40Z,2026-09-11T08:40:13Z,33,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:04:56,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:40:13,2026-09-11T08:40:13Z,2026-09-11T08:40:24Z,10,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:05:29,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:40:51,2026-09-11T08:40:51Z,2026-09-11T08:41:20Z,29,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:06:07,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:41:42,2026-09-11T08:41:42Z,2026-09-11T08:42:38Z,56,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:06:58,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:43:00,2026-09-11T08:43:00Z,2026-09-11T08:43:19Z,19,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:08:16,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:43:19,2026-09-11T08:43:19Z,2026-09-11T08:43:39Z,20,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:08:35,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:43:47,2026-09-11T08:43:47Z,2026-09-11T08:44:16Z,29,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:09:03,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
Lauren Edwards,Lab,Rochester and Strood,"Against us, strongly",no,09:44:36,2026-09-11T08:44:36Z,2026-09-11T08:44:56Z,20,https://parliamentlive.tv/Event/Index/27c2ec3f-4604-41e8-968c-4d080531b38a?in=00:09:52,https://hansard.parliament.uk/Commons/2026-09-11/debates/4C64BB03-23BC-41DF-8837-50F7BD082F9C/#contribution-E8C5D6D5-6DC8-41BF-9059-51DFE84055F0
