speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
The Chair,,,Neutral or unclear,,09:27:45,2026-09-15T08:27:45Z,2026-09-15T08:28:53Z,68,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:02:35,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,09:26:23,2026-09-15T08:26:23Z,2026-09-15T08:26:47Z,24,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:01:13,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,09:27:24,2026-09-15T08:27:24Z,2026-09-15T08:28:53Z,89,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:02:14,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,10:03:26,2026-09-15T09:03:26Z,2026-09-15T09:03:42Z,16,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:38:16,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,10:05:04,2026-09-15T09:05:04Z,2026-09-15T09:05:21Z,17,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:39:54,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,10:09:49,2026-09-15T09:09:49Z,2026-09-15T09:10:20Z,31,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:44:39,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,10:18:24,2026-09-15T09:18:24Z,2026-09-15T09:18:47Z,23,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:53:14,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,09:52:18,2026-09-15T08:52:18Z,2026-09-15T08:52:37Z,19,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:27:08,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,09:27:24,2026-09-15T08:27:24Z,2026-09-15T08:29:04Z,100,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=00:02:14,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
The Chair,,,Neutral or unclear,,11:04:04,2026-09-15T10:04:04Z,2026-09-15T10:04:44Z,40,https://parliamentlive.tv/Event/Index/3f328b6e-c9d6-443a-9531-c6bcc09d1dad?in=01:38:54,https://hansard.parliament.uk/Commons/2026-09-15/debates/4b4a09da-7342-488c-9270-46619c9b354a/#contribution-F5AE7128-48AB-49B1-986D-B65EF7517C3E
