speaker,party,seat,direction,onside_confirmed,rose_at_london,start_utc,end_utc,seconds,footage_link,hansard_link
The Chair,,,Neutral or unclear,,14:01:53,2026-09-15T13:01:53Z,2026-09-15T13:02:26Z,33,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:00:18,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:03:24,2026-09-15T13:03:24Z,2026-09-15T13:03:47Z,23,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:01:49,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:29:15,2026-09-15T13:29:15Z,2026-09-15T13:29:38Z,23,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:27:40,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:31:02,2026-09-15T13:31:02Z,2026-09-15T13:31:25Z,23,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:29:27,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:40:10,2026-09-15T13:40:10Z,2026-09-15T13:40:26Z,16,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:38:35,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:40:10,2026-09-15T13:40:10Z,2026-09-15T13:40:20Z,10,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:38:35,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:40:10,2026-09-15T13:40:10Z,2026-09-15T13:40:26Z,16,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:38:35,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:41:23,2026-09-15T13:41:23Z,2026-09-15T13:41:34Z,11,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:39:48,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:41:53,2026-09-15T13:41:53Z,2026-09-15T13:42:09Z,15,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:40:18,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:42:09,2026-09-15T13:42:09Z,2026-09-15T13:42:34Z,25,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:40:34,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:46:16,2026-09-15T13:46:16Z,2026-09-15T13:46:34Z,18,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:44:41,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:46:55,2026-09-15T13:46:55Z,2026-09-15T13:47:13Z,18,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:45:20,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:55:27,2026-09-15T13:55:27Z,2026-09-15T13:55:46Z,19,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:53:52,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,14:58:17,2026-09-15T13:58:17Z,2026-09-15T13:59:02Z,45,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=00:56:42,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,15:28:40,2026-09-15T14:28:40Z,2026-09-15T14:28:47Z,7,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=01:27:05,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
The Chair,,,Neutral or unclear,,15:39:32,2026-09-15T14:39:32Z,2026-09-15T14:39:46Z,14,https://parliamentlive.tv/Event/Index/9b7f7aa9-eb60-447a-ac5e-8a0d01c7761f?in=01:37:57,https://hansard.parliament.uk/Commons/2026-09-15/debates/852cb4e5-da39-43a1-b769-9bfe0f268b65/#contribution-EC05C7E5-D659-4A40-8E08-D60B3901098F
