speaker,party_or_role,rose,videoid,url
Sabine Dittmar,SPD,11:25:25,7657208,https://www.bundestag.de/mediathek/video?videoid=7657208
Martin Sichert,AfD,11:31:01,7657209,https://www.bundestag.de/mediathek/video?videoid=7657209
Sven Lehmann,Bündnis 90/Die Grünen,11:36:13,7657211,https://www.bundestag.de/mediathek/video?videoid=7657211
Karl-Josef Laumann,"Minister für Arbeit, Gesundheit und Soziales, Nordrhein-Westfalen",11:41:25,7657212,https://www.bundestag.de/mediathek/video?videoid=7657212
Dr. Christina Baum,AfD,11:46:26,7657213,https://www.bundestag.de/mediathek/video?videoid=7657213
Michael Kellner,Bündnis 90/Die Grünen,11:51:05,7657214,https://www.bundestag.de/mediathek/video?videoid=7657214
Alexis L. Giersch,AfD,11:56:20,7657215,https://www.bundestag.de/mediathek/video?videoid=7657215
Prof. Dr. Hans Theiss,CDU/CSU,12:01:27,7657216,https://www.bundestag.de/mediathek/video?videoid=7657216
Stefan Schwartze,SPD,12:06:31,7657217,https://www.bundestag.de/mediathek/video?videoid=7657217
Bodo Ramelow,Die Linke,12:12:08,7657218,https://www.bundestag.de/mediathek/video?videoid=7657218
Michael Brand,CDU/CSU,12:17:49,7657219,https://www.bundestag.de/mediathek/video?videoid=7657219
Elisabeth Winkelmeier-Becker,CDU/CSU,12:23:42,7657220,https://www.bundestag.de/mediathek/video?videoid=7657220
