cut,state,recommendations,supported,refused,refusal_rate
under review,Pakistan,50,21,29,0.58
under review,"Korea, Republic of",36,11,25,0.69
under review,Türkiye,36,18,18,0.50
under review,Indonesia,35,22,13,0.37
under review,Germany,33,27,6,0.18
under review,Myanmar,33,7,26,0.79
under review,China,31,16,15,0.48
under review,Romania,30,20,10,0.33
under review,France,29,22,7,0.24
under review,Lithuania,28,26,2,0.07
under review,Honduras,27,24,3,0.11
under review,Poland,27,7,20,0.74
under review,Serbia,27,21,6,0.22
under review,El Salvador,26,5,21,0.81
under review,Albania,26,23,3,0.12
under review,"Iran, Islamic Republic of",26,4,22,0.85
under review,Malaysia,25,3,22,0.88
under review,Sweden,25,20,5,0.20
under review,Maldives,25,5,20,0.80
under review,Georgia,25,23,2,0.08
under review,Bangladesh,23,11,12,0.52
under review,Israel,23,9,14,0.61
under review,Uganda,21,0,21,1.00
under review,Mexico,21,21,0,0.00
under review,Malawi,21,6,15,0.71
under review,Peru,20,15,5,0.25
under review,Cameroon,19,8,11,0.58
under review,United Kingdom of Great Britain and Northern Ireland,19,12,7,0.37
under review,Russian Federation,19,13,6,0.32
under review,Luxembourg,18,15,3,0.17
under review,Viet Nam,18,16,2,0.11
under review,Portugal,18,17,1,0.06
under review,Spain,18,17,1,0.06
under review,"Netherlands, Kingdom of the",18,12,6,0.33
under review,Hungary,18,6,12,0.67
under review,Ghana,18,1,17,0.94
under review,Dominican Republic,17,16,1,0.06
under review,Kyrgyzstan,17,14,3,0.18
under review,Eritrea,17,5,12,0.71
under review,"Moldova, Republic of",17,16,1,0.06
under review,Nigeria,16,8,8,0.50
under review,"Bolivia, Plurinational State of",16,10,6,0.38
under review,Austria,16,14,2,0.12
under review,Slovakia,16,14,2,0.12
under review,Latvia,16,9,7,0.44
under review,Kenya,15,7,8,0.53
under review,Guyana,15,10,5,0.33
under review,Italy,15,15,0,0.00
under review,Croatia,15,13,2,0.13
under review,Jamaica,15,5,10,0.67
under review,Saint Lucia,15,4,11,0.73
under review,Ecuador,15,15,0,0.00
under review,Sri Lanka,15,9,6,0.40
under review,Uzbekistan,15,8,7,0.47
under review,Norway,15,15,0,0.00
under review,Armenia,15,15,0,0.00
under review,Bulgaria,15,13,2,0.13
under review,India,15,4,11,0.73
under review,Ukraine,15,8,7,0.47
under review,Costa Rica,15,12,3,0.20
under review,Senegal,14,5,9,0.64
under review,Fiji,14,7,7,0.50
under review,Panama,14,9,5,0.36
under review,Japan,14,1,13,0.93
under review,Jordan,14,3,11,0.79
under review,Iraq,14,10,4,0.29
under review,Greece,14,11,3,0.21
under review,Switzerland,14,4,10,0.71
under review,Malta,13,2,11,0.85
under review,Tunisia,13,7,6,0.46
under review,Argentina,13,11,2,0.15
under review,Turkmenistan,13,6,7,0.54
under review,Paraguay,13,10,3,0.23
under review,Saudi Arabia,13,8,5,0.38
under review,Czechia,13,12,1,0.08
under review,Botswana,13,2,11,0.85
under review,Belize,13,10,3,0.23
under review,Colombia,12,9,3,0.25
under review,Lao People's Democratic Republic,12,11,1,0.08
under review,Canada,12,10,2,0.17
under review,Finland,12,6,6,0.50
under review,Guatemala,12,2,10,0.83
under review,Liechtenstein,12,7,5,0.42
under review,Bhutan,12,2,10,0.83
under review,Barbados,12,2,10,0.83
under review,Belgium,12,7,5,0.42
under review,North Macedonia,12,12,0,0.00
under review,Gambia,11,10,1,0.09
under review,United States of America,11,8,3,0.27
under review,Mongolia,11,10,1,0.09
under review,Suriname,11,8,3,0.27
under review,Algeria,11,5,6,0.55
under review,Brunei Darussalam,11,2,9,0.82
under review,Denmark,11,7,4,0.36
under review,Lebanon,11,3,8,0.73
under review,Zimbabwe,11,6,5,0.45
under review,Saint Kitts and Nevis,10,1,9,0.90
under review,Togo,10,4,6,0.60
under review,Brazil,10,10,0,0.00
under review,Montenegro,10,10,0,0.00
under review,Cyprus,10,10,0,0.00
under review,Tajikistan,10,2,8,0.80
under review,Guinea-Bissau,10,8,2,0.20
under review,Angola,9,9,0,0.00
under review,Andorra,9,1,8,0.89
under review,Liberia,9,5,4,0.44
under review,"Trinidad and Tobago
",9,1,8,0.89
under review,Zambia,9,1,8,0.89
under review,Bahamas,9,4,5,0.56
under review,Chile,9,3,6,0.67
under review,Uruguay,9,9,0,0.00
under review,Afghanistan,9,9,0,0.00
under review,Nicaragua,9,5,4,0.44
under review,Egypt,9,6,3,0.33
under review,Kazakhstan,9,6,3,0.33
under review,Estonia,9,7,2,0.22
under review,Sudan,9,5,4,0.44
under review,Ireland,9,6,3,0.33
under review,Saint Vincent and the Grenadines,9,0,9,1.00
under review,Mauritius,9,5,4,0.44
under review,Namibia,8,4,4,0.50
under review,Slovenia,8,8,0,0.00
under review,Nepal,8,6,2,0.25
under review,Mali,8,7,1,0.12
under review,Belarus,8,2,6,0.75
under review,Guinea,8,7,1,0.12
under review,Dominica,8,0,8,1.00
under review,Antigua and Barbuda,8,1,7,0.88
under review,Lesotho,7,4,3,0.43
under review,Grenada,7,1,6,0.86
under review,Azerbaijan,7,1,6,0.86
under review,San Marino,7,0,7,1.00
under review,Tonga,7,1,6,0.86
under review,Monaco,7,1,6,0.86
under review,Burundi,7,3,4,0.57
under review,Yemen,7,7,0,0.00
under review,Comoros,7,4,3,0.43
under review,Qatar,7,2,5,0.71
under review,"Bosnia and Herzegovina
",7,5,2,0.29
under review,Ethiopia,7,3,4,0.57
under review,Burkina Faso,7,7,0,0.00
under review,Vanuatu,7,0,7,1.00
under review,Kiribati,6,1,5,0.83
under review,Madagascar,6,3,3,0.50
under review,Eswatini,6,0,6,1.00
under review,Morocco,6,4,2,0.33
under review,South Africa,6,5,1,0.17
under review,Benin,6,3,3,0.50
under review,Tuvalu,6,3,3,0.50
under review,Solomon Islands,6,0,6,1.00
under review,Sierra Leone,6,2,4,0.67
under review,Mauritania,6,1,5,0.83
under review,Australia,6,6,0,0.00
under review,Libya,6,5,1,0.17
under review,Seychelles,6,6,0,0.00
under review,Cote d'Ivoire,6,0,6,1.00
under review,Thailand,6,5,1,0.17
under review,"Tanzania, United Republic of",6,1,5,0.83
under review,Rwanda,5,0,5,1.00
under review,Timor-Leste,5,2,3,0.60
under review,United Arab Emirates,5,1,4,0.80
under review,Cape Verde,5,3,2,0.40
under review,Republic of Congo,5,2,3,0.60
